ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1980,1980-10-19,7,24.162,NYG,@,SDG,L 7-44,,,,
2,1980,1980-10-26,8,24.169,NYG,,DEN,L 9-14,,,,
3,1980,1980-11-02,9,24.176,NYG,@,TAM,L 13-30,1,3,3.00,0
4,1980,1980-11-09,10,24.183,NYG,,DAL,W 38-35,,,,
5,1980,1980-11-16,11,24.190,NYG,,GNB,W 27-21,,,,
6,1980,1980-11-23,12,24.197,NYG,@,SFO,L 0-12,,,,
7,1980,1980-11-30,13,24.204,NYG,,STL,L 7-23,,,,
8,1980,1980-12-07,14,24.211,NYG,@,SEA,W 27-21,,,,
9,1980,1980-12-13,15,24.217,NYG,@,WAS,L 13-16,,,,
10,1980,1980-12-21,16,24.225,NYG,,OAK,L 17-33,,,,
11,1982,1982-12-26,8,26.230,RAM,,CHI,L 26-34,,,,
12,1982,1983-01-02,9,26.237,RAM,@,SFO,W 21-20,,,,
13,1983,1983-09-04,1,27.117,RAM,@,NYG,W 16-6,,,,
14,1983,1983-09-11,2,27.124,RAM,,NOR,W 30-27,,,,
15,1983,1983-09-18,3,27.131,RAM,@,GNB,L 24-27,,,,
16,1983,1983-12-11,15,27.215,RAM,,NWE,L 7-21,,,,
