ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1957,1957-09-29,1,26.193,CRD,@,SFO,W 20-10,1,-3,-3.00,0,1,20,20.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
2,1957,1957-10-13,3,26.207,CRD,@,PIT,L 20-29,3,51,17.00,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
3,1957,1957-10-20,4,26.214,CRD,@,WAS,W 44-14,3,2,0.67,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
4,1957,1957-11-10,7,26.235,CRD,@,NYG,L 14-27,2,12,6.00,0,1,10,10.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,
5,1957,1957-11-24,8,26.249,CRD,,NYG,L 21-28,2,5,2.50,0,1,17,17.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
6,1957,1957-12-01,9,26.256,CRD,@,CLE,L 0-31,0,0,,0,1,-8,-8.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,
7,1957,1957-12-08,10,26.263,CRD,,CHI,L 6-14,1,10,10.00,0,1,27,27.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
8,1957,1957-12-14,11,26.269,CRD,@,PHI,W 31-27,4,-6,-1.50,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,
9,1957,1957-12-22,12,26.277,CRD,,PIT,L 2-27,1,-3,-3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
10,1958,1958-09-28,1,27.192,CRD,,NYG,L 7-37,1,-3,-3.00,0,1,4,4.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
11,1958,1958-10-04,2,27.198,CRD,,WAS,W 37-10,3,28,9.33,0,1,18,18.00,1,0,0,,0,0,,,,,,,,,,,,,,,,,
12,1958,1958-10-12,3,27.206,CRD,@,CLE,L 28-35,1,2,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
13,1958,1958-10-19,4,27.213,CRD,@,NYG,W 23-6,0,0,,0,1,19,19.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
14,1958,1958-10-26,5,27.220,CRD,,CLE,L 24-38,2,5,2.50,0,2,28,14.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
15,1958,1958-11-02,6,27.227,CRD,,PHI,T 21-21,2,3,1.50,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,,,,,,,,,,,
16,1958,1958-11-23,9,27.248,CRD,,PIT,L 20-27,0,0,,0,1,23,23.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
17,1958,1958-11-30,10,27.255,CRD,,RAM,L 14-20,0,0,,0,4,34,8.50,0,0,0,,0,0,,,,,,,,,,,,,,,,,
18,1958,1958-12-07,11,27.262,CRD,@,CHI,L 14-30,5,4,0.80,0,2,57,28.50,1,0,0,,0,0,,,,,,,,,,,,,,,,,
19,1958,1958-12-13,12,27.268,CRD,@,PIT,L 21-38,3,12,4.00,0,1,4,4.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
20,1960,1960-09-10,1,29.174,LAC,,DTX,W 21-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,24,24.00,0,1,0,0.00,0,1,26,0
21,1960,1960-09-18,2,29.182,LAC,@,HOU,L 28-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,14,14.00,0,0,0,,0,0,0,0
22,1960,1960-09-25,3,29.189,LAC,@,DTX,L 0-17,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,45,22.50,0,1,2,2.00,0,0,0,0
23,1960,1960-10-02,4,29.196,LAC,@,BUF,W 24-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,33,16.50,0,0,0,,0,1,47,0
24,1960,1960-10-08,5,29.202,LAC,,BOS,L 0-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,39,19.50,0,0,0,,0,0,0,0
25,1960,1960-11-20,10,29.245,LAC,,BUF,L 3-32,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,20,6.67,0,0,0,0
26,1960,1960-12-10,13,29.265,LAC,,DEN,W 41-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,14,14.00,0,0,0,0
27,1960,1960-12-18,14,29.273,LAC,,NYT,W 50-43,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,65,21.67,0,0,0,0
