ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1976,1976-09-12,1,23.128,CIN,,DEN,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,8,298,37.25,0
2,1976,1976-09-19,2,23.135,CIN,@,BAL,L 27-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,7,278,39.71,0
3,1976,1976-09-26,3,23.142,CIN,,GNB,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,187,37.40,0
4,1976,1976-10-03,4,23.149,CIN,@,CLE,W 45-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,78,39.00,0
5,1976,1976-10-10,5,23.156,CIN,,TAM,W 21-0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,213,42.60,0
6,1976,1976-10-17,6,23.163,CIN,@,PIT,L 6-23,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,6,264,44.00,0
7,1976,1976-10-24,7,23.170,CIN,@,HOU,W 27-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,6,222,37.00,0
8,1976,1976-10-31,8,23.177,CIN,,CLE,W 21-6,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,2,70,35.00,0
9,1976,1976-11-08,9,23.185,CIN,,RAM,W 20-12,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,7,274,39.14,0
10,1976,1976-11-14,10,23.191,CIN,,HOU,W 31-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,7,260,37.14,0
11,1976,1976-11-21,11,23.198,CIN,@,KAN,W 27-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,185,46.25,0
12,1976,1976-11-28,12,23.205,CIN,,PIT,L 3-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,8,310,38.75,0
13,1976,1976-12-06,13,23.213,CIN,@,OAK,L 20-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,4,142,35.50,0
14,1976,1976-12-12,14,23.219,CIN,@,NYJ,W 42-3,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,218,43.60,0
15,1977,1977-09-18,1,24.134,CIN,,CLE,L 3-13,1,9,9.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,6,276,46.00,0
16,1977,1977-09-25,2,24.141,CIN,,SEA,W 42-20,0,0,,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,4,149,37.25,0
17,1977,1977-10-02,3,24.148,CIN,@,SDG,L 3-24,0,0,,0,0,0,,0,1,1,100.00,4,0,0,83.3,0,0,4.00,4.00,0,0,3,102,34.00,0
18,1977,1977-10-09,4,24.155,CIN,@,GNB,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,3,106,35.33,0
19,1977,1977-10-17,5,24.163,CIN,@,PIT,L 14-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,5,217,43.40,0
