ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1981,1981-09-06,1,23.162,GNB,@,CHI,W 16-9,,,,,,,,,
2,1981,1981-09-13,2,23.169,GNB,,ATL,L 17-31,,,,,,,,,
3,1981,1981-09-20,3,23.176,GNB,@,RAM,L 23-35,,,,,,,,,
4,1981,1981-09-27,4,23.183,GNB,,MIN,L 13-30,,,,,,,,,
5,1981,1981-10-04,5,23.190,GNB,@,NYG,W 27-14,,,,,,,,,
6,1981,1981-10-11,6,23.197,GNB,,TAM,L 10-21,,,,,,,,,
7,1981,1981-10-18,7,23.204,GNB,,SFO,L 3-13,,,,,,,,,
8,1981,1981-10-25,8,23.211,GNB,@,DET,L 27-31,,,,,,,,,
9,1981,1981-11-01,9,23.218,GNB,,SEA,W 34-24,,,,,,,,,
10,1981,1981-11-08,10,23.225,GNB,,NYG,W 26-24,,,,,,,,,
11,1981,1981-11-15,11,23.232,GNB,,CHI,W 21-17,,,,,,,,,
12,1981,1981-11-22,12,23.239,GNB,@,TAM,L 3-37,,,,,,,,,
13,1981,1981-11-29,13,23.246,GNB,@,MIN,W 35-23,,,,,,,,,
14,1981,1981-12-06,14,23.253,GNB,,DET,W 31-17,,,,,,,,,
15,1981,1981-12-13,15,23.260,GNB,@,NOR,W 35-7,,,,,,,,,
16,1981,1981-12-20,16,23.267,GNB,@,NYJ,L 3-28,,,,,,,,,
17,1982,1982-09-12,1,24.168,GNB,,RAM,W 35-23,,,,,,,,,
18,1982,1982-09-20,2,24.176,GNB,@,NYG,W 27-19,,,,,,,,,
19,1982,1982-11-21,3,24.238,GNB,,MIN,W 26-7,,,,,,,,,
20,1982,1982-11-28,4,24.245,GNB,@,NYJ,L 13-15,,,,,,,,,
21,1982,1982-12-05,5,24.252,GNB,,BUF,W 33-21,,,,,,,,,
22,1982,1982-12-12,6,24.259,GNB,,DET,L 10-30,,,,,,,,,
23,1982,1982-12-19,7,24.266,GNB,@,BAL,T 20-20,,,,,,,,,
24,1982,1982-12-26,8,24.273,GNB,@,ATL,W 38-7,,,,,,,,,
25,1982,1983-01-02,9,24.280,GNB,@,DET,L 24-27,,,,,,,,,
26,1983,1983-09-04,1,25.160,GNB,@,HOU,W 41-38,,,,,,,,,
27,1983,1983-09-11,2,25.167,GNB,,PIT,L 21-25,,,,,,,,,
28,1983,1983-09-18,3,25.174,GNB,,RAM,W 27-24,,,,,,,,,
29,1983,1983-09-26,4,25.182,GNB,@,NYG,L 3-27,,,,,,,,,
30,1983,1983-10-02,5,25.188,GNB,,TAM,W 55-14,,,,,,,,,
31,1983,1983-10-09,6,25.195,GNB,@,DET,L 14-38,,,,,,,,,
32,1983,1983-10-17,7,25.203,GNB,,WAS,W 48-47,,,,,,,,,
33,1983,1983-10-23,8,25.209,GNB,,MIN,L 17-20,,,,,,,,,
34,1983,1983-10-30,9,25.216,GNB,@,CIN,L 14-34,,,,,,,,,
35,1983,1983-11-06,10,25.223,GNB,,CLE,W 35-21,,,,,,,,,
36,1983,1983-11-13,11,25.230,GNB,@,MIN,W 29-21,,,,,,,,,
37,1983,1983-11-20,12,25.237,GNB,,DET,L 20-23,,,,,,,,,
38,1983,1983-11-27,13,25.244,GNB,@,ATL,L 41-47,,,,,,,,,
39,1983,1983-12-04,14,25.251,GNB,,CHI,W 31-28,,,,,,,,,
40,1983,1983-12-12,15,25.259,GNB,@,TAM,W 12-9,,,,,,,,,
41,1983,1983-12-18,16,25.265,GNB,@,CHI,L 21-23,,,,,,,,,
42,1984,1984-09-02,1,26.158,GNB,,STL,W 24-23,,,,,0,0,,0,
43,1984,1984-09-09,2,26.165,GNB,@,RAI,L 7-28,,,,,0,0,,0,
44,1984,1984-09-16,3,26.172,GNB,,CHI,L 7-9,,,,,0,0,,0,
45,1984,1984-09-23,4,26.179,GNB,@,DAL,L 6-20,,,,,0,0,,0,
46,1984,1984-09-30,5,26.186,GNB,@,TAM,L 27-30,0,0,,0,1,7,7.00,0,0.0
47,1984,1984-10-07,6,26.193,GNB,,SDG,L 28-34,,,,,0,0,,0,
48,1984,1984-10-15,7,26.201,GNB,@,DEN,L 14-17,,,,,0,0,,0,
49,1984,1984-10-21,8,26.207,GNB,,SEA,L 24-30,,,,,0,0,,0,
50,1984,1984-10-28,9,26.214,GNB,,DET,W 41-9,,,,,0,0,,0,
51,1984,1984-11-04,10,26.221,GNB,@,NOR,W 23-13,,,,,0,0,,0,
52,1984,1984-11-11,11,26.228,GNB,,MIN,W 45-17,,,,,0,0,,0,
53,1984,1984-11-18,12,26.235,GNB,,RAM,W 31-6,,,,,0,0,,0,
54,1984,1984-11-22,13,26.239,GNB,@,DET,L 28-31,,,,,0,0,,0,
55,1984,1984-12-02,14,26.249,GNB,,TAM,W 27-14,,,,,0,0,,0,
56,1984,1984-12-09,15,26.256,GNB,@,CHI,W 20-14,,,,,0,0,,0,
57,1984,1984-12-16,16,26.263,GNB,@,MIN,W 38-14,,,,,0,0,,0,
58,1985,1985-09-08,1,27.164,GNB,@,NWE,L 20-26,0,0,,0,0,0,,0,1.0
59,1985,1985-09-15,2,27.171,GNB,,NYG,W 23-20,0,0,,0,,,,,
60,1985,1985-09-22,3,27.178,GNB,,NYJ,L 3-24,1,0,0.00,0,0,0,,0,0.0
61,1985,1985-09-29,4,27.185,GNB,@,STL,L 28-43,0,0,,0,0,0,,0,1.0
62,1985,1985-10-06,5,27.192,GNB,,DET,W 43-10,0,0,,0,,,,,
63,1985,1985-10-13,6,27.199,GNB,,MIN,W 20-17,0,0,,0,,,,,
64,1985,1985-10-21,7,27.207,GNB,@,CHI,L 7-23,0,0,,0,,,,,
65,1985,1985-10-27,8,27.213,GNB,@,IND,L 10-37,0,0,,0,,,,,
66,1985,1985-11-03,9,27.220,GNB,,CHI,L 10-16,0,0,,0,,,,,
67,1985,1985-11-10,10,27.227,GNB,@,MIN,W 27-17,0,0,,0,,,,,
68,1985,1985-11-17,11,27.234,GNB,,NOR,W 38-14,0,0,,0,,,,,
69,1985,1985-11-24,12,27.241,GNB,@,RAM,L 17-34,0,0,,0,,,,,
70,1985,1985-12-01,13,27.248,GNB,,TAM,W 21-0,0,0,,0,,,,,
71,1985,1985-12-08,14,27.255,GNB,,MIA,L 24-34,0,0,,0,,,,,
72,1985,1985-12-15,15,27.262,GNB,@,DET,W 26-23,0,0,,0,,,,,
73,1985,1985-12-22,16,27.269,GNB,@,TAM,W 20-17,0,0,,0,,,,,
