ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-11-27,11,24.183,HOU,@,JAX,W 20-13,,8,15,53.33,70,0,0,66.0,0,0,4.67,4.67,4,-3,-0.75,0,0,0,0.0,0,0
2,2011,2011-12-04,12,24.190,HOU,,ATL,W 17-10,*,12,25,48.00,188,1,0,86.7,3,13,7.52,8.32,2,10,5.00,0,0,0,0.0,0,0
3,2011,2011-12-11,13,24.197,HOU,@,CIN,W 20-19,*,26,44,59.09,300,2,1,85.4,5,32,6.82,6.70,5,36,7.20,0,0,0,0.0,0,0
4,2011,2011-12-18,14,24.204,HOU,,CAR,L 13-28,*,19,30,63.33,212,0,2,56.5,2,4,7.07,4.07,2,15,7.50,0,0,0,0.0,1,0
5,2011,2011-12-22,15,24.208,HOU,@,IND,L 16-19,*,13,16,81.25,132,0,0,101.0,4,20,8.25,8.25,1,-1,-1.00,0,0,0,0.0,0,0
6,2011,2012-01-01,16,24.218,HOU,,TEN,L 22-23,*,4,4,100.00,47,0,0,115.6,1,5,11.75,11.75,0,0,,0,0,0,0.0,0,0
7,2012,2012-09-23,3,25.118,HOU,@,DEN,W 31-25,,,,,,,,,,,,,,,,,,,,,
8,2012,2012-10-14,6,25.139,HOU,,GNB,L 24-42,,2,5,40.00,23,0,1,15.0,0,0,4.60,-4.40,0,0,,0,0,0,0.0,0,0
9,2012,2012-12-10,13,25.196,HOU,@,NWE,L 14-42,,2,4,50.00,15,0,0,59.4,0,0,3.75,3.75,1,1,1.00,1,1,6,0.0,0,0
10,2012,2012-12-23,15,25.209,HOU,,MIN,L 6-23,,0,1,0.00,0,0,0,39.6,1,0,0.00,0.00,1,-2,-2.00,0,0,0,0.0,0,0
11,2013,2013-09-22,3,26.117,HOU,@,BAL,L 9-30,,,,,,,,,,,,,,,,,,,,,
12,2013,2013-10-06,5,26.131,HOU,@,SFO,L 3-34,,3,5,60.00,15,0,0,64.6,0,0,3.00,3.00,1,0,0.00,0,0,0,0.0,1,0
13,2013,2013-10-13,6,26.138,HOU,,STL,L 13-38,,12,17,70.59,98,0,2,45.3,2,7,5.76,0.47,0,0,,0,0,0,0.0,0,0
14,2014,2014-09-18,3,27.113,ATL,,TAM,W 56-14,,3,4,75.00,64,0,1,77.1,0,0,16.00,4.75,0,0,,0,0,0,0.0,0,0
15,2015,2015-11-16,9,28.172,HOU,@,CIN,W 10-6,,5,11,45.45,69,1,0,96.4,1,8,6.27,8.09,2,-2,-1.00,0,0,0,0.0,0,0
16,2015,2015-11-22,10,28.178,HOU,,NYJ,W 24-17,*,16,34,47.06,229,2,0,89.0,1,9,6.74,7.91,3,-5,-1.67,0,0,0,0.0,0,0
17,2015,2015-12-13,13,28.199,HOU,,NWE,L 6-27,,1,2,50.00,4,0,0,56.2,1,3,2.00,2.00,0,0,,0,0,0,0.0,0,0
18,2015,2015-12-20,14,28.206,HOU,@,IND,W 16-10,*,6,10,60.00,68,0,1,40.8,2,13,6.80,2.30,1,7,7.00,0,0,0,0.0,0,0
19,2017,2017-12-10,13,30.196,HOU,,SFO,L 16-26,,14,26,53.85,175,2,0,100.6,1,7,6.73,8.27,3,31,10.33,0,0,0,0.0,0,0
20,2017,2017-12-17,14,30.203,HOU,@,JAX,L 7-45,*,12,31,38.71,128,1,1,48.9,4,29,4.13,3.32,0,0,,0,0,0,0.0,0,0
21,2017,2017-12-25,15,30.211,HOU,,PIT,L 6-34,*,7,16,43.75,83,1,1,54.9,6,26,5.19,3.63,1,11,11.00,0,0,0,0.0,0,0
22,2017,2017-12-31,16,30.217,HOU,@,IND,L 13-22,*,14,24,58.33,137,0,1,57.1,2,13,5.71,3.83,1,9,9.00,0,0,0,0.0,0,0
