ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1982,1982-09-12,1,23.305,GNB,,RAM,W 35-23,0,0,,0,,,,,,,,,0,0,,0,,
2,1982,1982-09-20,2,23.313,GNB,@,NYG,W 27-19,1,24,24.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
3,1982,1982-11-21,3,24.010,GNB,,MIN,W 26-7,2,29,14.50,0,0,0,,0,0,0,,0,8,49,6.13,0,0,0
4,1982,1982-11-28,4,24.017,GNB,@,NYJ,L 13-15,3,64,21.33,2,0,0,,0,0,0,,0,0,0,,0,2,12
5,1982,1982-12-05,5,24.024,GNB,,BUF,W 33-21,2,26,13.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
6,1982,1982-12-12,6,24.031,GNB,,DET,L 10-30,0,0,,0,0,0,,0,0,0,,0,3,35,11.67,0,0,0
7,1982,1982-12-19,7,24.038,GNB,@,BAL,T 20-20,1,33,33.00,0,0,0,,0,0,0,,0,4,13,3.25,0,0,0
8,1982,1982-12-26,8,24.045,GNB,@,ATL,W 38-7,1,50,50.00,0,0,0,,0,0,0,,0,4,53,13.25,0,0,0
9,1982,1983-01-02,9,24.052,GNB,@,DET,L 24-27,0,0,,0,0,0,,0,0,0,,0,1,0,0.00,0,0,0
10,1983,1983-09-04,1,24.297,GNB,@,HOU,W 41-38,1,10,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
11,1983,1983-09-11,2,24.304,GNB,,PIT,L 21-25,0,0,,0,,,,,,,,,0,0,,0,,
12,1983,1983-09-18,3,24.311,GNB,,RAM,W 27-24,1,10,10.00,0,0,0,,0,0,0,,0,1,3,3.00,0,0,0
13,1983,1983-09-26,4,24.319,GNB,@,NYG,L 3-27,1,17,17.00,0,0,0,,0,0,0,,0,1,11,11.00,0,0,0
14,1983,1983-10-02,5,24.325,GNB,,TAM,W 55-14,0,0,,0,0,0,,0,0,0,,0,5,129,25.80,1,1,6
15,1983,1983-10-09,6,24.332,GNB,@,DET,L 14-38,0,0,,0,0,0,,0,0,0,,0,2,6,3.00,0,0,0
16,1983,1983-10-17,7,24.340,GNB,,WAS,W 48-47,1,7,7.00,0,0,0,,0,0,0,,0,1,9,9.00,0,0,0
17,1983,1983-10-23,8,24.346,GNB,,MIN,L 17-20,4,69,17.25,0,0,0,,0,0,0,,0,3,31,10.33,0,0,0
18,1983,1983-10-30,9,24.353,GNB,@,CIN,L 14-34,1,11,11.00,0,0,0,,0,0,0,,0,3,10,3.33,0,0,0
19,1983,1983-11-06,10,24.360,GNB,,CLE,W 35-21,1,12,12.00,0,0,0,,0,0,0,,0,3,18,6.00,0,0,0
20,1983,1983-11-13,11,25.002,GNB,@,MIN,W 29-21,2,39,19.50,0,0,0,,0,0,0,,0,2,34,17.00,0,0,0
21,1983,1983-11-20,12,25.009,GNB,,DET,L 20-23,1,14,14.00,0,0,0,,0,0,0,,0,2,6,3.00,0,0,0
22,1983,1983-11-27,13,25.016,GNB,@,ATL,L 41-47,1,25,25.00,0,0,0,,0,0,0,,0,1,-2,-2.00,0,0,0
23,1983,1983-12-04,14,25.023,GNB,,CHI,W 31-28,2,66,33.00,0,0,0,,0,0,0,,0,5,30,6.00,0,0,0
24,1983,1983-12-12,15,25.031,GNB,@,TAM,W 12-9,2,33,16.50,0,0,0,,0,0,0,,0,2,20,10.00,0,0,0
25,1983,1983-12-18,16,25.037,GNB,@,CHI,L 21-23,0,0,,0,0,0,,0,0,0,,0,5,19,3.80,0,0,0
26,1984,1984-09-02,1,25.296,GNB,,STL,W 24-23,0,0,,0,0,0,,0,0,0,,0,4,66,16.50,0,0,0
27,1984,1984-09-09,2,25.303,GNB,@,RAI,L 7-28,0,0,,0,0,0,,0,0,0,,0,3,16,5.33,0,0,0
28,1984,1984-09-16,3,25.310,GNB,,CHI,L 7-9,0,0,,0,0,0,,0,0,0,,0,3,14,4.67,0,0,0
29,1984,1984-09-23,4,25.317,GNB,@,DAL,L 6-20,2,29,14.50,0,0,0,,0,0,0,,0,7,22,3.14,0,0,0
30,1984,1984-09-30,5,25.324,GNB,@,TAM,L 27-30,2,37,18.50,0,0,0,,0,6,122,20.33,0,3,19,6.33,0,0,0
31,1984,1984-10-07,6,25.331,GNB,,SDG,L 28-34,1,13,13.00,0,0,0,,0,3,51,17.00,0,3,26,8.67,0,0,0
32,1984,1984-10-15,7,25.339,GNB,@,DEN,L 14-17,0,0,,0,0,0,,0,0,0,,0,4,26,6.50,0,0,0
33,1984,1984-10-21,8,25.345,GNB,,SEA,L 24-30,4,65,16.25,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0
34,1984,1984-10-28,9,25.352,GNB,,DET,W 41-9,0,0,,0,,,,,0,0,,0,0,0,,0,,
35,1984,1984-11-04,10,25.359,GNB,@,NOR,W 23-13,1,16,16.00,0,0,0,,0,2,42,21.00,0,0,0,,0,0,0
36,1984,1984-11-11,11,26.000,GNB,,MIN,W 45-17,1,21,21.00,0,0,0,,0,1,17,17.00,0,0,0,,0,0,0
37,1984,1984-11-18,12,26.007,GNB,,RAM,W 31-6,1,21,21.00,0,0,0,,0,0,0,,0,1,5,5.00,0,0,0
38,1984,1984-11-22,13,26.011,GNB,@,DET,L 28-31,3,70,23.33,1,0,0,,0,0,0,,0,0,0,,0,1,6
39,1984,1984-12-02,14,26.021,GNB,,TAM,W 27-14,3,38,12.67,0,0,0,,0,0,0,,0,0,0,,0,0,0
40,1984,1984-12-09,15,26.028,GNB,@,CHI,W 20-14,3,65,21.67,1,0,0,,0,0,0,,0,0,0,,0,1,6
41,1984,1984-12-16,16,26.035,GNB,@,MIN,W 38-14,5,60,12.00,1,0,0,,0,0,0,,0,0,0,,0,1,6
42,1985,1985-09-08,1,26.301,GNB,@,NWE,L 20-26,4,64,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
