ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks
1,1977,1977-09-18,1,21.351,GNB,@,NOR,W 24-20,,,,,
2,1977,1977-09-25,2,21.358,GNB,,HOU,L 10-16,,,,,
3,1977,1977-10-02,3,22.000,GNB,@,MIN,L 7-19,,,,,
4,1977,1977-10-09,4,22.007,GNB,,CIN,L 7-17,,,,,
5,1977,1977-10-16,5,22.014,GNB,@,DET,L 6-10,,,,,
6,1977,1977-10-23,6,22.021,GNB,@,TAM,W 13-0,,,,,
7,1977,1977-10-30,7,22.028,GNB,,CHI,L 0-26,,,,,
8,1977,1977-11-06,8,22.035,GNB,@,KAN,L 10-20,,,,,
9,1977,1977-11-13,9,22.042,GNB,,RAM,L 6-24,,,,,
10,1977,1977-11-21,10,22.050,GNB,@,WAS,L 9-10,,,,,
11,1977,1977-11-27,11,22.056,GNB,,MIN,L 6-13,,,,,
12,1977,1977-12-04,12,22.063,GNB,,DET,W 10-9,,,,,
13,1977,1977-12-11,13,22.070,GNB,@,CHI,L 10-21,,,,,
14,1977,1977-12-18,14,22.077,GNB,,SFO,W 16-14,,,,,
15,1978,1978-09-03,1,22.336,GNB,@,DET,W 13-7,,,,,
16,1978,1978-09-10,2,22.343,GNB,,NOR,W 28-17,,,,,
17,1978,1978-09-17,3,22.350,GNB,,OAK,L 3-28,,,,,
18,1978,1978-09-24,4,22.357,GNB,@,SDG,W 24-3,,,,,
19,1978,1978-10-01,5,22.364,GNB,,DET,W 35-14,,,,,
20,1978,1978-10-08,6,23.006,GNB,,CHI,W 24-14,,,,,
21,1978,1978-10-15,7,23.013,GNB,,SEA,W 45-28,,,,,
22,1978,1978-10-22,8,23.020,GNB,@,MIN,L 7-21,,,,,
23,1978,1978-10-29,9,23.027,GNB,,TAM,W 9-7,,,,,
24,1978,1978-11-05,10,23.034,GNB,@,PHI,L 3-10,,,,,
25,1978,1978-11-12,11,23.041,GNB,,DAL,L 14-42,,,,,
26,1978,1978-11-19,12,23.048,GNB,@,DEN,L 3-16,,,,,
27,1978,1978-11-26,13,23.055,GNB,,MIN,T 10-10,1,14,14.00,0,0.0
28,1978,1978-12-03,14,23.062,GNB,@,TAM,W 17-7,,,,,
29,1978,1978-12-10,15,23.069,GNB,@,CHI,L 0-14,,,,,
30,1978,1978-12-17,16,23.076,GNB,@,RAM,L 14-31,,,,,
31,1979,1979-09-02,1,23.335,GNB,@,CHI,L 3-6,,,,,
32,1979,1979-09-09,2,23.342,GNB,,NOR,W 28-19,,,,,
33,1979,1979-09-16,3,23.349,GNB,,TAM,L 10-21,,,,,
34,1979,1979-09-23,4,23.356,GNB,@,MIN,L 21-27,,,,,
35,1979,1979-11-04,10,24.033,GNB,,NYJ,L 22-27,,,,,
36,1979,1979-11-11,11,24.040,GNB,,MIN,W 19-7,,,,,
37,1979,1979-11-18,12,24.047,GNB,@,BUF,L 12-19,,,,,
38,1979,1979-11-25,13,24.054,GNB,,PHI,L 10-21,,,,,
39,1979,1979-12-02,14,24.061,GNB,@,WAS,L 21-38,,,,,
40,1979,1979-12-09,15,24.068,GNB,,CHI,L 14-15,,,,,
41,1979,1979-12-15,16,24.074,GNB,@,DET,W 18-13,,,,,
42,1980,1980-09-07,1,24.341,GNB,,CHI,W 12-6,,,,,
43,1980,1980-09-14,2,24.348,GNB,,DET,L 7-29,,,,,
44,1980,1980-09-21,3,24.355,GNB,@,RAM,L 21-51,,,,,
45,1980,1980-09-28,4,24.362,GNB,,DAL,L 7-28,,,,,
46,1980,1980-10-05,5,25.003,GNB,,CIN,W 14-9,,,,,
47,1980,1980-10-12,6,25.010,GNB,@,TAM,T 14-14,,,,,
48,1980,1980-10-19,7,25.017,GNB,@,CLE,L 21-26,,,,,
49,1980,1980-10-26,8,25.024,GNB,,MIN,W 16-3,,,,,
50,1980,1980-11-02,9,25.031,GNB,@,PIT,L 20-22,,,,,
51,1980,1980-11-09,10,25.038,GNB,,SFO,W 23-16,,,,,
52,1980,1980-11-16,11,25.045,GNB,@,NYG,L 21-27,,,,,
53,1980,1980-11-23,12,25.052,GNB,@,MIN,W 25-13,,,,,
54,1980,1980-11-30,13,25.059,GNB,,TAM,L 17-20,,,,,
55,1980,1980-12-07,14,25.066,GNB,@,CHI,L 7-61,,,,,
56,1980,1980-12-14,15,25.073,GNB,,HOU,L 3-22,,,,,
57,1981,1981-09-06,1,25.339,GNB,@,CHI,W 16-9,,,,,
58,1981,1981-09-13,2,25.346,GNB,,ATL,L 17-31,,,,,
59,1981,1981-09-20,3,25.353,GNB,@,RAM,L 23-35,,,,,
60,1981,1981-09-27,4,25.360,GNB,,MIN,L 13-30,,,,,
61,1981,1981-10-04,5,26.002,GNB,@,NYG,W 27-14,,,,,
62,1981,1981-10-11,6,26.009,GNB,,TAM,L 10-21,,,,,
63,1981,1981-10-18,7,26.016,GNB,,SFO,L 3-13,,,,,
64,1981,1981-10-25,8,26.023,GNB,@,DET,L 27-31,,,,,
65,1981,1981-11-01,9,26.030,GNB,,SEA,W 34-24,,,,,
66,1981,1981-11-08,10,26.037,GNB,,NYG,W 26-24,,,,,
67,1981,1981-11-15,11,26.044,GNB,,CHI,W 21-17,,,,,
68,1981,1981-11-22,12,26.051,GNB,@,TAM,L 3-37,,,,,
69,1981,1981-11-29,13,26.058,GNB,@,MIN,W 35-23,,,,,
70,1981,1981-12-06,14,26.065,GNB,,DET,W 31-17,,,,,
71,1981,1981-12-13,15,26.072,GNB,@,NOR,W 35-7,,,,,
72,1981,1981-12-20,16,26.079,GNB,@,NYJ,L 3-28,,,,,
73,1982,1982-09-12,1,26.345,GNB,,RAM,W 35-23,0,0,,0,1.0
74,1982,1982-09-20,2,26.353,GNB,@,NYG,W 27-19,,,,,
75,1982,1982-11-21,3,27.050,GNB,,MIN,W 26-7,,,,,
76,1982,1982-11-28,4,27.057,GNB,@,NYJ,L 13-15,0,0,,0,2.0
77,1982,1982-12-05,5,27.064,GNB,,BUF,W 33-21,0,0,,0,1.0
78,1982,1982-12-12,6,27.071,GNB,,DET,L 10-30,,,,,
79,1982,1982-12-19,7,27.078,GNB,@,BAL,T 20-20,0,0,,0,1.0
80,1982,1982-12-26,8,27.085,GNB,@,ATL,W 38-7,0,0,,0,0.5
81,1982,1983-01-02,9,27.092,GNB,@,DET,L 24-27,,,,,
82,1983,1983-09-04,1,27.337,GNB,@,HOU,W 41-38,,,,,
83,1983,1983-09-11,2,27.344,GNB,,PIT,L 21-25,,,,,
84,1983,1983-09-18,3,27.351,GNB,,RAM,W 27-24,0,0,,0,2.0
85,1983,1983-09-26,4,27.359,GNB,@,NYG,L 3-27,0,0,,0,1.5
86,1983,1983-10-02,5,28.000,GNB,,TAM,W 55-14,0,0,,0,0.5
87,1983,1983-10-09,6,28.007,GNB,@,DET,L 14-38,0,0,,0,1.0
88,1983,1983-10-17,7,28.015,GNB,,WAS,W 48-47,0,0,,0,1.0
89,1983,1983-10-23,8,28.021,GNB,,MIN,L 17-20,,,,,
90,1983,1983-10-30,9,28.028,GNB,@,CIN,L 14-34,0,0,,0,0.5
91,1983,1983-11-06,10,28.035,GNB,,CLE,W 35-21,0,0,,0,2.0
92,1983,1983-11-13,11,28.042,GNB,@,MIN,W 29-21,,,,,
93,1983,1983-11-20,12,28.049,GNB,,DET,L 20-23,,,,,
94,1983,1983-11-27,13,28.056,GNB,@,ATL,L 41-47,,,,,
95,1983,1983-12-04,14,28.063,GNB,,CHI,W 31-28,0,0,,0,3.0
96,1983,1983-12-12,15,28.071,GNB,@,TAM,W 12-9,0,0,,0,1.0
97,1983,1983-12-18,16,28.077,GNB,@,CHI,L 21-23,0,0,,0,2.0
98,1984,1984-09-16,3,28.350,GNB,,CHI,L 7-9,,,,,
99,1984,1984-09-23,4,28.357,GNB,@,DAL,L 6-20,0,0,,0,1.0
100,1984,1984-09-30,5,28.364,GNB,@,TAM,L 27-30,0,0,,0,1.0
101,1984,1984-10-07,6,29.005,GNB,,SDG,L 28-34,0,0,,0,1.0
102,1984,1984-10-15,7,29.013,GNB,@,DEN,L 14-17,,,,,
103,1984,1984-10-21,8,29.019,GNB,,SEA,L 24-30,0,0,,0,1.0
104,1984,1984-10-28,9,29.026,GNB,,DET,W 41-9,0,0,,0,1.0
105,1984,1984-11-04,10,29.033,GNB,@,NOR,W 23-13,,,,,
106,1984,1984-11-11,11,29.040,GNB,,MIN,W 45-17,0,0,,0,2.0
107,1984,1984-11-18,12,29.047,GNB,,RAM,W 31-6,,,,,
108,1984,1984-11-22,13,29.051,GNB,@,DET,L 28-31,,,,,
109,1984,1984-12-02,14,29.061,GNB,,TAM,W 27-14,,,,,
110,1984,1984-12-09,15,29.068,GNB,@,CHI,W 20-14,,,,,
111,1985,1985-09-08,1,29.341,GNB,@,NWE,L 20-26,0,0,,0,1.0
112,1985,1985-09-15,2,29.348,GNB,,NYG,W 23-20,0,0,,0,2.0
113,1985,1985-09-22,3,29.355,GNB,,NYJ,L 3-24,0,0,,0,1.0
114,1985,1985-09-29,4,29.362,GNB,@,STL,L 28-43,0,0,,0,0.5
115,1985,1985-10-06,5,30.004,GNB,,DET,W 43-10,0,0,,0,1.0
116,1985,1985-10-13,6,30.011,GNB,,MIN,W 20-17,,,,,
117,1985,1985-10-21,7,30.019,GNB,@,CHI,L 7-23,0,0,,0,1.0
118,1985,1985-10-27,8,30.025,GNB,@,IND,L 10-37,,,,,
119,1985,1985-11-03,9,30.032,GNB,,CHI,L 10-16,,,,,
120,1985,1985-11-10,10,30.039,GNB,@,MIN,W 27-17,0,0,,0,1.0
121,1985,1985-11-17,11,30.046,GNB,,NOR,W 38-14,0,0,,0,1.0
122,1985,1985-11-24,12,30.053,GNB,@,RAM,L 17-34,,,,,
123,1985,1985-12-01,13,30.060,GNB,,TAM,W 21-0,,,,,
124,1985,1985-12-08,14,30.067,GNB,,MIA,L 24-34,,,,,
125,1985,1985-12-15,15,30.074,GNB,@,DET,W 26-23,,,,,
126,1985,1985-12-22,16,30.081,GNB,@,TAM,W 20-17,0,0,,0,1.0
127,1986,1986-09-07,1,30.340,GNB,,HOU,L 3-31,,,,,
128,1986,1986-09-14,2,30.347,GNB,@,NOR,L 10-24,,,,,
129,1986,1986-09-22,3,30.355,GNB,,CHI,L 12-25,,,,,
130,1986,1986-09-28,4,30.361,GNB,@,MIN,L 7-42,,,,,
131,1986,1986-10-05,5,31.003,GNB,,CIN,L 28-34,,,,,
132,1986,1986-10-12,6,31.010,GNB,,DET,L 14-21,,,,,
133,1986,1986-10-19,7,31.017,GNB,@,CLE,W 17-14,0,0,,0,1.0
134,1986,1986-10-26,8,31.024,GNB,,SFO,L 17-31,,,,,
135,1986,1986-11-02,9,31.031,GNB,@,PIT,L 3-27,,,,,
136,1986,1986-11-09,10,31.038,GNB,,WAS,L 7-16,,,,,
137,1986,1986-11-16,11,31.045,GNB,,TAM,W 31-7,,,,,
138,1986,1986-11-23,12,31.052,GNB,@,CHI,L 10-12,,,,,
139,1986,1986-11-27,13,31.056,GNB,@,DET,W 44-40,,,,,
140,1986,1986-12-07,14,31.066,GNB,,MIN,L 6-32,0,0,,0,1.0
141,1986,1986-12-14,15,31.073,GNB,@,TAM,W 21-7,0,0,,0,1.0
142,1986,1986-12-20,16,31.079,GNB,@,NYG,L 24-55,,,,,
143,1987,1987-11-08,8,32.037,GNB,,CHI,L 24-26,,,,,
144,1987,1987-11-29,11,32.058,GNB,@,CHI,L 10-23,0,0,,0,1.0
145,1987,1987-12-06,12,32.065,GNB,,SFO,L 12-23,0,0,,0,1.0
146,1987,1987-12-13,13,32.072,GNB,,MIN,W 16-10,,,,,
147,1987,1987-12-19,14,32.078,GNB,@,NYG,L 10-20,,,,,
148,1987,1987-12-27,15,32.086,GNB,@,NOR,L 24-33,,,,,
149,1988,1988-09-04,1,32.338,IND,,HOU,L 14-17,,,,,
150,1988,1988-09-11,2,32.345,IND,,CHI,L 13-17,,,,,
151,1988,1988-09-19,3,32.353,IND,@,CLE,L 17-23,,,,,
152,1988,1988-09-25,4,32.359,IND,,MIA,W 15-13,0,0,,0,1.0
153,1988,1988-10-02,5,33.000,IND,@,NWE,L 17-21,,,,,
154,1988,1988-10-16,7,33.014,IND,,TAM,W 35-31,0,0,,0,1.0
155,1988,1988-10-23,8,33.021,IND,@,SDG,W 16-0,,,,,
