ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2006,2006-09-10,1,21.171,JAX,,DAL,W 24-17,,2,8,4.00,0,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
2,2006,2006-09-18,2,21.179,JAX,,PIT,W 9-0,,2,4,2.00,0,2,2,6,3.00,0,100.0%,3.00,0,0,,0,0,0,,,,,,1,21,21.00,0,0,0,,0,0,0,0.0,,
3,2006,2006-09-24,3,21.185,JAX,@,IND,L 14-21,,13,103,7.92,0,5,4,32,8.00,1,80.0%,6.40,0,0,,0,0,0,,,,,,4,109,27.25,0,0,0,,0,1,6,0.0,,
4,2006,2006-10-01,4,21.192,JAX,@,WAS,L 30-36,,3,3,1.00,0,4,3,53,17.67,1,75.0%,13.25,0,0,,0,0,0,,,,,,4,103,25.75,0,0,0,,0,1,6,0.0,,
5,2006,2006-10-08,5,21.199,JAX,,NYJ,W 41-0,,13,59,4.54,2,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,2,12,0.0,,
6,2006,2006-10-22,6,21.213,JAX,@,HOU,L 7-27,,8,10,1.25,1,8,7,58,8.29,0,87.5%,7.25,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0,,0,1,6,0.0,,
7,2006,2006-10-29,7,21.220,JAX,@,PHI,W 13-6,,21,77,3.67,0,5,3,20,6.67,0,60.0%,4.00,0,0,,0,0,0,,,,,,1,30,30.00,0,0,0,,0,0,0,0.0,,
8,2006,2006-11-05,8,21.227,JAX,,TEN,W 37-7,,8,56,7.00,0,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,,,,,1,20,20.00,0,0,0,,0,0,0,0.0,,
9,2006,2006-11-12,9,21.234,JAX,,HOU,L 10-13,,3,11,3.67,1,5,4,56,14.00,0,80.0%,11.20,0,0,,0,0,0,,,,,,3,54,18.00,0,0,0,,0,1,6,0.0,,
10,2006,2006-11-20,10,21.242,JAX,,NYG,W 26-10,,9,45,5.00,1,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,,,,,,2,38,19.00,0,0,0,,0,1,6,0.0,,
11,2006,2006-11-26,11,21.248,JAX,@,BUF,L 24-27,,8,78,9.75,1,5,5,47,9.40,0,100.0%,9.40,0,0,,0,0,0,,,,,,3,101,33.67,0,0,0,,0,1,6,0.0,,
12,2006,2006-12-03,12,21.255,JAX,@,MIA,W 24-10,,5,46,9.20,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,2,59,29.50,0,0,0,,0,1,6,0.0,,
13,2006,2006-12-10,13,21.262,JAX,,IND,W 44-17,,15,166,11.07,2,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0,,,,,,2,109,54.50,1,1,13,13.00,0,3,18,0.0,,
14,2006,2006-12-17,14,21.269,JAX,@,TEN,L 17-24,,25,98,3.92,1,3,3,47,15.67,0,100.0%,15.67,0,0,,0,0,0,,,,,,1,29,29.00,0,0,0,,0,1,6,0.0,,
15,2006,2006-12-24,15,21.276,JAX,,NWE,L 21-24,*,19,131,6.89,2,9,6,41,6.83,0,66.7%,4.56,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0.0,,
16,2006,2006-12-31,16,21.283,JAX,@,KAN,L 30-35,,12,46,3.83,1,6,4,16,4.00,0,66.7%,2.67,0,0,,0,0,0,,,,,,5,142,28.40,0,0,0,,0,1,6,0.0,,
17,2007,2007-09-09,1,22.170,JAX,,TEN,L 10-13,,7,32,4.57,0,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,,,,,2,71,35.50,0,0,0,,0,0,0,0.0,,
18,2007,2007-09-16,2,22.177,JAX,,ATL,W 13-7,,11,31,2.82,0,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
19,2007,2007-09-23,3,22.184,JAX,@,DEN,W 23-14,,15,37,2.47,0,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,3,89,29.67,0,0,0,,0,0,0,0.0,,
20,2007,2007-10-07,4,22.198,JAX,@,KAN,W 17-7,,9,82,9.11,1,3,3,30,10.00,0,100.0%,10.00,0,0,,0,0,0,,,,,,1,29,29.00,0,0,0,,0,1,6,0.0,,
21,2007,2007-10-14,5,22.205,JAX,,HOU,W 37-17,,12,125,10.42,2,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,,,,,4,76,19.00,0,0,0,,0,2,12,0.0,,
22,2007,2007-10-22,6,22.213,JAX,,IND,L 7-29,,13,52,4.00,1,4,3,17,5.67,0,75.0%,4.25,0,0,,0,0,0,,,,,,4,133,33.25,0,0,0,,0,1,6,0.0,,
23,2007,2007-10-28,7,22.219,JAX,@,TAM,W 24-23,,10,48,4.80,0,4,2,14,7.00,0,50.0%,3.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,,
24,2007,2007-11-04,8,22.226,JAX,@,NOR,L 24-41,,5,28,5.60,0,4,2,31,15.50,0,50.0%,7.75,0,0,,0,0,0,,,,,,3,142,47.33,1,1,0,0.00,0,1,6,0.0,,
25,2007,2007-11-11,9,22.233,JAX,@,TEN,W 28-13,,19,101,5.32,1,4,3,28,9.33,0,75.0%,7.00,0,0,,0,0,0,,,,,,2,29,14.50,0,2,28,14.00,0,1,6,0.0,,
26,2007,2007-11-18,10,22.240,JAX,,SDG,W 24-17,,12,33,2.75,1,3,1,4,4.00,0,33.3%,1.33,0,0,,0,0,0,,,,,,4,71,17.75,0,0,0,,0,1,6,0.0,,
27,2007,2007-11-25,11,22.247,JAX,,BUF,W 36-14,,10,10,1.00,1,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,,,,,,2,53,26.50,0,0,0,,0,1,6,0.0,,
28,2007,2007-12-02,12,22.254,JAX,@,IND,L 25-28,,11,52,4.73,1,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,,,,,2,42,21.00,0,0,0,,0,1,6,0.0,,
29,2007,2007-12-09,13,22.261,JAX,,CAR,W 37-6,,11,24,2.18,0,4,2,21,10.50,0,50.0%,5.25,0,0,,0,0,0,,,,,,2,39,19.50,0,0,0,,0,0,0,0.0,,
30,2007,2007-12-16,14,22.268,JAX,@,PIT,W 29-22,,12,69,5.75,0,6,5,30,6.00,0,83.3%,5.00,0,0,,0,0,0,,,,,,2,37,18.50,0,0,0,,0,0,0,0.0,,
31,2007,2007-12-23,15,22.275,JAX,,OAK,W 49-11,,10,44,4.40,1,7,6,96,16.00,0,85.7%,13.71,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,1,6,0.0,,
32,2008,2008-09-07,1,23.168,JAX,@,TEN,L 10-17,,5,13,2.60,0,4,4,37,9.25,0,100.0%,9.25,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
33,2008,2008-09-14,2,23.175,JAX,,BUF,L 16-20,,7,17,2.43,1,3,3,25,8.33,0,100.0%,8.33,0,0,,0,0,0,,,,,,0,0,,0,1,15,15.00,0,1,6,0.0,0,0
34,2008,2008-09-21,3,23.182,JAX,@,IND,W 23-21,,19,107,5.63,1,5,4,59,14.75,0,80.0%,11.80,0,0,,0,0,0,,,,,,1,25,25.00,0,0,0,,0,1,6,0.0,0,0
35,2008,2008-09-28,4,23.189,JAX,,HOU,W 30-27,,7,32,4.57,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,0,0,0.0,0,0
36,2008,2008-10-05,5,23.196,JAX,,PIT,L 21-26,,5,7,1.40,1,6,6,23,3.83,0,100.0%,3.83,0,0,,0,0,0,,,,,,1,12,12.00,0,0,0,,0,1,6,0.0,0,0
37,2008,2008-10-12,6,23.203,JAX,@,DEN,W 24-17,,22,125,5.68,2,2,2,23,11.50,0,100.0%,11.50,0,0,,0,0,0,,,,,,1,18,18.00,0,0,0,,0,2,12,0.0,0,0
38,2008,2008-10-26,7,23.217,JAX,,CLE,L 17-23,,12,29,2.42,0,5,3,19,6.33,0,60.0%,3.80,0,0,,0,0,0,,,,,,0,0,,0,1,9,9.00,0,0,0,0.0,0,0
39,2008,2008-11-02,8,23.224,JAX,@,CIN,L 19-21,,10,33,3.30,1,2,2,29,14.50,0,100.0%,14.50,0,0,,0,0,0,,,,,,2,38,19.00,0,1,13,13.00,0,1,6,0.0,0,0
40,2008,2008-11-09,9,23.231,JAX,@,DET,W 38-14,,11,70,6.36,3,2,2,21,10.50,0,100.0%,10.50,0,0,,0,0,0,,,,,,0,0,,0,3,23,7.67,0,3,18,0.0,0,0
41,2008,2008-11-16,10,23.238,JAX,,TEN,L 14-24,,17,66,3.88,2,3,3,27,9.00,0,100.0%,9.00,0,0,,0,0,0,,,,,,0,0,,0,0,0,,0,2,12,0.0,0,0
42,2008,2008-11-23,11,23.245,JAX,,MIN,L 12-30,,3,4,1.33,0,10,9,113,12.56,0,90.0%,11.30,0,0,,0,0,0,,,,,,4,107,26.75,0,1,9,9.00,0,0,0,0.0,0,0
43,2008,2008-12-01,12,23.253,JAX,@,HOU,L 17-30,,12,49,4.08,0,5,3,22,7.33,0,60.0%,4.40,0,0,,0,0,0,,,,,,2,31,15.50,0,0,0,,0,0,0,0.0,0,0
