ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-10-17,6,23.177,SDG,@,STL,L 17-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
2,2010,2010-10-24,7,23.184,SDG,,NWE,L 20-23,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,0.0,1,0
3,2010,2010-10-31,8,23.191,SDG,,TEN,W 33-25,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
4,2011,2011-09-11,1,24.141,SDG,,MIN,W 24-17,,0,0,0,,0,0.0%,,2,53,26.50,0,0,0,0.0,0,0
5,2011,2011-09-18,2,24.148,SDG,@,NWE,L 21-35,,1,0,0,,0,0.0%,0.00,3,63,21.00,0,0,0,0.0,0,0
6,2011,2011-09-25,3,24.155,SDG,,KAN,W 20-17,,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,0.0,0,0
7,2011,2011-10-02,4,24.162,SDG,,MIA,W 26-16,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,0.0,0,0
8,2011,2011-10-09,5,24.169,SDG,@,DEN,W 29-24,,,,,,,0.0%,,,,,,,,,,
9,2011,2011-10-23,6,24.183,SDG,@,NYJ,L 21-27,,0,0,0,,0,0.0%,,6,139,23.17,0,0,0,0.0,0,0
10,2011,2011-10-31,7,24.191,SDG,@,KAN,L 20-23,,1,0,0,,0,0.0%,0.00,1,24,24.00,0,0,0,0.0,0,0
11,2011,2011-11-06,8,24.197,SDG,,GNB,L 38-45,,0,0,0,,0,0.0%,,3,89,29.67,0,0,0,0.0,0,0
12,2011,2011-11-10,9,24.201,SDG,,OAK,L 17-24,,,,,,,0.0%,,,,,,,,,,
13,2011,2011-11-20,10,24.211,SDG,@,CHI,L 20-31,,0,0,0,,0,0.0%,,4,144,36.00,0,0,0,0.0,0,0
14,2011,2011-11-27,11,24.218,SDG,,DEN,L 13-16,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,0.0,0,0
15,2011,2011-12-05,12,24.226,SDG,@,JAX,W 38-14,,0,0,0,,0,0.0%,,1,36,36.00,0,0,0,0.0,0,0
16,2011,2011-12-11,13,24.232,SDG,,BUF,W 37-10,,0,0,0,,0,0.0%,,2,42,21.00,0,0,0,0.0,0,0
17,2011,2011-12-18,14,24.239,SDG,,BAL,W 34-14,,,,,,,0.0%,,,,,,,,,,
18,2011,2011-12-24,15,24.245,SDG,@,DET,L 10-38,,0,0,0,,0,0.0%,,3,69,23.00,0,0,0,0.0,0,0
19,2011,2012-01-01,16,24.253,SDG,@,OAK,W 38-26,,0,0,0,,0,0.0%,,6,215,35.83,1,0,6,0.0,0,0
20,2012,2012-09-10,1,25.140,SDG,@,OAK,W 22-14,,0,0,0,,0,0.0%,,3,76,25.33,0,0,0,0.0,0,0
21,2012,2012-09-16,2,25.146,SDG,,TEN,W 38-10,,0,0,0,,0,0.0%,,2,74,37.00,0,0,0,0.0,0,0
22,2012,2012-09-23,3,25.153,SDG,,ATL,L 3-27,,0,0,0,,0,0.0%,,1,31,31.00,0,0,0,0.0,0,0
23,2012,2012-09-30,4,25.160,SDG,@,KAN,W 37-20,,0,0,0,,0,0.0%,,2,53,26.50,0,0,0,0.0,0,0
24,2012,2012-10-07,5,25.167,SDG,@,NOR,L 24-31,,0,0,0,,0,0.0%,,5,127,25.40,0,0,0,0.0,0,0
25,2012,2012-10-15,6,25.175,SDG,,DEN,L 24-35,,2,0,0,,0,0.0%,0.00,4,115,28.75,0,0,0,0.0,0,0
26,2012,2012-10-28,7,25.188,SDG,@,CLE,L 6-7,,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,0.0,0,0
