ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2018,2018-09-09,1,22.297,MIA,,TEN,W 27-20,,3,3,100.0,2,2,100.0,0,9
2,2018,2018-09-16,2,22.304,MIA,@,NYJ,W 20-12,,2,3,66.7,,,,0,2
3,2018,2018-09-23,3,22.311,MIA,,OAK,W 28-20,,4,4,100.0,,,,0,4
