ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1981,1981-09-06,1,22.248,STL,,MIA,L 7-20,,0,0,,0,0,0,,,,,,0,0,,0,7,305,43.57,0
2,1981,1981-09-13,2,22.255,STL,@,DAL,L 17-30,,0,0,,0,0,0,,,,,,0,0,,0,4,144,36.00,0
3,1981,1981-09-20,3,22.262,STL,,WAS,W 40-30,,0,0,,0,0,0,,,,,,0,0,,0,5,201,40.20,0
4,1981,1981-09-27,4,22.269,STL,@,TAM,L 10-20,,0,0,,0,0,0,,,,,,0,0,,0,4,167,41.75,0
5,1981,1981-10-04,5,22.276,STL,,DAL,W 20-17,,0,0,,0,0,0,,,,,,0,0,,0,6,271,45.17,0
6,1981,1981-10-11,6,22.283,STL,@,NYG,L 14-34,,0,0,,0,0,0,,,,,,0,0,,0,4,194,48.50,0
7,1981,1981-10-18,7,22.290,STL,@,ATL,L 20-41,,0,0,,0,0,0,,,,,,0,0,,0,6,271,45.17,0
8,1981,1981-10-25,8,22.297,STL,,MIN,W 30-17,,0,0,,0,0,0,,,,,,0,0,,0,3,127,42.33,0
9,1981,1981-11-01,9,22.304,STL,@,WAS,L 21-42,,0,0,,0,0,0,,,,,,0,0,,0,2,100,50.00,0
10,1981,1981-11-08,10,22.311,STL,,PHI,L 10-52,,0,0,,0,0,0,,,,,,0,0,,0,3,125,41.67,0
11,1981,1981-11-15,11,22.318,STL,,BUF,W 24-0,,0,0,,0,0,0,,,,,,0,0,,0,3,101,33.67,0
12,1981,1981-11-22,12,22.325,STL,@,BAL,W 35-24,,0,0,,0,0,0,,,,,,0,0,,0,4,145,36.25,0
13,1981,1981-11-29,13,22.332,STL,@,NWE,W 27-20,,0,0,,0,0,0,,,,,,1,-2,-2.00,0,2,70,35.00,0
14,1981,1981-12-06,14,22.339,STL,,NOR,W 30-3,,0,0,,0,0,0,,,,,,0,0,,0,2,88,44.00,0
15,1981,1981-12-13,15,22.346,STL,,NYG,L 10-20,,0,0,,0,0,0,,,,,,0,0,,0,8,322,40.25,0
16,1981,1981-12-20,16,22.353,STL,@,PHI,L 0-38,,0,0,,0,0,0,,,,,,0,0,,0,6,252,42.00,0
17,1982,1982-09-12,1,23.254,STL,@,NOR,W 21-7,,0,0,,0,0,0,,,,,,0,0,,0,8,363,45.38,0
18,1982,1982-09-19,2,23.261,STL,,DAL,L 7-24,,0,0,,0,0,0,,,,,,0,0,,0,6,288,48.00,0
19,1982,1982-11-21,3,23.324,STL,,SFO,L 20-31,,0,0,,0,0,0,,,,,,0,0,,0,8,336,42.00,0
20,1982,1982-11-28,4,23.331,STL,@,ATL,W 23-20,,0,0,,0,0,0,,,,,,0,0,,0,4,171,42.75,0
21,1982,1982-12-05,5,23.338,STL,@,PHI,W 23-20,,0,0,,0,0,0,,,,,,0,0,,0,2,105,52.50,0
22,1982,1982-12-12,6,23.345,STL,,WAS,L 7-12,,0,0,,0,0,0,,,,,,0,0,,0,2,81,40.50,0
23,1982,1982-12-19,7,23.352,STL,@,CHI,W 10-7,,0,0,,0,0,0,,,,,,0,0,,0,6,253,42.17,0
24,1982,1982-12-26,8,23.359,STL,,NYG,W 24-21,,0,0,,0,0,0,,,,,,0,0,,0,8,355,44.38,0
25,1982,1983-01-02,9,24.001,STL,@,WAS,L 0-28,,0,0,,0,0,0,,,,,,0,0,,0,10,413,41.30,0
26,1983,1983-09-04,1,24.246,STL,@,NOR,L 17-28,,0,0,,0,0,0,,0,,,,0,0,,0,4,188,47.00,0
27,1983,1983-09-11,2,24.253,STL,,DAL,L 17-34,,1,1,100.00,11,0,0,112.5,0,0,11.00,11.00,0,0,,0,4,167,41.75,0
28,1983,1983-09-18,3,24.260,STL,,SFO,L 27-42,,0,0,,0,0,0,,0,,,,0,0,,0,5,226,45.20,0
