ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1999,1999-11-21,10,22.348,MIA,,NWE,W 27-17,,,,,,,,,,,0.0%,,,,,,,,,
2,1999,1999-12-05,12,22.362,MIA,,IND,L 34-37,,,,,,,,,,,0.0%,,,,,,,,,
3,1999,1999-12-12,13,23.004,MIA,@,NYJ,L 20-28,,2,5,2.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0
4,1999,1999-12-19,14,23.011,MIA,,SDG,W 12-9,,5,13,2.60,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,0
5,1999,1999-12-27,15,23.019,MIA,,NYJ,L 31-38,,,,,,,,,,,0.0%,,,,,,,,,
6,1999,2000-01-02,16,23.025,MIA,@,WAS,L 10-21,*,21,80,3.81,0,4,3,26,8.67,0,75.0%,6.50,0,0,,0,0,0,,0
7,2000,2000-10-01,5,23.298,MIA,@,CIN,W 31-16,,8,32,4.00,0,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,,0
8,2000,2000-10-08,6,23.305,MIA,,BUF,W 22-13,,1,5,5.00,0,1,1,3,3.00,0,100.0%,3.00,1,23,23.00,0,0,0,,0
9,2000,2000-10-29,8,23.326,MIA,,GNB,W 28-20,,0,0,,0,0,0,0,,0,0.0%,,1,39,39.00,0,0,0,,0
10,2000,2000-11-05,9,23.333,MIA,@,DET,W 23-8,,0,0,,0,0,0,0,,0,0.0%,,1,56,56.00,0,0,0,,0
11,2000,2000-11-12,10,23.340,MIA,@,SDG,W 17-7,,5,5,1.00,0,2,0,0,,0,0.0%,0.00,2,50,25.00,0,0,0,,0
12,2000,2000-11-19,11,23.347,MIA,,NYJ,L 3-20,,6,21,3.50,0,4,3,14,4.67,0,75.0%,3.50,4,89,22.25,0,0,0,,0
13,2000,2000-11-26,12,23.354,MIA,@,IND,W 17-14,,3,22,7.33,0,7,6,63,10.50,0,85.7%,9.00,2,65,32.50,0,0,0,,0
14,2000,2000-12-03,13,23.361,MIA,@,BUF,W 33-6,,2,10,5.00,0,2,0,0,,0,0.0%,0.00,2,32,16.00,0,0,0,,0
15,2000,2000-12-10,14,24.002,MIA,,TAM,L 13-16,,2,3,1.50,0,0,0,0,,0,0.0%,,3,64,21.33,0,0,0,,0
16,2000,2000-12-17,15,24.009,MIA,,IND,L 13-20,,2,11,5.50,0,2,1,9,9.00,0,50.0%,4.50,2,39,19.50,0,0,0,,0
17,2000,2000-12-24,16,24.016,MIA,@,NWE,W 27-24,,2,-1,-0.50,0,2,2,11,5.50,0,100.0%,5.50,2,38,19.00,0,0,0,,0
18,2001,2001-09-09,1,24.275,CHI,@,BAL,L 6-17,,,,,,,,,,,0.0%,,,,,,,,,
19,2001,2001-09-23,2,24.289,CHI,,MIN,W 17-10,,,,,,0,,,,,0.0%,,,,,,,,,
20,2001,2001-10-07,3,24.303,CHI,@,ATL,W 31-3,,,,,,,,,,,0.0%,,,,,,,,,
21,2001,2001-10-14,4,24.310,CHI,,ARI,W 20-13,,,,,,,,,,,0.0%,,,,,,,,,
22,2001,2001-10-21,5,24.317,CHI,@,CIN,W 24-0,,0,0,,0,0,0,0,,0,0.0%,,1,25,25.00,0,0,0,,0
23,2001,2001-10-28,6,24.324,CHI,,SFO,W 37-31,,0,0,,0,0,0,0,,0,0.0%,,2,51,25.50,0,0,0,,0
24,2001,2001-11-04,7,24.331,CHI,,CLE,W 27-21,,0,0,,0,0,0,0,,0,0.0%,,2,60,30.00,0,0,0,,0
25,2001,2001-11-11,8,24.338,CHI,,GNB,L 12-20,,0,0,,0,0,0,0,,0,0.0%,,3,68,22.67,0,0,0,,0
26,2001,2001-11-18,9,24.345,CHI,@,TAM,W 27-24,,0,0,,0,0,0,0,,0,0.0%,,3,63,21.00,0,0,0,,0
27,2001,2001-11-25,10,24.352,CHI,@,MIN,W 13-6,,0,0,,0,0,0,0,,0,0.0%,,2,31,15.50,0,0,0,,0
28,2001,2001-12-02,11,24.359,CHI,,DET,W 13-10,,1,4,4.00,0,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,,0
29,2001,2001-12-09,12,25.001,CHI,@,GNB,L 7-17,,0,0,,0,0,0,0,,0,0.0%,,1,35,35.00,0,0,0,,0
30,2001,2001-12-16,13,25.008,CHI,,TAM,W 27-3,,0,0,,0,0,0,0,,0,0.0%,,2,49,24.50,0,0,0,,0
31,2001,2001-12-23,14,25.015,CHI,@,WAS,W 20-15,,0,0,,0,0,0,0,,0,0.0%,,3,62,20.67,0,1,5,5.00,0
32,2001,2001-12-30,15,25.022,CHI,@,DET,W 24-0,,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0,0,0,,0
33,2001,2002-01-06,16,25.029,CHI,,JAX,W 33-13,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,0,0,,0
34,2002,2002-11-10,9,25.337,IND,@,PHI,W 35-13,,2,2,1.00,0,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,,0
