ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,def_int,def_int_yds,def_int_td
1,2003,2003-12-28,16,22.319,HOU,,IND,L 17-20,,,,
2,2004,2004-11-14,9,23.276,NYG,@,ARI,L 14-17,,,,
3,2004,2004-11-21,10,23.283,NYG,,ATL,L 10-14,,,,
4,2004,2004-11-28,11,23.290,NYG,,PHI,L 6-27,,,,
5,2004,2004-12-05,12,23.297,NYG,@,WAS,L 7-31,,,,
6,2004,2004-12-12,13,23.304,NYG,@,BAL,L 14-37,,,,
7,2004,2004-12-18,14,23.310,NYG,,PIT,L 30-33,,,,
8,2004,2004-12-26,15,23.318,NYG,@,CIN,L 22-23,*,,,
9,2004,2005-01-02,16,23.325,NYG,,DAL,W 28-24,*,1,12,0
10,2006,2006-09-24,3,25.224,WAS,@,HOU,W 31-15,,,,
11,2006,2006-10-01,4,25.231,WAS,,JAX,W 36-30,,,,
