ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1975,1975-09-21,1,22.124,NOR,@,WAS,L 3-41,,,,,,,,,,
2,1975,1975-09-28,2,22.131,NOR,,CIN,L 0-21,,,,,,,,,,
3,1975,1975-10-05,3,22.138,NOR,@,ATL,L 7-14,,,,,,,,,,
4,1975,1975-10-12,4,22.145,NOR,,GNB,W 20-19,,,,,,,,,,
5,1975,1975-10-19,5,22.152,NOR,@,SFO,L 21-35,,,,,,,,,,
6,1975,1975-10-26,6,22.159,NOR,@,RAM,L 14-38,,,,,,,,,,
7,1975,1975-11-02,7,22.166,NOR,,ATL,W 23-7,,,,,,,,,,
8,1975,1975-11-09,8,22.173,NOR,@,OAK,L 10-48,,,,,,,,,,
9,1975,1975-11-16,9,22.180,NOR,,MIN,L 7-20,,,,,,,,,,
10,1975,1975-11-23,10,22.187,NOR,,SFO,L 6-16,,,,,,,,,,
11,1976,1976-09-12,1,23.115,NOR,,MIN,L 9-40,,,,,,,,,,
12,1976,1976-10-10,5,23.143,NOR,,ATL,W 30-0,,,,,,,,,,
13,1976,1976-10-17,6,23.150,NOR,@,SFO,L 3-33,,,,,,,,,,
14,1976,1976-10-24,7,23.157,NOR,,RAM,L 10-16,,,,,,,,,,
15,1976,1976-10-31,8,23.164,NOR,@,ATL,L 20-23,,,,,,,,,,
16,1976,1976-11-07,9,23.171,NOR,@,GNB,L 27-32,,,,,,,,,,
17,1976,1976-11-14,10,23.178,NOR,,DET,W 17-16,,,,,,,,,,
18,1976,1976-11-21,11,23.185,NOR,@,SEA,W 51-27,,,,,,,,,,
19,1976,1976-11-28,12,23.192,NOR,@,RAM,L 14-33,,,,,,,,,,
20,1976,1976-12-05,13,23.199,NOR,@,NWE,L 6-27,,,,,,,,,,
21,1976,1976-12-12,14,23.206,NOR,,SFO,L 7-27,,,,,,,,,,
22,1977,1977-09-18,1,24.121,NOR,,GNB,L 20-24,,,,,,,,,,
23,1977,1977-09-25,2,24.128,NOR,@,DET,L 19-23,,,,,,,,,,
24,1977,1977-10-02,3,24.135,NOR,@,CHI,W 42-24,,,,,,,,,,
25,1977,1977-10-09,4,24.142,NOR,,SDG,L 0-14,,,,,,,,,,
26,1977,1977-10-16,5,24.149,NOR,@,RAM,L 7-14,,,,,,,,,,
27,1977,1977-10-23,6,24.156,NOR,@,STL,L 31-49,,,,,,,,,,
28,1977,1977-10-30,7,24.163,NOR,,RAM,W 27-26,1,3,3.00,1,1,6,0.0,0,0,0
29,1977,1977-11-06,8,24.170,NOR,@,PHI,L 7-28,,,,,,,,,,
30,1977,1977-11-13,9,24.177,NOR,,SFO,L 7-10,,,,,,,,,,
31,1977,1977-11-20,10,24.184,NOR,,ATL,W 21-20,,,,,,,,,,
32,1977,1977-11-27,11,24.191,NOR,@,SFO,L 17-20,,,,,,,,,,
33,1977,1977-12-04,12,24.198,NOR,,NYJ,L 13-16,,,,,,,,,,
