ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-29,3,22.033,BAL,@,GNB,L 20-31,0,0,,0,1,5,5.00,0,0,0,0,0,0,0,0,,0
2,1963,1963-10-06,4,22.040,BAL,@,CHI,L 3-10,1,31,31.00,0,4,67,16.75,0,0,0,0,0,0,0,0,,0
3,1963,1963-10-13,5,22.047,BAL,,SFO,W 20-3,1,20,20.00,0,5,25,5.00,0,0,0,0,0,0,0,0,,0
4,1963,1963-10-20,6,22.054,BAL,@,DET,W 25-21,2,37,18.50,0,4,45,11.25,0,0,0,0,0,0,0,0,,0
5,1963,1963-10-27,7,22.061,BAL,,GNB,L 20-34,2,40,20.00,0,0,0,,0,0,0,0,0,0,0,0,,0
6,1963,1963-11-10,9,22.075,BAL,,DET,W 24-21,2,42,21.00,0,1,10,10.00,0,0,0,0,0,0,0,0,,0
7,1963,1963-11-17,10,22.082,BAL,@,MIN,W 37-34,0,0,,0,5,42,8.40,0,0,0,0,0,0,0,0,,0
8,1963,1963-11-24,11,22.089,BAL,@,RAM,L 16-17,0,0,,0,4,24,6.00,0,0,0,1,15,0,0,0,,0
9,1963,1963-12-01,12,22.096,BAL,@,WAS,W 36-20,0,0,,0,2,41,20.50,0,0,0,0,0,0,0,0,,0
10,1963,1963-12-15,14,22.110,BAL,,RAM,W 19-16,0,0,,0,2,20,10.00,0,0,0,0,0,0,4,121,30.25,0
11,1964,1964-09-13,1,23.017,BAL,@,MIN,L 24-34,0,0,,0,0,0,,0,0,0,1,30,0,0,0,,0
12,1964,1964-09-20,2,23.024,BAL,@,GNB,W 21-20,0,0,,0,1,22,22.00,0,0,0,1,11,0,0,0,,0
13,1964,1964-10-25,7,23.059,BAL,@,DET,W 34-0,0,0,,0,0,0,,0,1,6,1,18,1,0,0,,0
14,1964,1964-11-15,10,23.080,BAL,,MIN,W 17-14,0,0,,0,0,0,,0,0,0,1,2,0,0,0,,0
15,1964,1964-11-22,11,23.087,BAL,@,RAM,W 24-7,0,0,,0,6,57,9.50,0,0,0,0,0,0,0,0,,0
16,1964,1964-11-29,12,23.094,BAL,@,SFO,W 14-3,0,0,,0,3,30,10.00,0,0,0,1,30,0,0,0,,0
17,1964,1964-12-13,14,23.108,BAL,,WAS,W 45-17,0,0,,0,3,2,0.67,0,0,0,1,0,0,0,0,,0
18,1965,1965-09-19,1,24.023,BAL,,MIN,W 35-16,0,0,,0,0,0,,0,1,6,1,38,1,0,0,,0
