ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1979,1979-09-02,1,22.184,NYG,@,PHI,L 17-23,3,83,27.67,0,0,0,,0,0,0,,0,0,0
2,1979,1979-09-09,2,22.191,NYG,,STL,L 14-27,4,48,12.00,0,0,0,,0,0,0,,0,0,0
3,1979,1979-09-17,3,22.199,NYG,@,WAS,L 0-27,,,,,,,,,,,,,,
4,1979,1979-09-23,4,22.205,NYG,,PHI,L 13-17,1,18,18.00,0,1,9,9.00,0,0,0,,0,0,0
5,1979,1979-09-30,5,22.212,NYG,@,NOR,L 14-24,1,16,16.00,0,0,0,,0,0,0,,0,0,0
6,1979,1979-10-07,6,22.219,NYG,,TAM,W 17-14,0,0,,0,0,0,,0,1,0,0.00,0,0,0
7,1979,1979-10-14,7,22.226,NYG,,SFO,W 32-16,8,169,21.13,2,0,0,,0,0,0,,0,2,12
8,1979,1979-10-21,8,22.233,NYG,@,KAN,W 21-17,4,107,26.75,1,0,0,,0,0,0,,0,1,6
9,1979,1979-10-28,9,22.240,NYG,@,RAM,W 20-14,0,0,,0,1,-7,-7.00,0,0,0,,0,0,0
10,1979,1979-11-04,10,22.247,NYG,,DAL,L 14-16,2,33,16.50,0,0,0,,0,0,0,,0,0,0
11,1979,1979-11-11,11,22.254,NYG,,ATL,W 24-3,1,13,13.00,0,0,0,,0,0,0,,0,0,0
12,1979,1979-11-18,12,22.261,NYG,@,TAM,L 3-31,,,,,,,,,,,,,,
13,1979,1979-11-25,13,22.268,NYG,,WAS,W 14-6,2,37,18.50,0,0,0,,0,0,0,,0,0,0
14,1979,1979-12-02,14,22.275,NYG,@,DAL,L 7-28,1,9,9.00,0,0,0,,0,0,0,,0,0,0
15,1979,1979-12-09,15,22.282,NYG,@,STL,L 20-29,,,,,,,,,,,,,,
16,1979,1979-12-16,16,22.289,NYG,,BAL,L 7-31,1,4,4.00,1,0,0,,0,0,0,,0,1,6
