ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1997,1997-11-02,9,22.091,DEN,,SEA,W 30-27,,,0,0,0.5,,,0,0,0
2,1997,1997-11-09,10,22.098,DEN,,CAR,W 34-0,,,0,0,0.5,,,0,0,0
3,1997,1997-11-16,11,22.105,DEN,@,KAN,L 22-24,,,,,,,,,,
4,1997,1997-11-24,12,22.113,DEN,,OAK,W 31-3,,,,,,,,,,
5,1997,1997-11-30,13,22.119,DEN,@,SDG,W 38-28,,,,,,,,,,
6,1997,1997-12-07,14,22.126,DEN,@,PIT,L 24-35,,,,,,,,,,
7,1997,1997-12-15,15,22.134,DEN,@,SFO,L 17-34,,,,,,,,,,
8,1997,1997-12-21,16,22.140,DEN,,SDG,W 38-3,,,0,0,1.0,,,0,0,0
9,1998,1998-09-07,1,23.035,DEN,,NWE,W 27-21,,,,,,,,,,
10,1998,1998-09-13,2,23.041,DEN,,DAL,W 42-23,,,,,,,,,,
11,1998,1998-09-20,3,23.048,DEN,@,OAK,W 34-17,,,0,0,1.0,,,0,0,0
12,1998,1998-09-27,4,23.055,DEN,@,WAS,W 38-16,,,0,0,0.0,,,1,1,0
13,1998,1998-10-04,5,23.062,DEN,,PHI,W 41-16,,,0,0,1.0,,,0,0,0
14,1998,1998-10-11,6,23.069,DEN,@,SEA,W 21-16,,,0,0,1.0,,,0,0,0
15,1998,1998-10-25,7,23.083,DEN,,JAX,W 37-24,,,0,0,2.0,,,0,0,0
16,1998,1998-11-01,8,23.090,DEN,@,CIN,W 33-26,,,,,,,,,,
17,1998,1998-11-08,9,23.097,DEN,,SDG,W 27-10,,,,,,,,,,
18,1998,1998-11-16,10,23.105,DEN,@,KAN,W 30-7,,,0,0,1.0,,,0,0,0
19,1998,1998-11-22,11,23.111,DEN,,OAK,W 40-14,,,0,0,1.0,,,0,0,0
20,1998,1998-11-29,12,23.118,DEN,@,SDG,W 31-16,,,,,,,,,,
21,1998,1998-12-06,13,23.125,DEN,,KAN,W 35-31,,,,,,,,,,
22,1998,1998-12-13,14,23.132,DEN,@,NYG,L 16-20,,,0,0,0.5,,,0,0,0
23,1998,1998-12-21,15,23.140,DEN,@,MIA,L 21-31,,,,,,,,,,
24,1998,1998-12-27,16,23.146,DEN,,SEA,W 28-21,,,0,0,1.0,,,0,0,0
25,1999,1999-09-13,1,24.041,DEN,,MIA,L 21-38,*,,,,,,,,,
26,1999,1999-09-19,2,24.047,DEN,@,KAN,L 10-26,*,,0,0,0.0,,,1,0,0
27,1999,1999-09-26,3,24.054,DEN,@,TAM,L 10-13,*,,0,0,3.0,,,0,0,0
28,1999,1999-10-03,4,24.061,DEN,,NYJ,L 13-21,*,,0,0,1.0,,,0,0,0
29,1999,1999-10-10,5,24.068,DEN,@,OAK,W 16-13,*,,0,0,1.0,,,0,0,0
30,1999,1999-10-17,6,24.075,DEN,,GNB,W 31-10,*,,,,,,,,,
31,1999,1999-10-24,7,24.082,DEN,@,NWE,L 23-24,*,,,,,,,,,
32,1999,1999-10-31,8,24.089,DEN,,MIN,L 20-23,*,,0,0,1.0,,,0,0,0
33,1999,1999-11-07,9,24.096,DEN,@,SDG,W 33-17,*,,0,0,1.0,,,0,0,0
34,1999,1999-11-14,10,24.103,DEN,@,SEA,L 17-20,*,,,,,,,,,
35,1999,1999-11-22,11,24.111,DEN,,OAK,W 27-21,*,,0,0,1.0,,,0,0,0
36,1999,1999-12-05,12,24.124,DEN,,KAN,L 10-16,*,,,,,,,,,
37,1999,1999-12-13,13,24.132,DEN,@,JAX,L 24-27,*,,0,0,3.0,,,0,0,0
