ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1961,1961-10-01,3,23.113,MIN,@,BAL,L 33-34,1,3,3.00,0,0,0,,0,1,28,0
2,1961,1961-12-17,14,23.190,MIN,@,CHI,L 35-52,5,133,26.60,0,0,0,,0,0,0,0
3,1962,1962-09-23,2,24.105,NYG,@,PHI,W 29-13,0,0,,0,0,0,,0,1,17,0
4,1962,1962-11-04,8,24.147,NYG,,STL,W 31-28,0,0,,0,0,0,,0,1,7,0
5,1963,1963-09-15,1,25.097,NYG,@,BAL,W 37-28,2,55,27.50,0,1,9,9.00,0,0,0,0
6,1963,1963-09-22,2,25.104,NYG,@,PIT,L 0-31,2,47,23.50,0,2,13,6.50,0,0,0,0
7,1963,1963-09-29,3,25.111,NYG,@,PHI,W 37-14,1,27,27.00,0,0,0,,0,1,1,0
8,1963,1963-10-13,5,25.125,NYG,,CLE,L 24-35,2,40,20.00,0,,,,,,,
9,1963,1963-10-20,6,25.132,NYG,,DAL,W 37-21,1,28,28.00,0,0,0,,0,0,0,0
10,1963,1963-12-01,12,25.174,NYG,@,DAL,W 34-27,0,0,,0,2,5,2.50,0,0,0,0
11,1963,1963-12-15,14,25.188,NYG,,PIT,W 33-17,0,0,,0,2,20,10.00,0,0,0,0
