ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2000,2000-09-03,1,25.352,DAL,,PHI,L 14-41,,0,0,,0,,,,2,2,100.0,0,6
2,2000,2000-09-10,2,25.359,DAL,@,ARI,L 31-32,,0,0,,0,4,4,100.0,1,1,100.0,0,7
3,2000,2000-09-18,3,26.001,DAL,@,WAS,W 27-21,,0,0,,0,3,3,100.0,2,2,100.0,0,9
4,2000,2000-09-24,4,26.007,DAL,,SFO,L 24-41,,0,0,,0,3,3,100.0,1,1,100.0,0,6
5,2000,2000-10-01,5,26.014,DAL,@,CAR,W 16-13,,0,0,,0,,,,2,3,66.7,0,6
6,2000,2000-10-15,6,26.028,DAL,@,NYG,L 14-19,,0,0,,0,2,2,100.0,,,,0,2
7,2000,2000-10-22,7,26.035,DAL,,ARI,W 48-7,,0,0,,0,6,6,100.0,2,2,100.0,0,12
8,2000,2000-10-29,8,26.042,DAL,,JAX,L 17-23,,0,0,,0,2,2,100.0,1,1,100.0,0,5
9,2000,2000-11-05,9,26.049,DAL,@,PHI,L 13-16,,0,0,,0,1,1,100.0,2,2,100.0,0,7
10,2000,2000-11-12,10,26.056,DAL,,CIN,W 23-6,,1,1,1.00,1,2,2,100.0,3,6,50.0,1,17
11,2000,2000-11-19,11,26.063,DAL,@,BAL,L 0-27,,0,0,,0,,,,,1,0.0,0,0
12,2000,2000-11-23,12,26.067,DAL,,MIN,L 15-27,,0,0,,0,,,,3,4,75.0,0,9
13,2000,2000-12-03,13,26.077,DAL,@,TAM,L 7-27,,0,0,,0,1,1,100.0,,1,0.0,0,1
14,2000,2000-12-10,14,26.084,DAL,,WAS,W 32-13,,0,0,,0,2,2,100.0,4,5,80.0,0,14
15,2000,2000-12-17,15,26.091,DAL,,NYG,L 13-17,,0,0,,0,1,1,100.0,2,2,100.0,0,7
16,2000,2000-12-25,16,26.099,DAL,@,TEN,L 0-31,,,,,,,,,,,,,
17,2001,2001-09-09,1,26.357,DAL,,TAM,L 6-10,,0,0,,0,,,,2,2,100.0,0,6
18,2001,2001-09-23,2,27.006,DAL,,SDG,L 21-32,,0,0,,0,3,3,100.0,,,,0,3
19,2001,2001-09-30,3,27.013,DAL,@,PHI,L 18-40,,0,0,,0,,,,2,2,100.0,0,6
20,2001,2001-10-07,4,27.020,DAL,@,OAK,L 21-28,,1,8,8.00,1,3,3,100.0,,2,0.0,1,9
21,2001,2001-10-15,5,27.028,DAL,,WAS,W 9-7,,0,0,,0,,,,3,5,60.0,0,9
22,2001,2001-10-28,6,27.041,DAL,,ARI,W 17-3,,0,0,,0,2,2,100.0,1,1,100.0,0,5
23,2001,2001-11-04,7,27.048,DAL,@,NYG,L 24-27,,0,0,,0,3,3,100.0,1,3,33.3,0,6
24,2001,2001-11-11,8,27.055,DAL,@,ATL,L 13-20,,0,0,,0,1,1,100.0,2,2,100.0,0,7
25,2001,2001-11-18,9,27.062,DAL,,PHI,L 3-36,,,,,,,,,,,,,
26,2001,2001-11-22,10,27.066,DAL,,DEN,L 24-26,,,,,,,,,,,,,
27,2001,2001-12-02,11,27.076,DAL,@,WAS,W 20-14,,,,,,,,,,,,,
28,2001,2001-12-09,12,27.083,DAL,,NYG,W 20-13,,,,,,,,,,,,,
29,2001,2001-12-16,13,27.090,DAL,@,SEA,L 3-29,,,,,,,,,,,,,
30,2001,2001-12-23,14,27.097,DAL,@,ARI,L 10-17,,,,,,,,,,,,,
31,2001,2001-12-30,15,27.104,DAL,,SFO,W 27-21,,,,,,,,,,,,,
32,2001,2002-01-06,16,27.111,DAL,@,DET,L 10-15,,,,,,,,,,,,,
33,2002,2002-10-27,7,28.040,JAX,,HOU,L 19-21,,0,0,,0,2,2,100.0,1,3,33.3,0,5
34,2002,2002-11-03,8,28.047,JAX,@,NYG,L 17-24,,0,0,,0,2,2,100.0,1,1,100.0,0,5
35,2002,2002-11-10,9,28.054,JAX,,WAS,W 26-7,,0,0,,0,2,2,100.0,4,4,100.0,0,14
36,2002,2002-11-17,10,28.061,JAX,@,HOU,W 24-21,,0,0,,0,3,3,100.0,1,2,50.0,0,6
37,2002,2002-11-24,11,28.068,JAX,@,DAL,L 19-21,,0,0,,0,2,2,100.0,1,2,50.0,0,5
