ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2017,2017-09-10,1,21.030,CAR,@,SFO,W 23-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0
2,2017,2017-09-17,2,21.037,CAR,,BUF,W 9-3,,3,2,7,3.50,0,66.7%,2.33,0,0,,0,0,0,,0
3,2017,2017-09-24,3,21.044,CAR,,NOR,L 13-34,*,5,2,5,2.50,0,40.0%,1.00,1,31,31.00,0,1,30,30.00,0
4,2017,2017-10-08,5,21.058,CAR,@,DET,W 27-24,,2,0,0,,0,0.0%,0.00,0,0,,0,3,44,14.67,0
5,2017,2017-10-12,6,21.062,CAR,,PHI,L 23-28,,0,0,0,,0,0.0%,,1,8,8.00,0,1,33,33.00,0
6,2017,2017-10-22,7,21.072,CAR,@,CHI,L 3-17,*,1,1,20,20.00,0,100.0%,20.00,0,0,,0,2,43,21.50,0
7,2017,2017-10-29,8,21.079,CAR,@,TAM,W 17-3,,3,2,15,7.50,0,66.7%,5.00,1,11,11.00,0,1,23,23.00,0
8,2017,2017-11-05,9,21.086,CAR,,ATL,W 20-17,*,5,3,23,7.67,0,60.0%,4.60,1,14,14.00,0,0,0,,0
9,2017,2017-11-13,10,21.094,CAR,,MIA,W 45-21,*,7,5,45,9.00,0,71.4%,6.43,0,0,,0,2,48,24.00,0
