ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1994,1994-09-04,1,21.355,KAN,@,NOR,W 30-17,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
2,1994,1994-09-11,2,21.362,KAN,,SFO,W 24-17,,1,3,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
3,1994,1994-09-18,3,22.004,KAN,@,ATL,W 30-10,,2,7,3.50,1,0,0,0,,0,0.0%,,0,0,,0,1,6
4,1994,1994-09-25,4,22.011,KAN,,RAM,L 0-16,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,1994,1994-10-09,5,22.025,KAN,@,SDG,L 6-20,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
6,1994,1994-10-17,6,22.033,KAN,@,DEN,W 31-28,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
7,1994,1994-10-23,7,22.039,KAN,,SEA,W 38-23,,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0
8,1994,1994-10-30,8,22.046,KAN,@,BUF,L 10-44,,4,14,3.50,0,2,1,15,15.00,0,50.0%,7.50,1,12,12.00,0,0,0
9,1994,1994-11-06,9,22.053,KAN,,RAI,W 13-3,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
10,1994,1994-11-13,10,22.060,KAN,,SDG,L 13-14,,2,6,3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
11,1994,1994-11-20,11,22.067,KAN,,CLE,W 20-13,,11,41,3.73,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
12,1994,1994-11-27,12,22.074,KAN,@,SEA,L 9-10,,8,42,5.25,0,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0
13,1994,1994-12-04,13,22.081,KAN,,DEN,L 17-20,,4,10,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0
14,1994,1994-12-12,14,22.089,KAN,@,MIA,L 28-45,,3,19,6.33,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0
15,1994,1994-12-18,15,22.095,KAN,,HOU,W 31-9,,5,23,4.60,1,0,0,0,,0,0.0%,,0,0,,0,1,6
16,1995,1995-11-19,11,23.066,KAN,,HOU,W 20-13,,0,0,,0,,0,0,,0,0.0%,,,,,,0,
17,1995,1995-12-11,14,23.088,KAN,@,MIA,L 6-13,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
18,1995,1995-12-24,16,23.101,KAN,,SEA,W 26-3,,6,11,1.83,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
19,1996,1996-09-01,1,23.353,KAN,@,HOU,W 20-19,,2,12,6.00,0,1,1,-8,-8.00,0,100.0%,-8.00,0,0,,0,0,0
20,1996,1996-09-08,2,23.360,KAN,,OAK,W 19-3,,5,26,5.20,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
21,1996,1996-09-15,3,24.001,KAN,@,SEA,W 35-17,,2,40,20.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
22,1996,1996-09-22,4,24.008,KAN,,DEN,W 17-14,,0,0,,0,1,0,0,,0,0.0%,0.00,,,,,0,
23,1996,1996-09-29,5,24.015,KAN,@,SDG,L 19-22,,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
24,1996,1996-10-07,6,24.023,KAN,,PIT,L 7-17,,4,29,7.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0
25,1996,1996-10-17,7,24.033,KAN,,SEA,W 34-16,,10,32,3.20,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
26,1996,1996-10-27,8,24.043,KAN,@,DEN,L 7-34,,1,2,2.00,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0
27,1996,1996-11-03,9,24.050,KAN,@,MIN,W 21-6,,1,4,4.00,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
28,1996,1996-11-10,10,24.057,KAN,,GNB,W 27-20,,8,22,2.75,0,0,0,0,,0,0.0%,,0,0,,0,0,0
29,1996,1996-11-17,11,24.064,KAN,,CHI,W 14-10,,2,-1,-0.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
30,1996,1996-11-24,12,24.071,KAN,,SDG,L 14-28,,0,0,,0,2,1,-3,-3.00,0,50.0%,-1.50,0,0,,0,0,0
31,1996,1996-11-28,13,24.075,KAN,@,DET,W 28-24,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
