ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1964,1964-09-13,1,25.278,MIN,,BAL,W 34-24,0,6,,0,,,,
2,1964,1964-11-22,11,25.348,MIN,@,DET,T 23-23,0,16,,0,,,,
3,1968,1968-12-08,13,29.364,MIN,@,SFO,W 30-20,0,0,,0,1,0,0.00,0
4,1969,1969-12-07,12,30.362,MIN,@,RAM,W 20-13,0,0,,0,1,0,0.00,0
5,1970,1970-09-20,1,31.284,MIN,,KAN,W 27-10,,,,,,,,
6,1970,1970-09-27,2,31.291,MIN,,NOR,W 26-0,,,,,,,,
7,1970,1970-10-04,3,31.298,MIN,@,GNB,L 10-13,,,,,,,,
8,1970,1970-10-11,4,31.305,MIN,@,CHI,W 24-0,,,,,,,,
9,1970,1970-10-18,5,31.312,MIN,,DAL,W 54-13,,,,,,,,
10,1970,1970-10-26,6,31.320,MIN,,RAM,W 13-3,,,,,,,,
11,1970,1970-11-01,7,31.326,MIN,@,DET,W 30-17,,,,,,,,
12,1970,1970-11-08,8,31.333,MIN,@,WAS,W 19-10,,,,,,,,
13,1970,1970-11-15,9,31.340,MIN,,DET,W 24-20,,,,,,,,
14,1970,1970-11-22,10,31.347,MIN,,GNB,W 10-3,,,,,,,,
15,1970,1970-11-29,11,31.354,MIN,@,NYJ,L 10-20,,,,,,,,
16,1970,1970-12-05,12,31.360,MIN,,CHI,W 16-13,,,,,,,,
17,1970,1970-12-13,13,32.003,MIN,@,BOS,W 35-14,,,,,,,,
18,1970,1970-12-20,14,32.010,MIN,@,ATL,W 37-7,,,,,,,,
19,1971,1971-09-20,1,32.284,MIN,@,DET,W 16-13,,,,,,,,
20,1971,1971-09-26,2,32.290,MIN,,CHI,L 17-20,,,,,,,,
21,1971,1971-10-03,3,32.297,MIN,,BUF,W 19-0,,,,,,,,
22,1971,1971-10-17,5,32.311,MIN,@,GNB,W 24-13,,,,,,,,
23,1971,1971-10-25,6,32.319,MIN,,BAL,W 10-3,,,,,,,,
24,1971,1971-10-31,7,32.325,MIN,@,NYG,W 17-10,,,,,,,,
25,1971,1971-11-07,8,32.332,MIN,,SFO,L 9-13,,,,,,,,
26,1971,1971-11-14,9,32.339,MIN,,GNB,W 3-0,,,,,,,,
