ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1997,1997-11-09,10,23.208,PIT,,BAL,W 37-0,0,0,,0,1,2,50.00,10,0,0,64.6,0,0,5.00,5.00
2,1998,1998-09-21,3,24.159,DAL,@,NYG,W 31-7,2,-3,-1.50,0,0,0,,0,0,0,,0,0,,
3,1998,1998-11-02,8,24.201,DAL,@,PHI,W 34-0,2,-2,-1.00,0,1,1,100.00,10,0,0,108.3,0,0,10.00,10.00
4,1998,1998-12-27,16,24.256,DAL,,WAS,W 23-7,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,
