ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1999,1999-09-12,1,22.034,IND,,BUF,W 31-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,132,44.00,0
2,1999,1999-09-19,2,22.041,IND,@,NWE,L 28-31,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,195,39.00,0
3,1999,1999-09-26,3,22.048,IND,@,SDG,W 27-19,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,84,42.00,1
4,1999,1999-10-10,4,22.062,IND,,MIA,L 31-34,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,74,37.00,0
5,1999,1999-10-17,5,22.069,IND,@,NYJ,W 16-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,168,42.00,0
6,1999,1999-10-24,6,22.076,IND,,CIN,W 31-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,202,40.40,0
7,1999,1999-10-31,7,22.083,IND,,DAL,W 34-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,145,48.33,1
8,1999,1999-11-07,8,22.090,IND,,KAN,W 25-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,105,52.50,0
9,1999,1999-11-14,9,22.097,IND,@,NYG,W 27-19,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,190,38.00,0
10,1999,1999-11-21,10,22.104,IND,@,PHI,W 44-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,186,46.50,0
11,1999,1999-11-28,11,22.111,IND,,NYJ,W 13-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,101,50.50,0
12,1999,1999-12-05,12,22.118,IND,@,MIA,W 37-34,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,147,36.75,0
13,1999,1999-12-12,13,22.125,IND,,NWE,W 20-15,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,237,47.40,0
14,1999,1999-12-19,14,22.132,IND,,WAS,W 24-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,154,51.33,0
15,1999,1999-12-26,15,22.139,IND,@,CLE,W 29-28,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,186,37.20,0
16,1999,2000-01-02,16,22.146,IND,@,BUF,L 6-31,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,161,40.25,0
17,2000,2000-09-03,1,23.025,IND,@,KAN,W 27-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,226,56.50,0
18,2000,2000-09-10,2,23.032,IND,,OAK,L 31-38,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,115,57.50,0
19,2000,2000-09-25,3,23.047,IND,,JAX,W 43-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,237,47.40,0
20,2000,2000-10-01,4,23.053,IND,@,BUF,W 18-16,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,237,47.40,0
21,2000,2000-10-08,5,23.060,IND,@,NWE,L 16-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,125,41.67,0
22,2000,2000-10-15,6,23.067,IND,@,SEA,W 37-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,1,45,45.00,0
23,2000,2000-10-22,7,23.074,IND,,NWE,W 30-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,70,35.00,0
24,2000,2000-10-29,8,23.081,IND,,DET,W 30-18,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,304,50.67,0
25,2000,2000-11-05,9,23.088,IND,@,CHI,L 24-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,154,38.50,0
26,2000,2000-11-12,10,23.095,IND,,NYJ,W 23-15,,1,11,11.00,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,128,42.67,0
27,2000,2000-11-19,11,23.102,IND,@,GNB,L 24-26,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,160,40.00,0
28,2000,2000-11-26,12,23.109,IND,,MIA,L 14-17,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,280,46.67,0
29,2000,2000-12-03,13,23.116,IND,@,NYJ,L 17-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,186,37.20,0
30,2000,2000-12-11,14,23.124,IND,,BUF,W 44-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,222,44.40,0
31,2000,2000-12-17,15,23.130,IND,@,MIA,W 20-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,224,37.33,0
32,2000,2000-12-24,16,23.137,IND,,MIN,W 31-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,193,48.25,0
33,2001,2001-09-09,1,24.031,IND,@,NYJ,W 45-24,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,151,50.33,0
34,2001,2001-09-23,2,24.045,IND,,BUF,W 42-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2001,2001-09-30,3,24.052,IND,@,NWE,L 13-44,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,275,45.83,0
36,2001,2001-10-14,4,24.066,IND,,OAK,L 18-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,268,44.67,0
37,2001,2001-10-21,5,24.073,IND,,NWE,L 17-38,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,86,43.00,0
38,2001,2001-10-25,6,24.077,IND,@,KAN,W 35-28,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,239,47.80,0
39,2001,2001-11-04,7,24.087,IND,@,BUF,W 30-14,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,309,44.14,0
40,2001,2001-11-11,8,24.094,IND,,MIA,L 24-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,261,43.50,0
41,2001,2001-11-18,9,24.101,IND,@,NOR,L 20-34,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,203,40.60,0
42,2001,2001-11-25,10,24.108,IND,,SFO,L 21-40,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,124,41.33,0
43,2001,2001-12-02,11,24.115,IND,@,BAL,L 27-39,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,259,37.00,0
44,2001,2001-12-10,12,24.123,IND,@,MIA,L 6-41,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,158,52.67,0
45,2001,2001-12-16,13,24.129,IND,,ATL,W 41-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,202,50.50,0
46,2001,2001-12-23,14,24.136,IND,,NYJ,L 28-29,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,128,42.67,0
47,2001,2001-12-30,15,24.143,IND,@,STL,L 17-42,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,215,43.00,0
48,2001,2002-01-06,16,24.150,IND,,DEN,W 29-10,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,145,48.33,0
49,2002,2002-09-08,1,25.030,IND,@,JAX,W 28-25,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,142,47.33,0
50,2002,2002-09-15,2,25.037,IND,,MIA,L 13-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,89,44.50,0
51,2002,2002-09-22,3,25.044,IND,@,HOU,W 23-3,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,129,43.00,0
52,2002,2002-10-06,4,25.058,IND,,CIN,W 28-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,7,324,46.29,0
53,2002,2002-10-13,5,25.065,IND,,BAL,W 22-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,310,51.67,0
54,2002,2002-10-21,6,25.073,IND,@,PIT,L 10-28,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,81,27.00,0
55,2002,2002-10-27,7,25.079,IND,@,WAS,L 21-26,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,165,33.00,0
56,2002,2002-11-03,8,25.086,IND,,TEN,L 15-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,81,40.50,0
57,2002,2002-11-10,9,25.093,IND,@,PHI,W 35-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,167,33.40,0
58,2002,2002-11-17,10,25.100,IND,,DAL,W 20-3,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,107,35.67,0
59,2002,2002-11-24,11,25.107,IND,@,DEN,W 23-20,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,76,38.00,0
60,2002,2002-12-01,12,25.114,IND,,HOU,W 19-3,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,9,400,44.44,0
61,2002,2002-12-08,13,25.121,IND,@,TEN,L 17-27,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,96,48.00,0
62,2002,2002-12-15,14,25.128,IND,@,CLE,W 28-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,196,32.67,0
63,2002,2002-12-22,15,25.135,IND,,NYG,L 27-44,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,201,40.20,1
64,2002,2002-12-29,16,25.142,IND,,JAX,W 20-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,108,36.00,0
65,2003,2003-09-07,1,26.029,IND,@,CLE,W 9-6,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,119,39.67,0
66,2003,2003-09-14,2,26.036,IND,,TEN,W 33-7,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,4,155,38.75,0
67,2003,2003-09-21,3,26.043,IND,,JAX,W 23-13,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,126,42.00,0
68,2003,2003-09-28,4,26.050,IND,@,NOR,W 55-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,2,88,44.00,0
69,2003,2003-10-06,5,26.058,IND,@,TAM,W 38-35,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,6,311,51.83,0
70,2003,2003-10-12,6,26.064,IND,,CAR,L 20-23,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,5,219,43.80,0
71,2003,2003-10-26,7,26.078,IND,,HOU,W 30-21,,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,0,0,3,129,43.00,0
