ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1977,1977-09-18,1,23.037,BUF,,MIA,L 0-13,0,0,,0,3,81,27.00,0,1,11,11.00,0,0,0
2,1977,1977-09-25,2,23.044,BUF,@,DEN,L 6-26,0,0,,0,1,27,27.00,0,4,20,5.00,0,0,0
3,1977,1977-10-02,3,23.051,BUF,@,BAL,L 14-17,1,18,18.00,0,1,24,24.00,0,3,17,5.67,0,0,0
4,1977,1977-10-09,4,23.058,BUF,,NYJ,L 19-24,0,0,,0,2,49,24.50,0,1,8,8.00,0,0,0
5,1977,1977-10-16,5,23.065,BUF,,ATL,W 3-0,0,0,,0,0,0,,0,1,18,18.00,0,0,0
6,1977,1977-10-23,6,23.072,BUF,,CLE,L 16-27,0,0,,0,1,20,20.00,0,1,2,2.00,0,0,0
7,1977,1977-10-30,7,23.079,BUF,@,SEA,L 17-56,4,81,20.25,1,0,0,,0,0,0,,0,1,6
8,1977,1977-11-06,8,23.086,BUF,@,NWE,W 24-14,1,42,42.00,0,1,20,20.00,0,3,35,11.67,0,0,0
9,1977,1977-11-13,9,23.093,BUF,,BAL,L 13-31,2,18,9.00,0,3,57,19.00,0,1,73,73.00,1,1,6
10,1977,1977-11-20,10,23.100,BUF,,NWE,L 7-20,0,0,,0,2,43,21.50,0,0,0,,0,0,0
11,1977,1977-11-28,11,23.108,BUF,@,OAK,L 13-34,2,48,24.00,1,0,0,,0,0,0,,0,1,6
12,1977,1977-12-04,12,23.114,BUF,,WAS,L 0-10,,,,,,,,,,,,,,
13,1977,1977-12-11,13,23.121,BUF,@,NYJ,W 14-10,,,,,,,,,,,,,,
14,1977,1977-12-17,14,23.127,BUF,@,MIA,L 14-31,0,0,,0,1,25,25.00,0,1,0,0.00,0,0,0
