ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1962,1962-09-16,1,22.027,CLE,,NYG,W 17-7,0,0,,0,0,0,,0,0,0,,0,0,0,4,178,44.50,0
2,1962,1962-09-23,2,22.034,CLE,,WAS,L 16-17,0,0,,0,0,0,,0,0,0,,0,0,0,1,38,38.00,0
3,1962,1962-09-30,3,22.041,CLE,@,PHI,L 7-35,0,0,,0,0,0,,0,0,0,,0,0,0,3,126,42.00,0
4,1962,1962-10-07,4,22.048,CLE,,DAL,W 19-10,0,0,,0,0,0,,0,0,0,,0,0,0,5,241,48.20,0
5,1962,1962-10-14,5,22.055,CLE,,BAL,L 14-36,0,0,,0,0,0,,0,0,0,,0,0,0,3,146,48.67,0
6,1962,1962-10-21,6,22.062,CLE,@,STL,W 34-7,1,6,6.00,0,0,0,,0,0,0,,0,0,0,3,132,44.00,0
7,1962,1962-10-28,7,22.069,CLE,@,PIT,W 41-14,1,22,22.00,0,0,0,,0,0,0,,0,0,0,2,100,50.00,0
8,1962,1962-11-04,8,22.076,CLE,,PHI,T 14-14,0,0,,0,0,0,,0,0,0,,0,0,0,3,117,39.00,0
9,1962,1962-11-11,9,22.083,CLE,@,WAS,L 9-17,0,0,,0,0,0,,0,0,0,,0,0,0,4,173,43.25,0
10,1962,1962-11-18,10,22.090,CLE,,STL,W 38-14,6,88,14.67,1,0,0,,0,1,0,0.00,0,1,6,2,82,41.00,0
11,1962,1962-11-25,11,22.097,CLE,,PIT,W 35-14,3,37,12.33,1,0,0,,0,0,0,,0,1,6,4,172,43.00,0
12,1962,1962-12-02,12,22.104,CLE,@,DAL,L 21-45,0,0,,0,0,0,,0,0,0,,0,0,0,3,119,39.67,0
13,1962,1962-12-09,13,22.111,CLE,@,NYG,L 13-17,0,0,,0,0,0,,0,0,0,,0,0,0,4,152,38.00,0
14,1962,1962-12-15,14,22.117,CLE,@,SFO,W 13-10,0,0,,0,0,0,,0,0,0,,0,0,0,4,157,39.25,0
15,1963,1963-09-15,1,23.026,CLE,,WAS,W 37-14,4,52,13.00,0,0,0,,0,0,0,,0,0,0,1,26,26.00,0
16,1963,1963-09-22,2,23.033,CLE,@,DAL,W 41-24,5,85,17.00,2,0,0,,0,0,0,,0,2,12,1,32,32.00,0
17,1963,1963-09-29,3,23.040,CLE,,RAM,W 20-6,1,11,11.00,0,0,0,,0,0,0,,0,0,0,4,170,42.50,0
18,1963,1963-10-05,4,23.046,CLE,,PIT,W 35-23,5,95,19.00,2,0,0,,0,0,0,,0,2,12,5,233,46.60,0
19,1963,1963-10-13,5,23.054,CLE,@,NYG,W 35-24,1,5,5.00,0,0,0,,0,0,0,,0,0,0,4,128,32.00,0
20,1963,1963-10-20,6,23.061,CLE,,PHI,W 37-7,5,82,16.40,3,0,0,,0,0,0,,0,3,18,2,102,51.00,0
21,1963,1963-10-27,7,23.068,CLE,,NYG,L 6-33,0,0,,0,0,0,,0,0,0,,0,0,0,7,238,34.00,0
22,1963,1963-11-03,8,23.075,CLE,@,PHI,W 23-17,1,26,26.00,0,0,0,,0,0,0,,0,0,0,2,74,37.00,0
23,1963,1963-11-10,9,23.082,CLE,@,PIT,L 7-9,3,25,8.33,1,0,0,,0,0,0,,0,1,6,8,344,43.00,0
24,1963,1963-11-17,10,23.089,CLE,,STL,L 14-20,2,20,10.00,0,0,0,,0,0,0,,0,0,0,4,172,43.00,0
25,1963,1963-11-24,11,23.096,CLE,,DAL,W 27-17,2,27,13.50,2,0,0,,0,0,0,,0,2,12,3,98,32.67,0
26,1963,1963-12-01,12,23.103,CLE,@,STL,W 24-10,4,100,25.00,0,0,0,,0,0,0,,0,0,0,4,129,32.25,0
27,1963,1963-12-08,13,23.110,CLE,@,DET,L 10-38,5,98,19.60,1,0,0,,0,0,0,,0,1,6,5,221,44.20,0
28,1963,1963-12-15,14,23.117,CLE,@,WAS,W 27-20,5,48,9.60,2,0,0,,0,0,0,,0,2,12,4,193,48.25,0
29,1964,1964-09-13,1,24.024,CLE,@,WAS,W 27-13,2,34,17.00,1,0,0,,0,0,0,,0,1,6,4,169,42.25,0
30,1964,1964-09-20,2,24.031,CLE,,STL,T 33-33,6,105,17.50,1,0,0,,0,0,0,,0,1,6,3,137,45.67,0
31,1964,1964-09-27,3,24.038,CLE,@,PHI,W 28-20,2,29,14.50,1,0,0,,0,0,0,,0,1,6,6,259,43.17,0
32,1964,1964-10-04,4,24.045,CLE,,DAL,W 27-6,3,62,20.67,1,0,0,,0,0,0,,0,1,6,3,137,45.67,0
33,1964,1964-10-10,5,24.051,CLE,,PIT,L 7-23,2,32,16.00,1,0,0,,0,0,0,,0,1,6,4,163,40.75,0
34,1964,1964-10-18,6,24.059,CLE,@,DAL,W 20-16,3,38,12.67,0,0,0,,0,0,0,,0,0,0,7,297,42.43,0
