ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1974,1974-10-27,7,22.187,GNB,@,DET,L 17-19,,,,,,,,,,,,,,
2,1974,1974-11-03,8,22.194,GNB,,WAS,L 6-17,,,,,,,,,,,,,,
3,1974,1974-11-10,9,22.201,GNB,,CHI,W 20-3,,,,,,,,,,,,,,
4,1974,1974-11-17,10,22.208,GNB,@,MIN,W 19-7,2,3,1.50,0,0,0,,0,0,0,,0,0,0
5,1974,1974-11-24,11,22.215,GNB,,SDG,W 34-0,7,16,2.29,0,0,0,,0,0,0,,0,0,0
6,1974,1974-12-01,12,22.222,GNB,@,PHI,L 14-36,,,,,,,,,,,,,,
7,1974,1974-12-08,13,22.229,GNB,@,SFO,L 6-7,,,,,,,,,,,,,,
8,1974,1974-12-15,14,22.236,GNB,@,ATL,L 3-10,,,,,,,,,,,,,,
9,1975,1975-09-21,1,23.151,GNB,,DET,L 16-30,0,0,,0,1,5,5.00,0,0,0,,0,0,0
10,1975,1975-09-29,2,23.159,GNB,@,DEN,L 13-23,,,,,,,,,,,,,,
11,1975,1975-10-05,3,23.165,GNB,,MIA,L 7-31,4,16,4.00,1,2,14,7.00,0,0,0,,0,1,6
12,1975,1975-10-12,4,23.172,GNB,@,NOR,L 19-20,8,22,2.75,0,2,-4,-2.00,0,0,0,,0,0,0
13,1975,1975-10-19,5,23.179,GNB,@,DAL,W 19-17,1,3,3.00,0,1,6,6.00,0,0,0,,0,0,0
14,1975,1975-10-26,6,23.186,GNB,,PIT,L 13-16,1,3,3.00,0,1,3,3.00,0,0,0,,0,0,0
15,1975,1975-11-02,7,23.193,GNB,,MIN,L 17-28,16,88,5.50,1,5,45,9.00,1,1,17,17.00,0,2,12
16,1975,1975-11-09,8,23.200,GNB,@,CHI,L 14-27,6,16,2.67,0,2,22,11.00,0,1,12,12.00,0,0,0
17,1975,1975-11-16,9,23.207,GNB,@,DET,L 10-13,1,1,1.00,0,0,0,,0,0,0,,0,0,0
18,1975,1975-11-23,10,23.214,GNB,,NYG,W 40-14,4,14,3.50,1,0,0,,0,0,0,,0,1,6
19,1975,1975-11-30,11,23.221,GNB,,CHI,W 28-7,4,16,4.00,0,0,0,,0,1,6,6.00,0,0,0
20,1975,1975-12-07,12,23.228,GNB,@,MIN,L 3-24,1,4,4.00,0,0,0,,0,0,0,,0,0,0
21,1975,1975-12-14,13,23.235,GNB,@,RAM,L 5-22,0,0,,0,1,16,16.00,0,1,18,18.00,0,0,0
22,1975,1975-12-21,14,23.242,GNB,,ATL,W 22-13,14,60,4.29,1,1,33,33.00,0,0,0,,0,1,6
23,1976,1976-09-12,1,24.142,GNB,,SFO,L 14-26,8,41,5.13,0,2,17,8.50,0,0,0,,0,0,0
24,1976,1976-09-19,2,24.149,GNB,@,STL,L 0-29,7,19,2.71,0,3,10,3.33,0,0,0,,0,0,0
25,1976,1976-09-26,3,24.156,GNB,@,CIN,L 7-28,3,8,2.67,0,0,0,,0,0,0,,0,0,0
26,1976,1976-10-03,4,24.163,GNB,,DET,W 24-14,20,62,3.10,1,0,0,,0,0,0,,0,1,6
27,1976,1976-10-10,5,24.170,GNB,,SEA,W 27-20,20,84,4.20,2,2,15,7.50,0,0,0,,0,2,12
28,1976,1976-10-17,6,24.177,GNB,,PHI,W 28-13,20,51,2.55,2,3,47,15.67,0,0,0,,0,2,12
29,1976,1976-10-24,7,24.184,GNB,@,OAK,L 14-18,5,23,4.60,0,0,0,,0,0,0,,0,0,0
30,1976,1976-10-31,8,24.191,GNB,@,DET,L 6-27,14,67,4.79,0,1,-1,-1.00,0,0,0,,0,0,0
31,1977,1977-09-18,1,25.148,GNB,@,NOR,W 24-20,9,24,2.67,1,2,31,15.50,0,0,0,,0,1,6
32,1977,1977-09-25,2,25.155,GNB,,HOU,L 10-16,9,22,2.44,0,7,66,9.43,0,0,0,,0,0,0
