ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2017,2017-09-10,1,23.002,IND,@,LAR,L 9-46,,6,302,50.33,0
2,2017,2017-09-17,2,23.009,IND,,ARI,L 13-16,,7,303,43.29,0
3,2017,2017-09-24,3,23.016,IND,,CLE,W 31-28,,7,320,45.71,0
4,2017,2017-10-01,4,23.023,IND,@,SEA,L 18-46,,6,250,41.67,0
5,2017,2017-10-08,5,23.030,IND,,SFO,W 26-23,,4,191,47.75,0
6,2017,2017-10-16,6,23.038,IND,@,TEN,L 22-36,,3,160,53.33,0
7,2017,2017-10-22,7,23.044,IND,,JAX,L 0-27,,7,314,44.86,0
8,2017,2017-10-29,8,23.051,IND,@,CIN,L 23-24,,4,183,45.75,1
9,2017,2017-11-05,9,23.058,IND,@,HOU,W 20-14,,6,249,41.50,0
10,2017,2017-11-12,10,23.065,IND,,PIT,L 17-20,,7,328,46.86,0
11,2017,2017-11-26,11,23.079,IND,,TEN,L 16-20,,5,235,47.00,0
12,2017,2017-12-03,12,23.086,IND,@,JAX,L 10-30,,4,187,46.75,0
13,2017,2017-12-10,13,23.093,IND,@,BUF,L 7-13,,7,269,38.43,0
14,2017,2017-12-14,14,23.097,IND,,DEN,L 13-25,,4,164,41.00,0
15,2017,2017-12-23,15,23.106,IND,@,BAL,L 16-23,,2,74,37.00,0
16,2017,2017-12-31,16,23.114,IND,,HOU,W 22-13,,5,235,47.00,0
17,2018,2018-09-09,1,24.001,IND,,CIN,L 23-34,,2,95,47.50,0
18,2018,2018-09-16,2,24.008,IND,@,WAS,W 21-9,,5,235,47.00,0
19,2018,2018-09-23,3,24.015,IND,@,PHI,L 16-20,,5,222,44.40,0
