ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1964,1964-11-01,8,22.033,SFO,@,BAL,L 7-37,0,0,,0,0,0,1,6,0
2,1965,1965-09-26,2,22.362,SFO,,PIT,W 27-17,0,0,,0,0,0,1,16,0
3,1967,1967-09-17,1,24.353,SFO,@,MIN,W 27-21,0,0,,0,0,0,1,0,0
4,1967,1967-12-03,12,25.065,SFO,,CHI,L 14-28,0,0,,0,0,0,1,17,0
5,1969,1969-10-19,5,27.020,SFO,,ATL,L 7-21,0,0,,0,0,0,2,17,0
6,1969,1969-11-09,8,27.041,SFO,@,RAM,L 30-41,1,10,10.00,0,0,0,0,0,0
7,1970,1970-09-20,1,27.356,SFO,,WAS,W 26-17,,,,,,,,,
8,1970,1970-09-27,2,27.363,SFO,,CLE,W 34-31,0,0,,0,0,0,1,11,0
9,1970,1970-10-04,3,28.005,SFO,@,ATL,L 20-21,,,,,,,,,
10,1970,1970-10-11,4,28.012,SFO,@,RAM,W 20-6,,,,,,,,,
11,1970,1970-10-25,6,28.026,SFO,,DEN,W 19-14,,,,,,,,,
12,1970,1970-11-01,7,28.033,SFO,,GNB,W 26-10,,,,,,,,,
13,1970,1970-11-08,8,28.040,SFO,@,CHI,W 37-16,,,,,,,,,
14,1970,1970-11-15,9,28.047,SFO,@,HOU,W 30-20,,,,,,,,,
15,1970,1970-11-22,10,28.054,SFO,@,DET,L 7-28,,,,,,,,,
16,1970,1970-11-29,11,28.061,SFO,,RAM,L 13-30,,,,,,,,,
17,1970,1970-12-06,12,28.068,SFO,,ATL,W 24-20,,,,,,,,,
18,1970,1970-12-13,13,28.075,SFO,@,NOR,W 38-27,,,,,,,,,
19,1970,1970-12-20,14,28.082,SFO,@,OAK,W 38-7,0,0,,0,0,0,1,35,0
20,1971,1971-09-19,1,28.355,SFO,@,ATL,L 17-20,,,,,,,,,
21,1971,1971-09-26,2,28.362,SFO,@,NOR,W 38-20,,,,,,,,,
22,1971,1971-10-03,3,29.004,SFO,@,PHI,W 31-3,,,,,,,,,
23,1971,1971-10-10,4,29.011,SFO,,RAM,L 13-20,,,,,,,,,
24,1971,1971-10-17,5,29.018,SFO,,CHI,W 13-0,,,,,,,,,
25,1971,1971-10-24,6,29.025,SFO,@,STL,W 26-14,,,,,,,,,
26,1971,1971-10-31,7,29.032,SFO,,NWE,W 27-10,,,,,,,,,
27,1971,1971-11-07,8,29.039,SFO,@,MIN,W 13-9,,,,,,,,,
28,1971,1971-11-14,9,29.046,SFO,,NOR,L 20-26,,,,,,,,,
29,1971,1971-11-21,10,29.053,SFO,@,RAM,L 6-17,,,,,,,,,
30,1971,1971-11-28,11,29.060,SFO,@,NYJ,W 24-21,,,,,,,,,
31,1971,1971-12-06,12,29.068,SFO,,KAN,L 17-26,,,,,,,,,
32,1971,1971-12-12,13,29.074,SFO,,ATL,W 24-3,,,,,,,,,
33,1971,1971-12-19,14,29.081,SFO,,DET,W 31-27,,,,,,,,,
34,1972,1972-09-17,1,29.354,SFO,,SDG,W 34-3,0,0,,0,0,0,1,1,0
35,1972,1972-09-24,2,29.361,SFO,@,BUF,L 20-27,,,,,,,,,
36,1972,1972-10-01,3,30.002,SFO,@,NOR,W 37-2,,,,,,,,,
37,1972,1972-10-08,4,30.009,SFO,@,RAM,L 7-31,,,,,,,,,
38,1972,1972-10-15,5,30.016,SFO,,NYG,L 17-23,,,,,,,,,
39,1972,1972-10-22,6,30.023,SFO,,NOR,T 20-20,,,,,,,,,
40,1972,1972-10-29,7,30.030,SFO,@,ATL,W 49-14,,,,,,,,,
41,1972,1972-11-05,8,30.037,SFO,@,GNB,L 24-34,,,,,,,,,
42,1972,1972-11-12,9,30.044,SFO,,BAL,W 24-21,,,,,,,,,
43,1972,1972-11-19,10,30.051,SFO,@,CHI,W 34-21,,,,,,,,,
44,1972,1972-11-23,11,30.055,SFO,@,DAL,W 31-10,,,,,,,,,
45,1972,1972-12-04,12,30.066,SFO,,RAM,L 16-26,,,,,,,,,
46,1972,1972-12-10,13,30.072,SFO,,ATL,W 20-0,0,0,,0,0,0,1,9,0
47,1972,1972-12-16,14,30.078,SFO,,MIN,W 20-17,0,0,,0,0,0,1,2,0
48,1973,1973-09-16,1,30.352,SFO,@,MIA,L 13-21,,,,,,,,,
49,1973,1973-09-23,2,30.359,SFO,@,DEN,W 36-34,,,,,,,,,
50,1973,1973-09-30,3,31.001,SFO,,RAM,L 20-40,,,,,,,,,
51,1973,1973-10-07,4,31.008,SFO,@,ATL,W 13-9,,,,,,,,,
52,1973,1973-10-14,5,31.015,SFO,,MIN,L 13-17,,,,,,,,,
53,1973,1973-10-21,6,31.022,SFO,,NOR,W 40-0,,,,,,,,,
54,1973,1973-10-28,7,31.029,SFO,,ATL,L 3-17,,,,,,,,,
55,1973,1973-11-04,8,31.036,SFO,@,DET,L 20-30,,,,,,,,,
56,1973,1973-11-11,9,31.043,SFO,@,WAS,L 9-33,,,,,,,,,
57,1973,1973-11-18,10,31.050,SFO,@,RAM,L 13-31,,,,,,,,,
58,1973,1973-11-26,11,31.058,SFO,,GNB,W 20-6,0,0,,0,0,0,2,14,0
59,1973,1973-12-02,12,31.064,SFO,,PHI,W 38-28,,,,,,,,,
60,1973,1973-12-09,13,31.071,SFO,@,NOR,L 10-16,,,,,,,,,
61,1973,1973-12-15,14,31.077,SFO,,PIT,L 14-37,,,,,,,,,
62,1974,1974-09-15,1,31.351,SFO,@,NOR,W 17-13,,,,,,,,,
