ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1974,1974-09-15,1,22.284,RAM,@,DEN,W 17-10,,,,,,,,
2,1974,1974-09-22,2,22.291,RAM,,NOR,W 24-0,,,,,,,,
3,1974,1974-09-29,3,22.298,RAM,@,NWE,L 14-20,,,,,,,,
4,1974,1974-10-06,4,22.305,RAM,,DET,W 16-13,,,,,,,,
5,1974,1974-10-13,5,22.312,RAM,@,GNB,L 6-17,,,,,,,,
6,1974,1974-10-20,6,22.319,RAM,,SFO,W 37-14,,,,,,,,
7,1974,1974-10-27,7,22.326,RAM,@,NYJ,W 20-13,,,,,,,,
8,1974,1974-11-04,8,22.334,RAM,@,SFO,W 15-13,,,,,,,,
9,1974,1974-11-10,9,22.340,RAM,,ATL,W 21-0,,,,,,,,
10,1974,1974-11-17,10,22.347,RAM,@,NOR,L 7-20,,,,,,,,
11,1974,1974-11-24,11,22.354,RAM,,MIN,W 20-17,,,,,,,,
12,1974,1974-12-01,12,22.361,RAM,@,ATL,W 30-7,0,0,,0,0.0,1,0,0
13,1974,1974-12-09,13,23.004,RAM,,WAS,L 17-23,,,,,,,,
14,1974,1974-12-15,14,23.010,RAM,,BUF,W 19-14,,,,,,,,
15,1975,1975-09-21,1,23.290,RAM,@,DAL,L 7-18,,,,,,,,
16,1975,1975-09-28,2,23.297,RAM,@,SFO,W 23-14,,,,,,,,
17,1975,1975-10-05,3,23.304,RAM,,BAL,W 24-13,0,0,,0,0.0,1,22,0
18,1975,1975-10-12,4,23.311,RAM,@,SDG,W 13-10,,,,,,,,
19,1975,1975-10-19,5,23.318,RAM,,ATL,W 22-7,,,,,,,,
20,1975,1975-10-26,6,23.325,RAM,,NOR,W 38-14,,,,,,,,
21,1975,1975-11-03,7,23.333,RAM,@,PHI,W 42-3,0,0,,0,0.0,2,17,0
22,1975,1975-11-09,8,23.339,RAM,,SFO,L 23-24,,,,,,,,
