ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,two_pt_md,all_td,scoring
1,2015,2015-12-20,14,23.359,DEN,@,PIT,L 27-34,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,,0,0
2,2016,2016-09-08,1,24.257,DEN,,CAR,W 21-20,*,18,26,69.23,178,1,2,69.1,2,19,6.85,4.15,5,20,4.00,0,,0,0
3,2016,2016-09-18,2,24.267,DEN,,IND,W 34-20,*,22,33,66.67,266,0,1,78.6,1,0,8.06,6.70,1,7,7.00,0,1,0,2
4,2016,2016-09-25,3,24.274,DEN,@,CIN,W 29-17,*,23,35,65.71,312,4,0,132.1,2,9,8.91,11.20,3,5,1.67,0,,0,0
5,2016,2016-10-02,4,24.281,DEN,@,TAM,W 27-7,*,5,7,71.43,68,1,0,141.7,3,20,9.71,12.57,0,0,,0,,0,0
6,2016,2016-10-13,6,24.292,DEN,@,SDG,L 13-21,*,30,50,60.00,230,1,0,77.9,2,10,4.60,5.00,1,1,1.00,0,,0,0
7,2016,2016-10-24,7,24.303,DEN,,HOU,W 27-9,*,14,25,56.00,157,1,0,88.2,0,0,6.28,7.08,1,-1,-1.00,0,,0,0
8,2016,2016-10-30,8,24.309,DEN,,SDG,W 27-19,*,20,38,52.63,276,0,1,65.2,1,9,7.26,6.08,3,-2,-0.67,0,,0,0
9,2016,2016-11-06,9,24.316,DEN,@,OAK,L 20-30,*,18,37,48.65,283,2,1,81.2,2,17,7.65,7.51,0,0,,0,,0,0
10,2016,2016-11-13,10,24.323,DEN,@,NOR,W 25-23,*,25,40,62.50,258,2,2,76.9,6,24,6.45,5.20,6,5,0.83,0,,0,0
11,2016,2016-11-27,11,24.337,DEN,,KAN,L 27-30,*,20,34,58.82,368,3,0,125.6,5,28,10.82,12.59,5,23,4.60,0,,0,0
12,2016,2016-12-11,13,24.351,DEN,@,TEN,L 10-13,*,35,51,68.63,334,1,0,93.1,3,20,6.55,6.94,0,0,,0,,0,0
13,2016,2016-12-18,14,24.358,DEN,,NWE,L 3-16,*,25,40,62.50,282,0,1,73.1,4,31,7.05,5.93,1,4,4.00,0,,0,0
14,2016,2016-12-25,15,24.365,DEN,@,KAN,L 10-33,*,17,43,39.53,183,0,1,43.1,0,0,4.26,3.21,0,0,,0,,0,0
15,2016,2017-01-01,16,25.006,DEN,,OAK,W 24-6,*,17,27,62.96,206,2,1,95.6,0,0,7.63,7.44,2,-5,-2.50,0,,0,0
16,2017,2017-09-11,1,25.259,DEN,,LAC,W 24-21,*,17,28,60.71,219,2,1,94.2,4,38,7.82,7.64,6,19,3.17,1,,1,6
17,2017,2017-09-17,2,25.265,DEN,,DAL,W 42-17,*,22,32,68.75,231,4,1,116.0,2,29,7.22,8.31,5,14,2.80,0,,0,0
18,2017,2017-09-24,3,25.272,DEN,@,BUF,L 16-26,*,24,40,60.00,259,0,2,58.2,3,4,6.48,4.23,3,12,4.00,0,,0,0
19,2017,2017-10-01,4,25.279,DEN,,OAK,W 16-10,*,16,26,61.54,179,1,0,94.9,4,24,6.88,7.65,4,1,0.25,0,,0,0
20,2017,2017-10-15,5,25.293,DEN,,NYG,L 10-23,*,29,50,58.00,376,1,2,71.7,4,28,7.52,6.12,1,9,9.00,0,,0,0
21,2017,2017-10-22,6,25.300,DEN,@,LAC,L 0-21,*,25,35,71.43,207,0,1,74.3,5,25,5.91,4.63,2,14,7.00,0,,0,0
22,2017,2017-10-30,7,25.308,DEN,@,KAN,L 19-29,*,19,36,52.78,198,1,3,43.5,3,11,5.50,2.31,2,20,10.00,0,,0,0
23,2017,2017-11-26,11,25.335,DEN,@,OAK,L 14-21,,11,21,52.38,149,2,0,107.0,1,7,7.10,9.00,2,9,4.50,0,,0,0
24,2017,2017-12-03,12,25.342,DEN,@,MIA,L 9-35,*,19,41,46.34,200,0,3,30.5,3,33,4.88,1.59,3,16,5.33,0,,0,0
25,2017,2017-12-10,13,25.349,DEN,,NYJ,W 23-0,*,19,31,61.29,200,1,0,90.8,2,11,6.45,7.10,3,13,4.33,0,,0,0
26,2017,2017-12-14,14,25.353,DEN,@,IND,W 25-13,*,5,9,55.56,67,0,1,39.8,2,10,7.44,2.44,0,0,,0,,0,0
