ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,2001,2001-09-09,1,23.226,BUF,,NOR,L 6-24,,,,,2,2,100.0,0,6
2,2001,2001-09-23,2,23.240,BUF,@,IND,L 26-42,,2,2,100.0,2,3,66.7,0,8
3,2001,2001-09-30,3,23.247,BUF,,PIT,L 3-20,,,,,1,2,50.0,0,3
4,2001,2001-10-07,4,23.254,BUF,,NYJ,L 36-42,,3,3,100.0,1,1,100.0,0,6
5,2001,2001-10-18,5,23.265,BUF,@,JAX,W 13-10,,1,1,100.0,2,4,50.0,0,7
6,2001,2001-10-28,6,23.275,BUF,@,SDG,L 24-27,,3,3,100.0,1,3,33.3,0,6
7,2001,2001-11-04,7,23.282,BUF,,IND,L 14-30,,2,2,100.0,,1,0.0,0,2
8,2001,2001-11-11,8,23.289,BUF,@,NWE,L 11-21,,,,,1,2,50.0,0,3
9,2001,2001-11-18,9,23.296,BUF,,SEA,L 20-23,,2,2,100.0,2,3,66.7,0,8
10,2001,2001-11-25,10,23.303,BUF,,MIA,L 27-34,,3,4,75.0,,,,0,3
