ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td
1,1982,1982-09-13,1,22.268,DAL,,PIT,L 28-36,,,,
2,1982,1982-09-19,2,22.274,DAL,@,STL,W 24-7,,,,
3,1982,1982-11-21,3,22.337,DAL,,TAM,W 14-9,,,,
4,1982,1982-11-25,4,22.341,DAL,,CLE,W 31-14,,,,
5,1982,1982-12-05,5,22.351,DAL,@,WAS,W 24-10,,,,
6,1982,1982-12-13,6,22.359,DAL,@,HOU,W 37-7,,,,
7,1982,1982-12-19,7,23.000,DAL,,NOR,W 21-7,,,,
8,1983,1983-09-05,1,23.260,DAL,@,WAS,W 31-30,,,,
9,1983,1983-09-11,2,23.266,DAL,@,STL,W 34-17,,,,
10,1983,1983-09-18,3,23.273,DAL,,NYG,W 28-13,,,,
11,1983,1983-09-25,4,23.280,DAL,,NOR,W 21-20,,,,
12,1983,1983-10-02,5,23.287,DAL,@,MIN,W 37-24,,,,
13,1983,1983-10-09,6,23.294,DAL,,TAM,W 27-24,,,,
14,1983,1983-10-16,7,23.301,DAL,,PHI,W 37-7,,,,
15,1983,1983-10-23,8,23.308,DAL,,RAI,L 38-40,,,,
16,1983,1983-10-30,9,23.315,DAL,@,NYG,W 38-20,,,,
17,1983,1983-11-06,10,23.322,DAL,@,PHI,W 27-20,,,,
18,1983,1983-11-13,11,23.329,DAL,@,SDG,L 23-24,,,,
19,1983,1983-11-20,12,23.336,DAL,,KAN,W 41-21,,,,
20,1983,1983-11-24,13,23.340,DAL,,STL,W 35-17,,,,
21,1983,1983-12-04,14,23.350,DAL,@,SEA,W 35-10,,,,
22,1983,1983-12-11,15,23.357,DAL,,WAS,L 10-31,,,,
23,1983,1983-12-19,16,24.000,DAL,@,SFO,L 17-42,,,,
24,1984,1984-09-03,1,24.259,DAL,@,RAM,W 20-13,0,0,,0
25,1984,1984-09-09,2,24.265,DAL,@,NYG,L 7-28,0,0,,0
26,1984,1984-09-16,3,24.272,DAL,,PHI,W 23-17,0,0,,0
27,1984,1984-09-23,4,24.279,DAL,,GNB,W 20-6,0,0,,0
28,1984,1984-09-30,5,24.286,DAL,@,CHI,W 23-14,0,0,,0
29,1984,1984-10-07,6,24.293,DAL,,STL,L 20-31,0,0,,0
30,1984,1984-10-14,7,24.300,DAL,@,WAS,L 14-34,1,1,1.00,0
31,1984,1984-10-21,8,24.307,DAL,,NOR,W 30-27,0,0,,0
32,1984,1984-10-28,9,24.314,DAL,,IND,W 22-3,0,0,,0
33,1984,1984-11-04,10,24.321,DAL,,NYG,L 7-19,0,0,,0
34,1984,1984-11-11,11,24.328,DAL,@,STL,W 24-17,0,0,,0
35,1984,1984-11-18,12,24.335,DAL,@,BUF,L 3-14,0,0,,0
36,1984,1984-12-02,14,24.349,DAL,@,PHI,W 26-10,0,0,,0
37,1984,1984-12-09,15,24.356,DAL,,WAS,L 28-30,0,0,,0
38,1984,1984-12-17,16,24.364,DAL,@,MIA,L 21-28,0,0,,0
39,1985,1985-09-09,1,25.264,DAL,,WAS,W 44-14,,,,
40,1985,1985-09-15,2,25.270,DAL,@,DET,L 21-26,,,,
41,1985,1985-09-22,3,25.277,DAL,,CLE,W 20-7,,,,
42,1985,1985-10-13,6,25.298,DAL,,PIT,W 27-13,,,,
43,1985,1985-10-20,7,25.305,DAL,@,PHI,L 14-16,,,,
44,1985,1985-10-27,8,25.312,DAL,,ATL,W 24-10,,,,
45,1985,1985-11-04,9,25.320,DAL,@,STL,L 10-21,,,,
46,1985,1985-11-10,10,25.326,DAL,@,WAS,W 13-7,,,,
47,1985,1985-11-17,11,25.333,DAL,,CHI,L 0-44,,,,
48,1985,1985-11-24,12,25.340,DAL,,PHI,W 34-17,,,,
49,1985,1985-11-28,13,25.344,DAL,,STL,W 35-17,,,,
50,1985,1985-12-08,14,25.354,DAL,@,CIN,L 24-50,,,,
51,1985,1985-12-15,15,25.361,DAL,,NYG,W 28-21,,,,
52,1985,1985-12-22,16,26.003,DAL,@,SFO,L 16-31,,,,
53,1986,1986-09-08,1,26.263,DAL,,NYG,W 31-28,,,,
54,1986,1986-09-14,2,26.269,DAL,@,DET,W 31-7,,,,
55,1986,1986-09-21,3,26.276,DAL,,ATL,L 35-37,,,,
56,1986,1986-09-29,4,26.284,DAL,@,STL,W 31-7,,,,
57,1986,1986-10-05,5,26.290,DAL,@,DEN,L 14-29,,,,
58,1986,1986-10-12,6,26.297,DAL,,WAS,W 30-6,,,,
59,1986,1986-10-19,7,26.304,DAL,@,PHI,W 17-14,,,,
60,1986,1986-10-26,8,26.311,DAL,,STL,W 37-6,,,,
61,1986,1986-11-02,9,26.318,DAL,@,NYG,L 14-17,,,,
62,1986,1986-11-09,10,26.325,DAL,,RAI,L 13-17,,,,
63,1986,1986-11-16,11,26.332,DAL,@,SDG,W 24-21,,,,
64,1986,1986-11-23,12,26.339,DAL,@,WAS,L 14-41,,,,
65,1986,1986-11-27,13,26.343,DAL,,SEA,L 14-31,,,,
66,1986,1986-12-07,14,26.353,DAL,@,RAM,L 10-29,,,,
67,1986,1986-12-14,15,26.360,DAL,,PHI,L 21-23,,,,
68,1986,1986-12-21,16,27.002,DAL,,CHI,L 10-24,,,,
69,1987,1987-09-13,1,27.268,DAL,@,STL,L 13-24,,,,
70,1987,1987-09-20,2,27.275,DAL,@,NYG,W 16-14,,,,
