ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1985,1985-09-08,1,22.263,KAN,@,NOR,W 47-27,,5,36,7.20,0,,,3,19,6.33,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,6
2,1985,1985-09-12,2,22.267,KAN,,RAI,W 36-20,,1,4,4.00,0,,,2,2,1.00,0,0,0,,0,0,0,,0,,,,0,0
3,1985,1985-09-22,3,22.277,KAN,@,MIA,L 0-31,,4,26,6.50,0,,,3,22,7.33,0,0,0,,0,0,0,,0,,,,0,0
4,1985,1985-09-29,4,22.284,KAN,,SEA,W 28-7,,0,0,,0,,,7,26,3.71,0,0,0,,0,0,0,,0,,,,0,0
5,1985,1985-10-06,5,22.291,KAN,@,RAI,L 10-19,,1,14,14.00,0,,,3,23,7.67,0,0,0,,0,0,0,,0,,,,0,0
6,1985,1985-10-13,6,22.298,KAN,@,SDG,L 20-31,,4,18,4.50,1,,,5,11,2.20,0,0,0,,0,0,0,,0,,,,1,6
7,1985,1985-10-20,7,22.305,KAN,,RAM,L 0-16,,2,11,5.50,0,,,10,19,1.90,0,0,0,,0,0,0,,0,,,,0,0
8,1985,1985-10-27,8,22.312,KAN,,DEN,L 10-30,,0,0,,0,,,1,1,1.00,1,0,0,,0,0,0,,0,,,,1,6
9,1985,1985-11-03,9,22.319,KAN,@,HOU,L 20-23,,1,6,6.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
10,1985,1985-11-10,10,22.326,KAN,,PIT,L 28-36,,5,27,5.40,0,,,1,7,7.00,0,0,0,,0,0,0,,0,,,,0,0
11,1985,1985-11-17,11,22.333,KAN,@,SFO,L 3-31,,2,13,6.50,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
12,1985,1985-11-24,12,22.340,KAN,,IND,W 20-7,,1,22,22.00,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,0
13,1985,1985-12-01,13,22.347,KAN,@,SEA,L 6-24,,2,8,4.00,0,,,4,5,1.25,0,0,0,,0,0,0,,0,,,,0,0
14,1985,1985-12-08,14,22.354,KAN,,ATL,W 38-10,,0,0,,0,,,7,4,0.57,1,0,0,,0,0,0,,0,,,,1,6
15,1985,1985-12-14,15,22.360,KAN,@,DEN,L 13-14,,0,0,,0,,,2,7,3.50,0,0,0,,0,0,0,,0,,,,0,0
16,1985,1985-12-22,16,23.003,KAN,,SDG,W 38-34,,0,0,,0,,,0,0,,0,0,0,,0,0,0,,0,,,,0,
17,1987,1987-09-20,2,24.275,RAI,,DET,W 27-7,,1,6,6.00,0,,,2,3,1.50,0,0,0,,0,0,0,,,0,,,0,0
18,1987,1987-10-04,3,24.289,RAI,,KAN,W 35-17,,1,32,32.00,1,,,7,34,4.86,0,0,0,,0,0,0,,,0,,,1,6
19,1987,1987-10-12,4,24.297,RAI,@,DEN,L 14-30,,1,6,6.00,0,,,15,35,2.33,0,0,0,,0,0,0,,,0,,,0,0
20,1987,1987-10-18,5,24.303,RAI,,SDG,L 17-23,,0,0,,0,,,7,23,3.29,0,0,0,,0,0,0,,,0,,,0,0
21,1989,1989-09-10,1,26.265,RAI,,SDG,W 40-14,,1,10,10.00,0,,,0,0,,0,0,0,,0,0,0,,,0,,,0,0
