ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1996,1996-09-01,1,24.255,NOR,@,SFO,L 11-27,,0,0,,0,0.0%,,0,0,,0
2,1996,1996-09-08,2,24.262,NOR,,CAR,L 20-22,1,1,-3,-3.00,0,100.0%,-3.00,1,3,3.00,0
3,1996,1996-09-22,4,24.276,NOR,,ARI,L 14-28,7,4,47,11.75,0,57.1%,6.71,2,-3,-1.50,0
4,1996,1996-10-06,6,24.290,NOR,,JAX,W 17-13,4,4,37,9.25,0,100.0%,9.25,3,-3,-1.00,0
5,1996,1996-10-13,7,24.297,NOR,,CHI,W 27-24,2,2,4,2.00,0,100.0%,2.00,2,12,6.00,0
6,1996,1996-10-20,8,24.304,NOR,@,CAR,L 7-19,3,3,8,2.67,0,100.0%,2.67,2,8,4.00,0
7,1996,1996-11-03,9,24.318,NOR,,SFO,L 17-24,3,2,15,7.50,0,66.7%,5.00,2,5,2.50,0
8,1996,1996-12-08,14,24.353,NOR,,ATL,L 15-31,5,4,23,5.75,0,80.0%,4.60,4,8,2.00,0
9,1996,1996-12-15,15,24.360,NOR,@,NYG,W 17-3,3,2,7,3.50,0,66.7%,2.33,3,24,8.00,0
10,1996,1996-12-21,16,25.000,NOR,@,STL,L 13-14,6,4,24,6.00,0,66.7%,4.00,1,-2,-2.00,0
