ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1998,1998-09-28,4,22.096,DET,,TAM,W 27-6,,,,,,,0.0%,,,,,,,,,
2,1999,1999-09-12,1,23.080,DET,@,SEA,W 28-20,,0,0,0,,0,0.0%,,0,0,,0,4,75,18.75,0
3,1999,1999-09-19,2,23.087,DET,,GNB,W 23-15,,0,0,0,,0,0.0%,,0,0,,0,2,42,21.00,0
4,1999,1999-09-26,3,23.094,DET,@,KAN,L 21-31,,0,0,0,,0,0.0%,,0,0,,0,2,36,18.00,0
5,1999,1999-10-10,4,23.108,DET,,SDG,L 10-20,,,,,,,0.0%,,,,,,,,,
6,1999,1999-10-17,5,23.115,DET,,MIN,W 25-23,,,,,,,0.0%,,,,,,,,,
7,1999,1999-10-24,6,23.122,DET,@,CAR,W 24-9,,,,,,,0.0%,,,,,,,,,
8,1999,1999-10-31,7,23.129,DET,,TAM,W 20-3,,0,0,0,,0,0.0%,,0,0,,0,1,14,14.00,0
9,1999,1999-11-07,8,23.136,DET,,STL,W 31-27,,0,,,,,0.0%,,,,,,,,,
10,1999,1999-11-14,9,23.143,DET,@,ARI,L 19-23,,0,,,,,0.0%,,,,,,,,,
11,1999,1999-11-21,10,23.150,DET,@,GNB,L 17-26,,0,0,0,,0,0.0%,,0,0,,0,1,19,19.00,0
12,1999,1999-11-25,11,23.154,DET,,CHI,W 21-17,,0,,,,,0.0%,,,,,,,,,
13,1999,1999-12-05,12,23.164,DET,,WAS,W 33-17,,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,,0
14,1999,1999-12-12,13,23.171,DET,@,TAM,L 16-23,,4,2,14,7.00,0,50.0%,3.50,1,1,1.00,0,0,0,,0
15,1999,1999-12-19,14,23.178,DET,@,CHI,L 10-28,,0,0,0,,0,0.0%,,0,0,,0,1,12,12.00,0
16,2000,2000-09-03,1,24.071,DET,@,NOR,W 14-10,,0,,,,,0.0%,,,,,,,,,
17,2000,2000-09-10,2,24.078,DET,,WAS,W 15-10,,0,,,,,0.0%,,,,,,,,,
18,2000,2000-09-17,3,24.085,DET,,TAM,L 10-31,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0,,0
19,2000,2000-10-01,5,24.099,DET,,MIN,L 24-31,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,2,25,12.50,0
20,2000,2000-10-08,6,24.106,DET,,GNB,W 31-24,,0,,,,,0.0%,,,,,,,,,
21,2000,2000-10-19,7,24.117,DET,@,TAM,W 28-14,,0,,,,,0.0%,,,,,,,,,
22,2000,2000-10-29,8,24.127,DET,@,IND,L 18-30,,1,1,17,17.00,0,100.0%,17.00,0,0,,0,0,0,,0
23,2000,2000-11-05,9,24.134,DET,,MIA,L 8-23,,,,,,,0.0%,,,,,,,,,
24,2000,2000-11-19,11,24.148,DET,@,NYG,W 31-21,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0
25,2000,2000-11-23,12,24.152,DET,,NWE,W 34-9,,,,,,,0.0%,,,,,,,,,
26,2000,2000-12-10,14,24.169,DET,@,GNB,L 13-26,,,,,,,0.0%,,,,,,,,,
27,2000,2000-12-17,15,24.176,DET,@,NYJ,W 10-7,,0,,,,,0.0%,,,,,,,,,
28,2000,2000-12-24,16,24.183,DET,,CHI,L 20-23,,,,,,,0.0%,,,,,,,,,
29,2001,2001-09-09,1,25.077,DET,@,GNB,L 6-28,,1,,,,,0.0%,,,,,,,,,
30,2001,2001-09-23,2,25.091,DET,@,CLE,L 14-24,,,,,,,0.0%,,,,,,,,,
31,2001,2001-10-08,3,25.106,DET,,STL,L 0-35,,,,,,,0.0%,,,,,,,,,
32,2001,2001-10-14,4,25.112,DET,@,MIN,L 26-31,,,,,,,0.0%,,,,,,,,,
33,2001,2001-10-21,5,25.119,DET,,TEN,L 24-27,,0,0,0,,0,0.0%,,0,0,,0,1,40,40.00,0
34,2001,2001-10-28,6,25.126,DET,,CIN,L 27-31,,0,,,,,0.0%,,,,,,,,,
35,2001,2001-11-04,7,25.133,DET,@,SFO,L 13-21,,,,,,,0.0%,,,,,,,,,
36,2001,2001-11-11,8,25.140,DET,,TAM,L 17-20,,0,,,,,0.0%,,,,,,,,,
37,2001,2001-11-18,9,25.147,DET,@,ARI,L 38-45,,0,,,,,0.0%,,,,,,,,,
38,2001,2001-11-22,10,25.151,DET,,GNB,L 27-29,,,,,,,0.0%,,,,,,,,,
39,2001,2001-12-02,11,25.161,DET,@,CHI,L 10-13,,0,,,,,0.0%,,,,,,,,,
40,2001,2001-12-09,12,25.168,DET,@,TAM,L 12-15,,0,,,,,0.0%,,,,,,,,,
41,2001,2001-12-16,13,25.175,DET,,MIN,W 27-24,,,,,,,0.0%,,,,,,,,,
42,2001,2001-12-23,14,25.182,DET,@,PIT,L 14-47,,0,,,,,0.0%,,,,,,,,,
43,2001,2001-12-30,15,25.189,DET,,CHI,L 0-24,,0,0,0,,0,0.0%,,1,6,6.00,0,0,0,,0
44,2001,2002-01-06,16,25.196,DET,,DAL,W 15-10,,0,,,,,0.0%,,,,,,,,,
