ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2007,2007-09-23,3,22.296,BAL,,ARI,W 26-23,,,,,,,0.0%,,,,,,,,,,
2,2007,2007-12-16,14,23.015,BAL,@,MIA,L 16-22,,0,0,0,,0,0.0%,,0,0,,0,0,0,1.0,,
3,2007,2007-12-23,15,23.022,BAL,@,SEA,L 6-27,,,,,,,0.0%,,,,,,,,,,
4,2007,2007-12-30,16,23.029,BAL,,PIT,W 27-21,,0,,,,,0.0%,,,,,,,,,,
5,2008,2008-10-19,6,23.323,BAL,@,MIA,W 27-13,,,,,,,0.0%,,,,,,,,,,
6,2008,2008-10-26,7,23.330,BAL,,OAK,W 29-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
7,2008,2008-11-02,8,23.337,BAL,@,CLE,W 37-27,,,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0
8,2008,2008-11-09,9,23.344,BAL,@,HOU,W 41-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.5,0,1
9,2008,2008-11-16,10,23.351,BAL,@,NYG,L 10-30,,,,,,,0.0%,,,,,,,,,,
10,2008,2008-12-14,14,24.013,BAL,,PIT,L 9-13,,,,,,,0.0%,,,,,,,,,,
11,2008,2008-12-28,16,24.027,BAL,,JAX,W 27-7,,1,1,25,25.00,0,100.0%,25.00,0,0,,0,0,0,0.0,0,0
12,2009,2009-09-13,1,24.286,BAL,,KAN,W 38-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
13,2009,2009-09-20,2,24.293,BAL,@,SDG,W 31-26,,,,,,,0.0%,,,,,,,,,,
14,2009,2009-09-27,3,24.300,BAL,,CLE,W 34-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
15,2009,2009-10-04,4,24.307,BAL,@,NWE,L 21-27,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
16,2009,2009-10-11,5,24.314,BAL,,CIN,L 14-17,,,,,,,0.0%,,,,,,,,,,
17,2009,2009-10-18,6,24.321,BAL,@,MIN,L 31-33,,,,,,,0.0%,,,,,,,,,,
18,2009,2009-11-01,7,24.335,BAL,,DEN,W 30-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
19,2009,2009-11-08,8,24.342,BAL,@,CIN,L 7-17,,,,,,,0.0%,,,,,,,,,,
20,2009,2009-11-16,9,24.350,BAL,@,CLE,W 16-0,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
21,2009,2009-11-22,10,24.356,BAL,,IND,L 15-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
22,2009,2009-11-29,11,24.363,BAL,,PIT,W 20-17,,,,,,,0.0%,,,,,,,,,,
23,2009,2009-12-07,12,25.006,BAL,@,GNB,L 14-27,,,,,,,0.0%,,,,,,,,,,
24,2009,2009-12-13,13,25.012,BAL,,DET,W 48-3,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0
25,2009,2009-12-20,14,25.019,BAL,,CHI,W 31-7,,,,,,,0.0%,,,,,,,,,,
26,2009,2009-12-27,15,25.026,BAL,@,PIT,L 20-23,,,,,,,0.0%,,,,,,,,,,
27,2009,2010-01-03,16,25.033,BAL,@,OAK,W 21-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
28,2010,2010-09-13,1,25.286,BAL,@,NYJ,W 10-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
29,2010,2010-09-19,2,25.292,BAL,@,CIN,L 10-15,,,,,,,0.0%,,,,,,,,,,
30,2010,2010-09-26,3,25.299,BAL,,CLE,W 24-17,,,,,,,0.0%,,,,,,,,,,
31,2010,2010-10-10,5,25.313,BAL,,DEN,W 31-17,,0,,,,,0.0%,,,,,,,,,,
32,2010,2010-10-17,6,25.320,BAL,@,NWE,L 20-23,,,,,,,0.0%,,,,,,,,,,
33,2011,2011-11-06,8,26.340,BAL,@,PIT,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
34,2011,2011-11-13,9,26.347,BAL,@,SEA,L 17-22,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
35,2011,2011-11-20,10,26.354,BAL,,CIN,W 31-24,,,,,,,0.0%,,,,,,,,,,
36,2011,2011-11-24,11,26.358,BAL,,SFO,W 16-6,,,,,,,0.0%,,,,,,,,,,
37,2011,2011-12-04,12,27.003,BAL,@,CLE,W 24-10,,,,,,,0.0%,,,,,,,,,,
38,2011,2011-12-11,13,27.010,BAL,,IND,W 24-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
39,2011,2011-12-18,14,27.017,BAL,@,SDG,L 14-34,,,,,,,0.0%,,,,,,,,,,
40,2011,2011-12-24,15,27.023,BAL,,CLE,W 20-14,,,,,,,0.0%,,,,,,,,,,
41,2011,2012-01-01,16,27.031,BAL,@,CIN,W 24-16,,0,0,0,,0,0.0%,,1,0,0.00,0,0,0,0.0,0,0
42,2012,2012-09-09,1,27.283,KAN,,ATL,L 24-40,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,1
43,2012,2012-09-16,2,27.290,KAN,@,BUF,L 17-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
44,2012,2012-09-23,3,27.297,KAN,@,NOR,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
45,2012,2012-09-30,4,27.304,KAN,,SDG,L 20-37,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
46,2012,2012-10-07,5,27.311,KAN,,BAL,L 6-9,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
47,2012,2012-10-14,6,27.318,KAN,@,TAM,L 10-38,,0,0,0,,0,0.0%,,0,0,,0,0,6,0.0,0,0
48,2012,2012-10-28,7,27.332,KAN,,OAK,L 16-26,,,,,,,0.0%,,,,,,,,,,
49,2012,2012-11-01,8,27.336,KAN,@,SDG,L 13-31,,0,,,,,0.0%,,,,,,,,,,
50,2012,2012-11-12,9,27.347,KAN,@,PIT,L 13-16,,,,,,,0.0%,,,,,,,,,,
51,2012,2012-11-18,10,27.353,KAN,,CIN,L 6-28,,,,,,,0.0%,,,,,,,,,,
52,2012,2012-11-25,11,27.360,KAN,,DEN,L 9-17,,,,,,,0.0%,,,,,,,,,,
53,2012,2012-12-02,12,28.001,KAN,,CAR,W 27-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
54,2012,2012-12-09,13,28.008,KAN,@,CLE,L 7-30,,,,,,,0.0%,,,,,,,,,,
55,2012,2012-12-16,14,28.015,KAN,@,OAK,L 0-15,,0,,,,,0.0%,,,,,,,,,,
56,2012,2012-12-23,15,28.022,KAN,,IND,L 13-20,,,,,,,0.0%,,,,,,,,,,
57,2012,2012-12-30,16,28.029,KAN,@,DEN,L 3-38,,,,,,,0.0%,,,,,,,,,,
58,2013,2013-09-08,1,28.281,DAL,,NYG,W 36-31,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1
59,2013,2013-09-15,2,28.288,DAL,@,KAN,L 16-17,,,,,,,0.0%,,,,,,,,,,
60,2013,2013-09-22,3,28.295,DAL,,STL,W 31-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,3,0
61,2013,2013-09-29,4,28.302,DAL,@,SDG,L 21-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
62,2013,2013-12-15,14,29.014,DAL,,GNB,L 36-37,,,,,,,0.0%,,,,,,,,,,
63,2013,2013-12-22,15,29.021,DAL,@,WAS,W 24-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,0
64,2013,2013-12-29,16,29.028,DAL,,PHI,L 22-24,,,,,,,0.0%,,,,,,,,,,
