ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1988,1988-09-04,1,23.146,CHI,,MIA,W 34-7,3,7,2.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
2,1988,1988-09-11,2,23.153,CHI,@,IND,W 17-13,0,0,,0,,0,0,,0,,,,,,,,,,,,,,0,0,,0,0,
3,1988,1988-09-18,3,23.160,CHI,,MIN,L 7-31,1,14,14.00,0,,2,9,4.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
4,1988,1988-09-25,4,23.167,CHI,@,GNB,W 24-6,3,11,3.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
5,1988,1988-10-02,5,23.174,CHI,,BUF,W 24-3,6,25,4.17,0,,1,10,10.00,0,,,0,0,,0,0,0,,,,,,1,8,8.00,0,0,0
6,1988,1988-10-09,6,23.181,CHI,@,DET,W 24-7,4,15,3.75,0,,3,21,7.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
7,1988,1988-10-16,7,23.188,CHI,,DAL,W 17-7,1,11,11.00,0,,3,26,8.67,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
8,1988,1988-10-24,8,23.196,CHI,,SFO,W 10-9,5,10,2.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
9,1988,1988-10-30,9,23.202,CHI,@,NWE,L 7-30,1,15,15.00,0,,2,30,15.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
10,1988,1988-11-06,10,23.209,CHI,,TAM,W 28-10,2,4,2.00,0,,1,9,9.00,0,,,0,0,,0,0,0,,,,,,1,10,10.00,0,0,0
11,1988,1988-11-13,11,23.216,CHI,@,WAS,W 34-14,3,13,4.33,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
12,1988,1988-11-20,12,23.223,CHI,@,TAM,W 27-15,3,17,5.67,0,,1,40,40.00,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
13,1988,1988-11-27,13,23.230,CHI,,GNB,W 16-0,6,17,2.83,0,,2,13,6.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
14,1988,1988-12-05,14,23.238,CHI,@,RAM,L 3-23,0,0,,0,,4,35,8.75,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
15,1988,1988-12-11,15,23.244,CHI,,DET,W 13-12,0,0,,0,,0,0,,0,,,0,0,,0,0,0,,,,,,1,15,15.00,0,0,0
16,1988,1988-12-19,16,23.252,CHI,@,MIN,L 27-28,6,38,6.33,0,,2,43,21.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
17,1989,1989-09-10,1,24.152,CHI,,CIN,W 17-14,4,11,2.75,0,,1,4,4.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
18,1989,1989-09-17,2,24.159,CHI,,MIN,W 38-7,3,-5,-1.67,0,,1,1,1.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
19,1989,1989-09-24,3,24.166,CHI,@,DET,W 47-27,10,73,7.30,1,,3,11,3.67,1,,,0,0,,0,0,0,,,,,,0,0,,0,2,12
20,1989,1989-10-02,4,24.174,CHI,,PHI,W 27-13,1,1,1.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
21,1989,1989-10-08,5,24.180,CHI,@,TAM,L 35-42,0,0,,0,,2,8,4.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
22,1989,1989-10-15,6,24.187,CHI,,HOU,L 28-33,4,16,4.00,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
23,1989,1989-10-23,7,24.195,CHI,@,CLE,L 7-27,10,48,4.80,0,,2,12,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
24,1989,1989-10-29,8,24.201,CHI,,RAM,W 20-10,9,33,3.67,1,,4,44,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
25,1989,1989-11-05,9,24.208,CHI,@,GNB,L 13-14,8,16,2.00,1,,6,68,11.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
26,1989,1989-11-12,10,24.215,CHI,@,PIT,W 20-0,8,25,3.13,0,,3,31,10.33,1,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
27,1989,1989-11-19,11,24.222,CHI,,TAM,L 31-32,4,18,4.50,0,,2,27,13.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
28,1989,1989-11-26,12,24.229,CHI,@,WAS,L 14-38,3,9,3.00,0,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
29,1989,1989-12-03,13,24.236,CHI,@,MIN,L 16-27,3,23,7.67,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
30,1989,1989-12-10,14,24.243,CHI,,DET,L 17-27,3,17,5.67,1,,3,31,10.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
31,1989,1989-12-17,15,24.250,CHI,,GNB,L 28-40,8,35,4.38,1,,2,11,5.50,1,,,0,0,,0,0,0,,,,,,0,0,,0,2,12
32,1989,1989-12-24,16,24.257,CHI,@,SFO,L 0-26,4,7,1.75,0,,2,5,2.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
33,1990,1990-09-09,1,25.151,CHI,,SEA,W 17-0,4,17,4.25,0,,3,33,11.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
34,1990,1990-09-16,2,25.158,CHI,@,GNB,W 31-13,5,19,3.80,0,,0,0,,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
35,1990,1990-09-23,3,25.165,CHI,,MIN,W 19-16,14,90,6.43,0,,1,12,12.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
36,1990,1990-09-30,4,25.172,CHI,@,RAI,L 10-24,3,9,3.00,0,,3,27,9.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
37,1990,1990-10-07,5,25.179,CHI,,GNB,W 27-13,11,27,2.45,0,,5,51,10.20,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
38,1990,1990-10-14,6,25.186,CHI,,RAM,W 38-9,7,39,5.57,1,,2,27,13.50,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
39,1990,1990-10-28,7,25.200,CHI,@,PHO,W 31-21,12,99,8.25,0,,1,6,6.00,0,,,0,0,,0,0,0,,,,,,0,0,,0,0,0
40,1990,1990-11-04,8,25.207,CHI,@,TAM,W 26-6,9,78,8.67,1,,4,43,10.75,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
41,1990,1990-11-11,9,25.214,CHI,,ATL,W 30-24,11,21,1.91,1,,3,25,8.33,0,,,0,0,,0,0,0,,,,,,0,0,,0,1,6
