ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1993,1993-09-05,1,23.315,MIN,@,RAI,L 7-24,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,11,5.50,0,0,0
2,1993,1993-09-12,2,23.322,MIN,,CHI,W 10-7,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,17,5.67,0,0,0
3,1993,1993-09-26,3,23.336,MIN,,GNB,W 15-13,1,1,45,45.00,0,100.0%,45.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,4,28,7.00,0,0,0
4,1993,1993-10-03,4,23.343,MIN,@,SFO,L 19-38,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,55,27.50,0,0,0
5,1993,1993-10-10,5,23.350,MIN,,TAM,W 15-0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,1,19,19.00,0,4,26,6.50,0,0,0
6,1993,1993-10-25,6,24.000,MIN,@,CHI,W 19-12,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,6,3.00,0,0,0
7,1993,1993-11-14,9,24.020,MIN,@,DEN,W 26-23,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,22,7.33,0,0,0
8,1993,1993-11-21,10,24.027,MIN,@,TAM,L 10-23,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,4,82,20.50,0,4,9,2.25,0,0,0
9,1993,1993-12-05,12,24.041,MIN,@,DET,W 13-0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,22,7.33,0,0,0
10,1993,1993-12-19,14,24.055,MIN,@,GNB,W 21-17,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,16,8.00,0,0,0
11,1994,1994-10-02,5,24.342,MIN,@,ARI,L 7-17,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,0,,
12,1994,1994-10-30,8,25.005,MIN,@,TAM,W 36-13,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,0,,
13,1994,1994-11-06,9,25.012,MIN,,NOR,W 21-20,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,14,4.67,0,0,0
14,1994,1994-11-13,10,25.019,MIN,@,NWE,L 20-26,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,0,,
15,1994,1994-11-20,11,25.026,MIN,,NYJ,L 21-31,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,0,,
16,1994,1994-11-27,12,25.033,MIN,,TAM,L 17-20,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,0,0.00,0,0,0
17,1994,1994-12-01,13,25.037,MIN,,CHI,W 33-27,,,,,,0.0%,,,,,,,,,,,,,,,,,,,,,0,0,,0,,
18,1995,1995-09-03,1,25.313,CAR,@,ATL,L 20-23,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,2,20,10.00,0,0,0
19,1995,1995-09-10,2,25.320,CAR,@,BUF,L 9-31,0,0,0,,0,0.0%,,1,1,1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,1,4,4.00,0,0,0
20,1995,1995-09-17,3,25.327,CAR,,STL,L 10-31,8,4,53,13.25,0,50.0%,6.63,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,30,7.50,0,0,0
21,1995,1995-10-01,4,25.341,CAR,,TAM,L 13-20,1,1,40,40.00,0,100.0%,40.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,45,11.25,0,0,0
22,1995,1995-10-08,5,25.348,CAR,@,CHI,L 27-31,7,3,63,21.00,0,42.9%,9.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,95,19.00,1,1,6
23,1995,1995-10-15,6,25.355,CAR,,NYJ,W 26-15,4,2,34,17.00,0,50.0%,8.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,4,36,9.00,0,0,0
24,1995,1995-10-22,7,25.362,CAR,,NOR,W 20-3,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,0,0.00,0,0,0
25,1995,1995-10-29,8,26.004,CAR,@,NWE,W 20-17,12,7,94,13.43,1,58.3%,7.83,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,65,13.00,0,1,6
26,1995,1995-11-05,9,26.011,CAR,@,SFO,W 13-7,7,4,27,6.75,0,57.1%,3.86,1,1,1.00,0,0,0,,0,0,0,,0,,,,0,0,,0,2,10,5.00,0,0,0
27,1995,1995-11-12,10,26.018,CAR,@,STL,L 17-28,6,1,5,5.00,0,16.7%,0.83,0,0,,0,1,1,100.00,46,0,0,118.7,0,0,46.00,46.00,0,0,,0,2,16,8.00,0,0,0
28,1995,1995-11-19,11,26.025,CAR,,ARI,W 27-7,4,4,62,15.50,0,100.0%,15.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,5,39,7.80,0,0,0
29,1995,1995-11-26,12,26.032,CAR,@,NOR,L 26-34,8,1,36,36.00,0,12.5%,4.50,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,1,8,8.00,0,0,0
30,1995,1995-12-03,13,26.039,CAR,,IND,W 13-10,4,0,0,,0,0.0%,0.00,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0,,0,7,107,15.29,0,0,0
31,1995,1995-12-10,14,26.046,CAR,,SFO,L 10-31,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0,,0,0,0,,0,0,0
