ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-15,1,24.245,PIT,@,PHI,T 21-21,0,0,,0,0,0,0,0,0,1,32,32.00,0
2,1963,1963-10-05,4,24.265,PIT,@,CLE,L 23-35,0,0,,0,0,0,0,0,0,1,38,38.00,0
3,1963,1963-10-27,7,24.287,PIT,,DAL,W 27-21,0,0,,0,0,0,1,0,0,0,0,,0
4,1964,1964-11-08,9,25.300,PIT,@,STL,L 30-34,1,2,2.00,0,0,0,0,0,0,0,0,,0
5,1964,1964-11-15,10,25.307,PIT,,WAS,L 0-30,0,0,,0,0,0,1,39,0,0,0,,0
6,1965,1965-09-19,1,26.249,PIT,,GNB,L 9-41,1,0,0.00,0,0,0,0,0,0,0,0,,0
7,1965,1965-09-26,2,26.256,PIT,@,SFO,L 17-27,1,3,3.00,0,0,0,0,0,0,0,0,,0
8,1965,1965-10-24,6,26.284,PIT,@,PHI,W 20-14,0,0,,0,1,6,3,101,1,0,0,,0
9,1965,1965-11-21,10,26.312,PIT,,WAS,L 3-31,1,27,27.00,0,0,0,1,0,0,0,0,,0
10,1965,1965-12-12,13,26.333,PIT,,PHI,L 13-47,1,43,43.00,0,0,0,0,0,0,0,0,,0
11,1965,1965-12-19,14,26.340,PIT,@,WAS,L 14-35,1,0,0.00,0,0,0,1,16,0,0,0,,0
12,1966,1966-09-11,1,27.241,PIT,,NYG,T 34-34,2,3,1.50,0,0,0,0,0,0,0,0,,0
13,1966,1966-09-18,2,27.248,PIT,,DET,W 17-3,0,0,,0,0,0,2,33,0,0,0,,0
14,1966,1966-09-25,3,27.255,PIT,,WAS,L 27-33,0,0,,0,1,6,2,49,1,0,0,,0
15,1967,1967-09-24,2,28.254,PIT,,STL,L 14-28,1,-2,-2.00,0,0,0,0,0,0,0,0,,0
16,1967,1967-10-07,4,28.267,PIT,@,CLE,L 10-21,2,14,7.00,0,0,0,0,0,0,0,0,,0
17,1967,1967-10-15,5,28.275,PIT,,NYG,L 24-27,1,3,3.00,0,0,0,0,0,0,0,0,,0
18,1967,1967-10-22,6,28.282,PIT,,DAL,L 21-24,2,6,3.00,0,0,0,0,0,0,0,0,,0
19,1967,1967-11-05,8,28.296,PIT,,CLE,L 14-34,1,12,12.00,0,0,0,0,0,0,0,0,,0
20,1967,1967-11-12,9,28.303,PIT,@,STL,T 14-14,1,0,0.00,0,0,0,0,0,0,0,0,,0
21,1967,1967-11-19,10,28.310,PIT,@,NYG,L 20-28,1,26,26.00,0,0,0,0,0,0,0,0,,0
22,1967,1967-11-26,11,28.317,PIT,,MIN,L 27-41,3,33,11.00,0,0,0,0,0,0,0,0,,0
23,1967,1967-12-03,12,28.324,PIT,@,DET,W 24-14,2,2,1.00,0,0,0,0,0,0,0,0,,0
24,1967,1967-12-10,13,28.331,PIT,,WAS,L 10-15,2,3,1.50,0,0,0,0,0,0,0,0,,0
