ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2009,2009-09-13,1,22.094,DAL,@,TAM,W 34-21,,,,,,,0.0%,,,,,,,,,,
2,2009,2009-09-20,2,22.101,DAL,,NYG,L 31-33,,,,,,,0.0%,,,,,,,,,,
3,2009,2009-09-28,3,22.109,DAL,,CAR,W 21-7,,0,,,,,0.0%,,,,,,,,,,
4,2009,2009-10-04,4,22.115,DAL,@,DEN,L 10-17,,,,,,,0.0%,,,,,,,,,,
5,2009,2009-10-11,5,22.122,DAL,@,KAN,W 26-20,,,,,,,0.0%,,,,,,,,,,
6,2009,2009-10-25,6,22.136,DAL,,ATL,W 37-21,,,,,,,0.0%,,,,,,,,,,
7,2009,2009-11-01,7,22.143,DAL,,SEA,W 38-17,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0
8,2009,2009-11-08,8,22.150,DAL,@,PHI,W 20-16,*,0,,,,,0.0%,,,,,,,,,,
9,2009,2009-11-15,9,22.157,DAL,@,GNB,L 7-17,,,,,,,0.0%,,,,,,,,,,
10,2009,2009-11-22,10,22.164,DAL,,WAS,W 7-6,*,1,,,,,0.0%,,,,,,,,,,
11,2009,2009-11-26,11,22.168,DAL,,OAK,W 24-7,,,,,,,0.0%,,,,,,,,,,
12,2009,2009-12-06,12,22.178,DAL,@,NYG,L 24-31,,1,1,8,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0
13,2009,2009-12-13,13,22.185,DAL,,SDG,L 17-20,,1,,,,,0.0%,,,,,,,,,,
14,2009,2009-12-19,14,22.191,DAL,@,NOR,W 24-17,*,3,3,40,13.33,0,100.0%,13.33,0,0,,0,0,0,0.0,0,0
15,2009,2009-12-27,15,22.199,DAL,@,WAS,W 17-0,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
16,2009,2010-01-03,16,22.206,DAL,,PHI,W 24-0,,2,2,14,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
17,2011,2011-09-11,1,24.092,DAL,@,NYJ,L 24-27,*,2,2,19,9.50,0,100.0%,9.50,1,16,16.00,0,0,0,0.0,0,0
18,2011,2011-09-18,2,24.099,DAL,@,SFO,W 27-24,*,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,0.0,0,0
19,2011,2011-09-26,3,24.107,DAL,,WAS,W 18-16,,,,,,,0.0%,,,,,,,,,,
20,2011,2011-10-02,4,24.113,DAL,,DET,L 30-34,*,3,3,8,2.67,0,100.0%,2.67,0,0,,0,0,0,0.0,0,0
21,2011,2011-10-16,5,24.127,DAL,@,NWE,L 16-20,*,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0,0.0,0,0
22,2011,2011-10-23,6,24.134,DAL,,STL,W 34-7,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
23,2011,2011-10-30,7,24.141,DAL,@,PHI,L 7-34,,,,,,,0.0%,,,,,,,,,,
24,2011,2011-11-06,8,24.148,DAL,,SEA,W 23-13,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,1
25,2011,2011-11-13,9,24.155,DAL,,BUF,W 44-7,,,,,,,0.0%,,,,,,,,,,
26,2011,2011-11-20,10,24.162,DAL,@,WAS,W 27-24,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0,0.0,0,0
27,2011,2011-11-24,11,24.166,DAL,,MIA,W 20-19,*,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0
28,2011,2011-12-04,12,24.176,DAL,@,ARI,L 13-19,*,5,4,22,5.50,0,80.0%,4.40,0,0,,0,0,0,0.0,0,0
29,2011,2011-12-11,13,24.183,DAL,,NYG,L 34-37,,1,1,12,12.00,1,100.0%,12.00,0,0,,0,1,6,0.0,0,0
30,2011,2011-12-17,14,24.189,DAL,@,TAM,W 31-15,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
31,2011,2011-12-24,15,24.196,DAL,,PHI,L 7-20,,0,0,0,,0,0.0%,,1,10,10.00,0,0,0,0.0,0,0
32,2011,2012-01-01,16,24.204,DAL,@,NYG,L 14-31,,,,,,,0.0%,,,,,,,,,,
33,2012,2012-09-05,1,25.086,DAL,@,NYG,W 24-17,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0
34,2012,2012-09-16,2,25.097,DAL,@,SEA,L 7-27,*,2,2,16,8.00,0,100.0%,8.00,0,0,,0,0,0,0.0,0,0
35,2012,2012-09-23,3,25.104,DAL,,TAM,W 16-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
36,2012,2012-10-01,4,25.112,DAL,,CHI,L 18-34,,,,,,,0.0%,,,,,,,,,,
37,2012,2012-10-14,5,25.125,DAL,@,BAL,L 29-31,,2,1,19,19.00,0,50.0%,9.50,0,0,,0,0,0,0.0,0,0
38,2012,2012-10-21,6,25.132,DAL,@,CAR,W 19-14,*,,,,,,0.0%,,,,,,,,,,
39,2012,2012-10-28,7,25.139,DAL,,NYG,L 24-29,*,3,3,14,4.67,1,100.0%,4.67,0,0,,0,1,6,0.0,0,0
40,2012,2012-11-04,8,25.146,DAL,@,ATL,L 13-19,*,,,,,,0.0%,,,,,,,,,,
41,2012,2012-11-11,9,25.153,DAL,@,PHI,W 38-23,,0,,,,,0.0%,,,,,,,,,,
42,2012,2012-11-18,10,25.160,DAL,,CLE,W 23-20,*,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
43,2012,2012-11-22,11,25.164,DAL,,WAS,L 31-38,*,,,,,,0.0%,,,,,,,,,,
44,2012,2012-12-02,12,25.174,DAL,,PHI,W 38-33,,1,1,0,0.00,0,100.0%,0.00,0,0,,0,0,0,0.0,0,0
45,2012,2012-12-09,13,25.181,DAL,@,CIN,W 20-19,,,,,,,0.0%,,,,,,,,,,
