ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-08,1,24.077,DET,,NYG,W 35-14,,,,,,,0.0%,,,,,,,,,,
2,2014,2014-09-14,2,24.083,DET,@,CAR,L 7-24,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
3,2014,2014-09-21,3,24.090,DET,,GNB,W 19-7,,2,1,52,52.00,0,50.0%,26.00,0,0,,0,0,0,0.0,0,0
4,2014,2014-09-28,4,24.097,DET,@,NYJ,W 24-17,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
5,2014,2014-10-05,5,24.104,DET,,BUF,L 14-17,,4,3,27,9.00,0,75.0%,6.75,0,0,,0,0,0,0.0,0,0
6,2014,2014-10-12,6,24.111,DET,@,MIN,W 17-3,,5,2,12,6.00,0,40.0%,2.40,0,0,,0,0,0,0.0,0,0
7,2014,2014-10-19,7,24.118,DET,,NOR,W 24-23,*,5,3,44,14.67,1,60.0%,8.80,0,0,,0,1,6,0.0,0,0
8,2014,2014-10-26,8,24.125,DET,@,ATL,W 22-21,*,6,3,43,14.33,0,50.0%,7.17,0,0,,0,0,0,0.0,1,0
9,2014,2014-11-09,9,24.139,DET,,MIA,W 20-16,,,,,,,0.0%,,,,,,,,,,
10,2014,2014-11-16,10,24.146,DET,@,ARI,L 6-14,,,,,,,0.0%,,,,,,,,,,
11,2014,2014-11-23,11,24.153,DET,@,NWE,L 9-34,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,0.0,0,0
12,2014,2014-11-27,12,24.157,DET,,CHI,W 34-17,,1,1,21,21.00,0,100.0%,21.00,0,0,,0,0,0,0.0,0,0
13,2014,2014-12-07,13,24.167,DET,,TAM,W 34-17,,0,,,,,0.0%,,,,,,,,,,
14,2014,2014-12-14,14,24.174,DET,,MIN,W 16-14,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
15,2014,2014-12-21,15,24.181,DET,@,CHI,W 20-14,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
16,2014,2014-12-28,16,24.188,DET,@,GNB,L 20-30,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
17,2015,2015-09-13,1,25.082,DET,@,SDG,L 28-33,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
18,2015,2015-09-20,2,25.089,DET,@,MIN,L 16-26,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
19,2015,2015-10-05,4,25.104,DET,@,SEA,L 10-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
20,2015,2015-10-11,5,25.110,DET,,ARI,L 17-42,,4,2,56,28.00,0,50.0%,14.00,0,0,,0,0,0,0.0,0,0
21,2015,2015-10-18,6,25.117,DET,,CHI,W 37-34,,1,1,5,5.00,0,100.0%,5.00,1,0,0.00,0,0,0,0.0,0,0
22,2015,2015-10-25,7,25.124,DET,,MIN,L 19-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
23,2015,2015-11-01,8,25.131,DET,@,KAN,L 10-45,,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
24,2015,2015-11-15,9,25.145,DET,@,GNB,W 18-16,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
25,2015,2015-11-22,10,25.152,DET,,OAK,W 18-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
26,2015,2015-11-26,11,25.156,DET,,PHI,W 45-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
27,2015,2015-12-03,12,25.163,DET,,GNB,L 23-27,,2,1,15,15.00,0,50.0%,7.50,0,0,,0,0,0,0.0,0,0
28,2015,2015-12-13,13,25.173,DET,@,STL,L 14-21,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
