ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att
1,1950,1950-09-24,1,28.141,CRD,,PHI,L 7-45,4,4,1.00,0,0,0,,0,0,0,,0,0,,,,,,
2,1950,1950-10-02,2,28.149,CRD,,BAL,W 55-13,14,55,3.93,0,0,0,,0,0,0,,0,0,,,,,,
3,1950,1950-10-15,4,28.162,CRD,@,CLE,L 24-34,6,28,4.67,1,1,3,3.00,0,0,0,,0,0,,,,,,
4,1950,1950-10-22,5,28.169,CRD,@,WAS,W 38-28,10,43,4.30,0,0,0,,0,0,0,,0,0,,,,,,
5,1950,1950-11-05,7,28.183,CRD,,CLE,L 7-10,2,1,0.50,0,1,10,10.00,0,0,0,,0,0,,,,,,
6,1950,1950-11-12,8,28.190,CRD,@,NYG,L 21-51,9,51,5.67,0,0,0,,0,0,0,,0,0,,,,,,
7,1950,1950-11-19,9,28.197,CRD,@,PHI,W 14-10,13,59,4.54,0,0,0,,0,0,0,,0,0,,,,,,
8,1950,1950-11-23,10,28.201,CRD,,PIT,L 17-28,7,47,6.71,0,0,0,,0,0,0,,0,0,,,,,,
9,1950,1950-12-03,11,28.211,CRD,,CHI,W 20-10,12,64,5.33,0,0,0,,0,0,0,,0,0,,,,,,
10,1950,1950-12-10,12,28.218,CRD,@,PIT,L 7-28,8,57,7.13,0,0,0,,0,0,0,,0,0,,,,,,
11,1951,1951-09-30,1,29.147,DET,,WAS,W 35-17,9,47,5.22,0,5,48,9.60,1,0,0,,0,0,,,,,,
12,1951,1951-10-08,2,29.155,DET,,NYY,W 37-10,10,29,2.90,2,1,9,9.00,0,0,0,,0,0,,,,,,
13,1951,1951-10-14,3,29.161,DET,,RAM,L 21-27,10,28,2.80,0,0,0,,0,0,0,,0,0,,,,,,
14,1951,1951-10-21,4,29.168,DET,,NYY,T 24-24,6,30,5.00,1,1,-6,-6.00,0,0,0,,0,0,,,,,,
15,1951,1951-10-28,5,29.175,DET,,CHI,L 23-28,8,39,4.88,0,0,0,,0,0,0,,0,0,,,,,,
16,1951,1951-11-04,6,29.182,DET,@,GNB,W 24-17,13,62,4.77,0,2,44,22.00,0,0,0,,0,0,,,,,,
17,1951,1951-11-11,7,29.189,DET,@,CHI,W 41-28,8,24,3.00,1,2,24,12.00,1,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00
18,1951,1951-11-18,8,29.196,DET,@,PHI,W 28-10,6,7,1.17,0,2,27,13.50,0,0,0,,0,0,,,,,,
19,1951,1951-11-22,9,29.200,DET,,GNB,W 52-35,7,42,6.00,0,2,24,12.00,0,0,0,,0,0,,,,,,
20,1951,1951-12-02,10,29.210,DET,,SFO,L 10-20,7,31,4.43,0,0,0,,0,0,0,,0,0,,,,,,
21,1951,1951-12-09,11,29.217,DET,@,RAM,W 24-22,8,31,3.88,1,1,11,11.00,0,0,0,,0,0,,,,,,
22,1951,1951-12-16,12,29.224,DET,@,SFO,L 17-21,9,10,1.11,1,1,12,12.00,0,0,0,,0,0,,,,,,
23,1952,1952-09-28,1,30.145,DET,@,SFO,L 3-17,7,20,2.86,0,2,19,9.50,0,0,0,,0,0,,,,,,
24,1952,1952-10-03,2,30.150,DET,@,RAM,W 17-14,9,38,4.22,0,1,4,4.00,0,0,0,,0,0,,,,,,
25,1952,1952-10-19,4,30.166,DET,,RAM,W 24-16,2,-1,-0.50,0,1,9,9.00,0,0,0,,0,0,,,,,,
26,1952,1952-10-26,5,30.173,DET,@,GNB,W 52-17,7,22,3.14,0,0,22,,0,0,0,,0,0,,,,,,
27,1952,1952-11-02,6,30.180,DET,,CLE,W 17-6,4,11,2.75,0,0,0,,0,0,0,,0,0,,,,,,
28,1952,1952-11-09,7,30.187,DET,@,PIT,W 31-6,12,44,3.67,0,1,1,1.00,0,0,0,,0,0,,,,,,
29,1952,1952-11-16,8,30.194,DET,,DTX,W 43-13,7,16,2.29,1,0,0,,0,0,0,,0,0,,,,,,
30,1952,1952-11-23,9,30.201,DET,@,CHI,L 23-24,10,41,4.10,0,0,0,,0,0,0,,0,0,,,,,,
31,1952,1952-11-27,10,30.205,DET,,GNB,W 48-24,7,8,1.14,1,2,29,14.50,0,0,0,,0,0,,,,,,
32,1952,1952-12-07,11,30.215,DET,,CHI,W 45-21,7,20,2.86,0,4,19,4.75,0,0,0,,0,0,,,,,,
33,1952,1952-12-13,12,30.221,DET,,DTX,W 41-6,9,25,2.78,0,3,39,13.00,1,0,0,,0,0,,,,,,
34,1953,1953-10-11,3,31.158,DET,,SFO,W 24-21,2,6,3.00,0,0,0,,0,0,0,,0,0,,,,,,
35,1953,1953-10-18,4,31.165,DET,,RAM,L 19-31,5,12,2.40,0,0,0,,0,0,0,,0,0,,,,,,
36,1953,1953-10-25,5,31.172,DET,@,SFO,W 14-10,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,,,
37,1953,1953-11-01,6,31.179,DET,@,RAM,L 24-37,0,0,,0,1,19,19.00,0,0,0,,0,0,,,,,,
