ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1993,1993-09-05,1,21.201,RAM,@,GNB,L 6-36,,5,24,4.80,0,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0,,,,,,0,0
2,1993,1993-09-12,2,21.208,RAM,,PIT,W 27-0,,16,76,4.75,1,1,1,-4,-4.00,0,100.0%,-4.00,0,0,,0,0,0,,,,,,1,6
3,1993,1993-09-19,3,21.215,RAM,@,NYG,L 10-20,,9,33,3.67,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0,,,,,,0,0
4,1993,1993-09-26,4,21.222,RAM,@,HOU,W 28-13,,11,25,2.27,1,1,1,11,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,1,6
5,1993,1993-10-03,5,21.229,RAM,,NOR,L 6-37,,22,102,4.64,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
6,1993,1993-10-14,6,21.240,RAM,@,ATL,L 24-30,,19,85,4.47,1,3,3,53,17.67,0,100.0%,17.67,0,0,,0,0,0,,,,,,1,6
7,1993,1993-10-24,7,21.250,RAM,,DET,L 13-16,,23,113,4.91,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0
8,1993,1993-10-31,8,21.257,RAM,@,SFO,L 17-40,,21,72,3.43,1,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,,,,,1,6
9,1993,1993-11-14,9,21.271,RAM,,ATL,L 0-13,,11,27,2.45,0,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,,,,,,0,0
10,1993,1993-11-21,10,21.278,RAM,,WAS,W 10-6,,16,86,5.38,0,4,4,44,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0
11,1993,1993-11-28,11,21.285,RAM,,SFO,L 10-35,,18,133,7.39,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,,,,,0,0
12,1993,1993-12-05,12,21.292,RAM,@,PHO,L 10-38,,16,115,7.19,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0,,,,,,0,0
13,1993,1993-12-12,13,21.299,RAM,@,NOR,W 23-20,,28,212,7.57,1,,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6
14,1993,1993-12-19,14,21.306,RAM,@,CIN,L 3-15,,24,124,5.17,0,2,2,11,5.50,0,100.0%,5.50,0,0,,0,0,0,,,,,,0,0
15,1993,1993-12-26,15,21.313,RAM,,CLE,L 14-42,,16,56,3.50,1,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,,,,,,1,6
16,1993,1994-01-02,16,21.320,RAM,,CHI,W 20-6,,39,146,3.74,1,7,5,71,14.20,0,71.4%,10.14,0,0,,0,0,0,,,,,,1,6
17,1994,1994-09-04,1,22.200,RAM,,ARI,W 14-12,,21,52,2.48,1,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,1,6
18,1994,1994-09-11,2,22.207,RAM,@,ATL,L 13-31,,24,102,4.25,0,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,,,,,,0,0
19,1994,1994-09-18,3,22.214,RAM,,SFO,L 19-34,,21,104,4.95,1,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,1,6
