ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-09-07,1,21.283,MIA,,NWE,W 33-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,0,,,2,56,28.00,0,3,24,8.00,0,,0,0,0.0,0,0
2,2014,2014-09-14,2,21.290,MIA,@,BUF,L 10-29,,6,5,49,9.80,0,83.3%,8.17,0,0,,0,0,0,,0,0,0,,0,0,,,3,57,19.00,0,2,7,3.50,0,,0,0,0.0,1,0
3,2014,2014-09-21,3,21.297,MIA,,KAN,L 15-34,,7,3,24,8.00,0,42.9%,3.43,0,0,,0,0,0,,0,0,0,,0,0,,,5,174,34.80,0,3,11,3.67,0,,0,0,0.0,0,0
4,2014,2014-09-28,4,21.304,MIA,@,OAK,W 38-14,,4,4,38,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,1,35,35.00,0,1,9,9.00,0,,0,0,0.0,0,0
5,2014,2014-10-12,5,21.318,MIA,,GNB,L 24-27,*,8,6,75,12.50,1,75.0%,9.38,0,0,,0,0,0,,0,0,0,,0,0,,,2,91,45.50,0,0,0,,0,,1,6,0.0,1,0
6,2014,2014-10-19,6,21.325,MIA,@,CHI,W 27-14,*,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,0,,0,0,0,,0,0,,,2,55,27.50,0,2,22,11.00,0,,0,0,0.0,0,0
7,2014,2014-10-26,7,21.332,MIA,@,JAX,W 27-13,*,3,3,23,7.67,0,100.0%,7.67,1,4,4.00,0,0,0,,0,0,0,,0,0,,,1,32,32.00,0,2,10,5.00,0,,0,0,0.0,0,0
8,2014,2014-11-02,8,21.339,MIA,,SDG,W 37-0,*,6,5,46,9.20,1,83.3%,7.67,0,0,,0,0,0,,0,0,0,,0,0,,,1,31,31.00,0,4,55,13.75,0,,1,6,0.0,0,0
9,2014,2014-11-09,9,21.346,MIA,@,DET,L 16-20,*,10,7,53,7.57,0,70.0%,5.30,1,-8,-8.00,0,0,0,,0,0,0,,0,0,,,2,77,38.50,0,1,5,5.00,0,,0,0,0.0,1,0
10,2014,2014-11-13,10,21.350,MIA,,BUF,W 22-9,,5,5,46,9.20,1,100.0%,9.20,0,0,,0,0,0,,0,0,0,,0,0,,,2,47,23.50,0,0,0,,0,,1,6,0.0,0,0
11,2014,2014-11-23,11,21.360,MIA,@,DEN,L 36-39,*,11,7,50,7.14,2,63.6%,4.55,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,17,17.00,0,,2,12,0.0,0,0
12,2014,2014-12-01,12,22.003,MIA,@,NYJ,W 16-13,*,11,8,68,8.50,0,72.7%,6.18,0,0,,0,0,0,,0,0,0,,0,0,,,2,40,20.00,0,0,0,,0,,0,0,0.0,0,0
13,2014,2014-12-07,13,22.009,MIA,,BAL,L 13-28,*,6,6,55,9.17,0,100.0%,9.17,0,0,,0,0,0,,0,0,0,,0,0,,,2,61,30.50,0,3,12,4.00,0,,0,0,0.0,0,0
14,2014,2014-12-14,14,22.016,MIA,@,NWE,L 13-41,*,11,8,99,12.38,0,72.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,26,26.00,0,1,32,32.00,0,,0,0,0.0,0,0
15,2014,2014-12-21,15,22.023,MIA,,MIN,W 37-35,*,9,8,31,3.88,0,88.9%,3.44,0,0,,0,0,0,,0,0,0,,0,0,,,3,45,15.00,0,2,0,0.00,0,,0,0,0.0,0,0
16,2014,2014-12-28,16,22.030,MIA,,NYJ,L 24-37,*,9,5,55,11.00,0,55.6%,6.11,0,0,,0,0,0,,0,0,0,,0,0,,,4,107,26.75,0,0,0,,0,,0,0,0.0,1,0
17,2015,2015-09-13,1,22.289,MIA,@,WAS,W 17-10,*,12,8,53,6.63,0,66.7%,4.42,1,14,14.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,74,37.00,1,,1,6,0.0,0,0
18,2015,2015-09-20,2,22.296,MIA,@,JAX,L 20-23,*,10,8,110,13.75,0,80.0%,11.00,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,25,8.33,0,,0,0,0.0,0,0
19,2015,2015-09-27,3,22.303,MIA,,BUF,L 14-41,*,13,8,67,8.38,0,61.5%,5.15,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,1,18,18.00,0,1,19,19.00,0,1,0,2,0.0,0,0
20,2015,2015-10-04,4,22.310,MIA,,NYJ,L 14-27,*,12,4,40,10.00,0,33.3%,3.33,2,29,14.50,0,0,0,,0,0,0,,0,0,,,5,122,24.40,0,3,67,22.33,0,,0,0,0.0,0,0
21,2015,2015-10-18,5,22.324,MIA,@,TEN,W 38-10,*,4,3,42,14.00,0,75.0%,10.50,2,24,12.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,6.00,0,,1,6,0.0,0,0
22,2015,2015-10-25,6,22.331,MIA,,HOU,W 44-26,*,5,5,83,16.60,2,100.0%,16.60,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,10,2.00,0,,2,12,0.0,0,0
23,2015,2015-10-29,7,22.335,MIA,@,NWE,L 7-36,*,8,6,71,11.83,0,75.0%,8.88,0,0,,0,0,0,,0,0,0,,0,0,,,2,68,34.00,0,4,9,2.25,0,,0,0,0.0,0,0
24,2015,2015-11-08,8,22.345,MIA,@,BUF,L 17-33,*,12,10,67,6.70,0,83.3%,5.58,5,20,4.00,0,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,1,14,14.00,0,2,18,9.00,0,,0,0,0.0,0,0
25,2015,2015-11-15,9,22.352,MIA,@,PHI,W 20-19,*,12,7,52,7.43,1,58.3%,4.33,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,9,3.00,0,,1,6,0.0,0,0
26,2015,2015-11-22,10,22.359,MIA,,DAL,L 14-24,,7,4,66,16.50,0,57.1%,9.43,0,0,,0,0,0,,0,0,0,,0,0,,,2,33,16.50,0,1,12,12.00,0,,0,0,0.0,0,0
27,2015,2015-11-29,11,23.001,MIA,@,NYJ,L 20-38,*,16,13,165,12.69,1,81.3%,10.31,1,4,4.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,3,3.00,0,,1,6,0.0,0,0
28,2015,2015-12-06,12,23.008,MIA,,BAL,W 15-13,*,5,2,5,2.50,0,40.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,0,0.00,0,,0,0,0.0,0,0
29,2015,2015-12-14,13,23.016,MIA,,NYG,L 24-31,*,18,11,99,9.00,0,61.1%,5.50,1,0,0.00,0,0,0,,0,0,0,,0,0,,,2,66,33.00,0,2,30,15.00,0,,0,0,0.0,0,0
30,2015,2015-12-20,14,23.022,MIA,@,SDG,L 14-30,,10,8,54,6.75,0,80.0%,5.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,16,5.33,0,,0,0,0.0,0,0
31,2015,2015-12-27,15,23.029,MIA,,IND,L 12-18,*,11,7,111,15.86,0,63.6%,10.09,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,15,15.00,0,,0,0,0.0,0,0
32,2015,2016-01-03,16,23.036,MIA,,NWE,W 20-10,*,11,6,72,12.00,0,54.5%,6.55,2,6,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,43,14.33,0,,0,0,0.0,0,0
33,2016,2016-09-11,1,23.288,MIA,@,SEA,L 10-12,*,10,7,59,8.43,0,70.0%,5.90,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,,0,0,0.0,0,0
34,2016,2016-09-18,2,23.295,MIA,@,NWE,L 24-31,*,13,10,135,13.50,0,76.9%,10.38,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
35,2016,2016-09-25,3,23.302,MIA,,CLE,W 30-24,*,12,7,120,17.14,1,58.3%,10.00,2,16,8.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,13,13.00,0,,1,6,0.0,0,0
36,2016,2016-09-29,4,23.306,MIA,@,CIN,L 7-22,*,10,7,61,8.71,0,70.0%,6.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
37,2016,2016-10-09,5,23.316,MIA,,TEN,L 17-30,*,3,3,28,9.33,0,100.0%,9.33,1,2,2.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
38,2016,2016-10-16,6,23.323,MIA,,PIT,W 30-15,*,9,7,91,13.00,0,77.8%,10.11,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
39,2016,2016-10-23,7,23.330,MIA,,BUF,W 28-25,*,8,5,78,15.60,0,62.5%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,17,8.50,0,1,0,2,0.0,0,0
40,2016,2016-11-06,8,23.344,MIA,,NYJ,W 27-23,*,6,3,33,11.00,0,50.0%,5.50,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,1,9,9.00,0,,0,0,0.0,0,0
41,2016,2016-11-13,9,23.351,MIA,@,SDG,W 31-24,*,6,6,53,8.83,0,100.0%,8.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
42,2016,2016-11-20,10,23.358,MIA,@,LAR,W 14-10,*,5,5,28,5.60,1,100.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,1,1.00,0,,1,6,0.0,0,0
43,2016,2016-11-27,11,23.365,MIA,,SFO,W 31-24,*,7,4,47,11.75,0,57.1%,6.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,7,3.50,0,,0,0,0.0,0,0
44,2016,2016-12-04,12,24.006,MIA,@,BAL,L 6-38,*,14,11,87,7.91,0,78.6%,6.21,1,-1,-1.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
45,2016,2016-12-11,13,24.013,MIA,,ARI,W 26-23,*,6,4,103,25.75,0,66.7%,17.17,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,52,13.00,0,,0,0,0.0,0,0
46,2016,2016-12-17,14,24.019,MIA,@,NYJ,W 34-13,*,4,3,108,36.00,1,75.0%,27.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
47,2016,2016-12-24,15,24.026,MIA,@,BUF,W 34-31,*,6,3,29,9.67,0,50.0%,4.83,1,0,0.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,25,12.50,0,,0,0,0.0,0,0
48,2016,2017-01-01,16,24.034,MIA,,NWE,L 14-35,*,12,9,76,8.44,1,75.0%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
49,2017,2017-09-17,1,24.293,MIA,@,LAC,W 19-17,*,15,13,78,6.00,0,86.7%,5.20,1,-7,-7.00,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,0,,0,0,0,,0,,0,0,0.0,0,0
50,2017,2017-09-24,2,24.300,MIA,@,NYJ,L 6-20,*,11,6,48,8.00,0,54.5%,4.36,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
51,2017,2017-10-01,3,24.307,MIA,,NOR,L 0-20,*,7,6,40,6.67,0,85.7%,5.71,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,9,4.50,0,,0,0,0.0,0,0
52,2017,2017-10-08,4,24.314,MIA,,TEN,W 16-10,*,10,5,44,8.80,1,50.0%,4.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,28,7.00,0,,1,6,0.0,0,0
53,2017,2017-10-15,5,24.321,MIA,@,ATL,W 20-17,*,14,8,62,7.75,1,57.1%,4.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
54,2017,2017-10-22,6,24.328,MIA,,NYJ,W 31-28,*,11,7,93,13.29,1,63.6%,8.45,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,16,16.00,0,,1,6,0.0,0,0
55,2017,2017-10-26,7,24.332,MIA,@,BAL,L 0-40,*,12,5,33,6.60,0,41.7%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,4,4.00,0,,0,0,0.0,0,0
