ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2014,2014-11-02,9,22.188,DAL,,ARI,L 17-28,,,0,0,0.0,1,1
2,2014,2014-11-09,10,22.195,DAL,@,JAX,W 31-17,,,0,0,0.0,2,0
3,2014,2014-11-23,11,22.209,DAL,@,NYG,W 31-28,,,0,0,0.0,2,0
4,2014,2014-11-27,12,22.213,DAL,,PHI,L 10-33,,,0,0,0.0,0,1
5,2014,2014-12-14,14,22.230,DAL,@,PHI,W 38-27,,,,,,,
6,2014,2014-12-21,15,22.237,DAL,,IND,W 42-7,,,0,0,0.0,0,1
7,2014,2014-12-28,16,22.244,DAL,@,WAS,W 44-17,,,0,0,0.0,1,0
8,2015,2015-09-13,1,23.138,DAL,,NYG,W 27-26,*,,0,0,0.0,0,3
9,2015,2015-09-20,2,23.145,DAL,@,PHI,W 20-10,*,,0,0,0.0,3,0
10,2015,2015-09-27,3,23.152,DAL,,ATL,L 28-39,*,,0,0,0.0,1,1
11,2015,2015-10-04,4,23.159,DAL,@,NOR,L 20-26,*,,0,0,1.0,3,2
12,2015,2015-10-11,5,23.166,DAL,,NWE,L 6-30,*,,0,0,0.0,0,1
13,2015,2015-10-25,6,23.180,DAL,@,NYG,L 20-27,*,,0,0,0.0,0,1
14,2015,2015-11-01,7,23.187,DAL,,SEA,L 12-13,,,0,0,0.0,5,2
15,2015,2015-11-08,8,23.194,DAL,,PHI,L 27-33,,,0,0,0.0,1,3
16,2015,2015-11-15,9,23.201,DAL,@,TAM,L 6-10,,,0,0,1.0,3,0
17,2015,2015-11-22,10,23.208,DAL,@,MIA,W 24-14,*,,0,0,1.0,1,0
18,2015,2015-11-26,11,23.212,DAL,,CAR,L 14-33,*,,0,0,0.0,0,2
19,2015,2015-12-07,12,23.223,DAL,@,WAS,W 19-16,*,,0,0,2.0,4,0
20,2015,2015-12-13,13,23.229,DAL,@,GNB,L 7-28,*,,0,0,1.0,4,1
21,2015,2015-12-19,14,23.235,DAL,,NYJ,L 16-19,*,,0,0,1.0,6,1
22,2015,2015-12-27,15,23.243,DAL,@,BUF,L 6-16,*,,0,0,1.0,2,1
23,2015,2016-01-03,16,23.250,DAL,,WAS,L 23-34,*,1,0,2,0.0,2,2
24,2016,2016-10-09,5,24.164,DAL,,CIN,W 28-14,,,0,0,0.0,0,0
25,2016,2016-10-16,6,24.171,DAL,@,GNB,W 30-16,,,0,0,0.0,0,0
26,2016,2016-10-30,7,24.185,DAL,,PHI,W 29-23,,,0,0,0.0,1,1
27,2016,2016-11-06,8,24.192,DAL,@,CLE,W 35-10,,,0,0,0.0,2,0
28,2016,2016-11-13,9,24.199,DAL,@,PIT,W 35-30,,,0,0,1.0,4,0
29,2016,2016-11-20,10,24.206,DAL,,BAL,W 27-17,*,,0,0,0.0,0,0
30,2016,2016-11-24,11,24.210,DAL,,WAS,W 31-26,*,,0,0,0.0,1,2
31,2016,2016-12-01,12,24.217,DAL,@,MIN,W 17-15,*,,0,0,0.0,0,0
32,2016,2016-12-11,13,24.227,DAL,@,NYG,L 7-10,,,0,0,0.0,0,0
33,2017,2017-09-10,1,25.135,DAL,,NYG,W 19-3,*,,0,0,1.5,3,2
34,2017,2017-09-17,2,25.142,DAL,@,DEN,L 17-42,*,,0,0,2.0,5,2
35,2017,2017-09-25,3,25.150,DAL,@,ARI,W 28-17,*,,0,0,3.0,5,0
36,2017,2017-10-01,4,25.156,DAL,,LAR,L 30-35,*,,0,0,1.0,3,1
37,2017,2017-10-08,5,25.163,DAL,,GNB,L 31-35,*,,0,0,1.0,1,2
38,2017,2017-10-22,6,25.177,DAL,@,SFO,W 40-10,*,,0,0,1.0,2,1
39,2017,2017-10-29,7,25.184,DAL,@,WAS,W 33-19,*,,0,0,1.0,1,1
40,2017,2017-11-05,8,25.191,DAL,,KAN,W 28-17,*,,0,0,0.0,0,2
41,2017,2017-11-12,9,25.198,DAL,@,ATL,L 7-27,*,,0,0,1.0,2,4
42,2017,2017-11-19,10,25.205,DAL,,PHI,L 9-37,*,,0,0,0.0,4,1
43,2017,2017-11-23,11,25.209,DAL,,LAC,L 6-28,*,,0,0,0.0,0,4
44,2017,2017-11-30,12,25.216,DAL,,WAS,W 38-14,*,,0,0,2.0,4,0
45,2017,2017-12-10,13,25.226,DAL,@,NYG,W 30-10,*,,0,0,0.0,3,1
46,2017,2017-12-17,14,25.233,DAL,@,OAK,W 20-17,*,,0,0,0.0,0,2
47,2017,2017-12-24,15,25.240,DAL,,SEA,L 12-21,*,,0,0,1.0,2,0
48,2017,2017-12-31,16,25.247,DAL,@,PHI,W 6-0,*,,0,0,0.0,0,0
49,2018,2018-09-09,1,26.134,DAL,@,CAR,L 8-16,*,,0,0,1.0,6,1
50,2018,2018-09-16,2,26.141,DAL,,NYG,W 20-13,*,,0,0,1.0,2,0
51,2018,2018-09-23,3,26.148,DAL,@,SEA,L 13-24,*,,0,0,0.5,1,2
