ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,24.337,SEA,@,PHI,W 38-0,,0,0,,0,6,48,8.00,0,0.0,0,0,0
2,1998,1998-09-13,2,24.344,SEA,,ARI,W 33-14,,,,,,,,,,,,,
3,1998,1998-09-20,3,24.351,SEA,,WAS,W 24-14,,,,,,,,,,,,,
4,1998,1998-09-27,4,24.358,SEA,@,PIT,L 10-13,,,,,,,,,,,,,
5,1998,1998-10-04,5,25.000,SEA,@,KAN,L 6-17,,0,0,,0,4,81,20.25,0,0.0,0,0,0
6,1998,1998-10-11,6,25.007,SEA,,DEN,L 16-21,,0,0,,0,1,7,7.00,0,0.0,0,0,0
7,1998,1998-10-25,7,25.021,SEA,@,SDG,W 27-20,,,,,,,,,,,,,
8,1998,1998-11-01,8,25.028,SEA,,OAK,L 18-31,,1,16,16.00,0,0,0,,0,0.0,0,0,0
9,1998,1998-11-08,9,25.035,SEA,,KAN,W 24-12,,0,0,,0,1,5,5.00,0,0.0,0,0,0
10,1998,1998-11-15,10,25.042,SEA,@,OAK,L 17-20,,,,,,,,,,,,,
11,1998,1998-11-22,11,25.049,SEA,@,DAL,L 22-30,,,,,,,,,,,,,
12,1998,1998-11-29,12,25.056,SEA,,TEN,W 20-18,,1,24,24.00,0,0,0,,0,0.0,0,0,0
13,1998,1998-12-06,13,25.063,SEA,@,NYJ,L 31-32,,,,,,,,,,,,,
14,1998,1998-12-13,14,25.070,SEA,,SDG,W 38-17,,,,,,,,,,,,,
15,1998,1998-12-20,15,25.077,SEA,,IND,W 27-23,,0,0,,0,1,9,9.00,0,0.0,0,0,0
16,1998,1998-12-27,16,25.084,SEA,@,DEN,L 21-28,,0,9,,0,2,32,16.00,0,0.0,0,0,0
17,1999,1999-09-12,1,25.343,SEA,,DET,L 20-28,,,,,,,,,,,,,
18,1999,1999-09-19,2,25.350,SEA,@,CHI,W 14-13,,1,24,24.00,0,0,0,,0,0.0,0,0,0
19,1999,1999-09-26,3,25.357,SEA,@,PIT,W 29-10,,,,,,,,,,,,,
20,1999,1999-10-03,4,25.364,SEA,,OAK,W 22-21,,1,20,20.00,0,0,0,,0,0.0,0,0,0
21,1999,1999-10-17,5,26.013,SEA,@,SDG,L 10-13,,,,,,,,,,,,,
