ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1993,1993-11-14,10,23.160,PHO,@,DAL,L 15-20,,,,,,,0.0%,,,,,
2,1994,1994-09-04,1,24.089,ARI,@,RAM,L 12-14,,,,,,,0.0%,,,,,
3,1994,1994-09-11,2,24.096,ARI,,NYG,L 17-20,,,,,,,0.0%,,,,,
4,1994,1994-09-18,3,24.103,ARI,@,CLE,L 0-32,,,,,,,0.0%,,,,,
5,1994,1994-10-02,4,24.117,ARI,,MIN,W 17-7,,,,,,,0.0%,,,,,
6,1994,1994-10-09,5,24.124,ARI,@,DAL,L 3-38,,,,,,,0.0%,,,,,
7,1994,1994-10-16,6,24.131,ARI,@,WAS,W 19-16,,,,,,,0.0%,,,,,
8,1994,1994-10-23,7,24.138,ARI,,DAL,L 21-28,,,,,,,0.0%,,,,,
9,1994,1994-10-30,8,24.145,ARI,,PIT,W 20-17,,,,,,,0.0%,,,,,
10,1994,1994-11-06,9,24.152,ARI,@,PHI,L 7-17,,,,,,,0.0%,,,,,
11,1994,1994-11-13,10,24.159,ARI,@,NYG,W 10-9,,,,,,,0.0%,,,,,
12,1994,1994-11-20,11,24.166,ARI,,PHI,W 12-6,,,,,,,0.0%,,,,,
13,1994,1994-11-27,12,24.173,ARI,,CHI,L 16-19,,7,6,47,7.83,0,85.7%,6.71,0,0,,0
14,1994,1994-12-04,13,24.180,ARI,@,HOU,W 30-12,,,,,,,0.0%,,,,,
15,1994,1994-12-11,14,24.187,ARI,,WAS,W 17-15,,5,3,20,6.67,0,60.0%,4.00,0,0,,0
16,1994,1994-12-18,15,24.194,ARI,,CIN,W 28-7,,2,1,10,10.00,0,50.0%,5.00,0,0,,0
17,1994,1994-12-24,16,24.200,ARI,@,ATL,L 6-10,,3,2,19,9.50,0,66.7%,6.33,0,0,,0
18,1995,1995-09-03,1,25.088,ARI,@,WAS,L 7-27,,,,,,,0.0%,,,,,
19,1995,1995-09-10,2,25.095,ARI,,PHI,L 19-31,,,,,,,0.0%,,,,,
20,1995,1995-09-17,3,25.102,ARI,@,DET,W 20-17,,,,,,,0.0%,,,,,
