ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1968,1968-09-22,2,21.364,NYG,@,PHI,W 34-25,10,38,3.80,1,3,68,22.67,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,4,4.00,0,1,6
2,1968,1968-09-29,3,22.005,NYG,,WAS,W 48-21,3,13,4.33,1,2,64,32.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
3,1968,1968-10-06,4,22.012,NYG,,NOR,W 38-21,9,11,1.22,1,3,40,13.33,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
4,1968,1968-10-13,5,22.019,NYG,@,ATL,L 21-24,8,42,5.25,0,2,48,24.00,0,1,1,100.00,19,0,0,118.7,0,0,19.00,19.00,1,6,6.00,0,1,1,1.00,0,0,0
5,1968,1968-10-20,6,22.026,NYG,,SFO,L 10-26,8,38,4.75,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,1,12,12.00,0,0,0
6,1968,1968-10-27,7,22.033,NYG,@,WAS,W 13-10,18,68,3.78,0,4,44,11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0
7,1968,1968-11-03,8,22.040,NYG,,BAL,L 0-26,8,36,4.50,0,3,12,4.00,0,0,0,,0,0,0,,0,0,,,4,81,20.25,0,0,0,,0,0,0
8,1968,1968-11-10,9,22.047,NYG,@,DAL,W 27-21,11,21,1.91,0,5,15,3.00,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,0,0,,0,0,0
9,1968,1968-11-17,10,22.054,NYG,,PHI,W 7-6,10,45,4.50,0,4,44,11.00,1,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6
10,1968,1968-11-24,11,22.061,NYG,@,RAM,L 21-24,8,20,2.50,0,2,-3,-1.50,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,9,9.00,0,0,0
11,1968,1968-12-01,12,22.068,NYG,@,CLE,L 10-45,5,20,4.00,0,3,29,9.67,0,1,1,100.00,5,0,0,87.5,0,0,5.00,5.00,4,55,13.75,0,0,0,,0,0,0
