ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td
1,1954,1954-09-26,1,22.051,GNB,,PIT,L 20-21,1,-3,-3.00,0,0,0,,0
2,1954,1954-10-03,2,22.058,GNB,,CHI,L 3-10,1,0,0.00,0,0,0,,0
3,1954,1954-10-10,3,22.065,GNB,,SFO,L 17-23,0,0,,0,3,49,16.33,1
4,1954,1954-10-17,4,22.072,GNB,,RAM,W 35-17,1,2,2.00,0,4,57,14.25,1
5,1954,1954-10-24,5,22.079,GNB,@,BAL,W 7-6,2,5,2.50,0,4,-1,-0.25,0
6,1954,1954-10-30,6,22.085,GNB,@,PHI,W 37-14,3,-8,-2.67,0,1,8,8.00,0
7,1954,1954-11-07,7,22.093,GNB,@,CHI,L 23-28,5,56,11.20,0,2,21,10.50,0
8,1954,1954-11-21,9,22.107,GNB,,DET,L 17-21,0,0,,0,2,26,13.00,0
9,1954,1954-12-05,11,22.121,GNB,@,SFO,L 0-35,0,0,,0,1,6,6.00,0
10,1954,1954-12-12,12,22.128,GNB,@,RAM,L 27-35,2,7,3.50,0,0,0,,0
11,1955,1955-09-25,1,23.050,GNB,,DET,W 20-17,1,1,1.00,0,2,36,18.00,0
12,1955,1955-10-02,2,23.057,GNB,,CHI,W 24-3,0,0,,0,1,4,4.00,0
13,1955,1955-10-08,3,23.063,GNB,,BAL,L 20-24,3,14,4.67,0,4,30,7.50,0
14,1955,1955-10-16,4,23.071,GNB,,RAM,W 30-28,0,0,,0,2,14,7.00,1
15,1955,1955-10-23,5,23.078,GNB,@,CLE,L 10-41,1,38,38.00,0,2,9,4.50,0
16,1955,1955-10-29,6,23.084,GNB,@,BAL,L 10-14,11,48,4.36,0,2,-3,-1.50,0
17,1955,1955-12-04,11,23.120,GNB,@,SFO,W 28-7,0,0,,0,1,13,13.00,0
