ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,def_int,def_int_yds,def_int_td
1,1962,1962-09-16,1,30.043,CLE,,NYG,W 17-7,0,0,,0,1,18,0
2,1962,1962-11-04,8,30.092,CLE,,PHI,T 14-14,0,0,,0,1,22,0
3,1962,1962-11-11,9,30.099,CLE,@,WAS,L 9-17,0,0,,0,1,0,0
4,1963,1963-09-15,1,31.042,CLE,,WAS,W 37-14,0,0,,0,1,17,0
5,1963,1963-09-29,3,31.056,CLE,,RAM,W 20-6,0,0,,0,1,0,0
6,1963,1963-10-20,6,31.077,CLE,,PHI,W 37-7,0,0,,0,2,47,0
7,1963,1963-11-10,9,31.098,CLE,@,PIT,L 7-9,0,0,,0,1,14,0
8,1963,1963-12-08,13,31.126,CLE,@,DET,L 10-38,0,0,,0,1,15,0
9,1963,1963-12-15,14,31.133,CLE,@,WAS,W 27-20,0,0,,0,1,25,0
10,1964,1964-10-18,6,32.075,CLE,@,DAL,W 20-16,0,0,,0,1,20,0
11,1964,1964-12-12,14,32.130,CLE,@,NYG,W 52-20,0,0,,0,1,1,0
12,1965,1965-11-21,10,33.109,CLE,@,DAL,W 24-17,0,0,,0,1,0,0
13,1965,1965-12-05,12,33.123,CLE,,WAS,W 24-16,0,0,,0,1,23,0
14,1965,1965-12-19,14,33.137,CLE,@,STL,W 27-24,0,0,,0,1,10,0
15,1966,1966-10-08,5,34.065,CLE,,PIT,W 41-10,1,-7,-7.00,0,0,0,0
16,1966,1966-11-20,10,34.108,CLE,,WAS,W 14-3,0,0,,0,1,0,0
17,1967,1967-09-17,1,35.044,NYG,@,STL,W 37-20,0,0,,0,1,18,0
18,1967,1967-10-29,7,35.086,NYG,,CLE,W 38-34,0,0,,0,1,26,0
19,1967,1967-11-26,11,35.114,NYG,,PHI,W 44-7,0,0,,0,1,10,0
20,1967,1967-12-10,13,35.128,NYG,,DET,L 7-30,0,0,,0,1,0,0
