ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1998,1998-09-06,1,22.319,PHI,,SEA,L 0-38,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,0,0,,0,0,0,0.0,,,0,0,0
2,1998,1998-09-13,2,22.326,PHI,@,ATL,L 12-17,,0,0,,0,0,0,0,,0,0.0%,,4,90,22.50,0,1,16,16.00,0,0,0,0.0,,,0,0,0
3,1998,1998-09-20,3,22.333,PHI,@,ARI,L 3-17,,0,0,,0,0,0,0,,0,0.0%,,2,57,28.50,0,1,7,7.00,0,0,0,0.0,,,0,0,0
4,1998,1998-09-27,4,22.340,PHI,,KAN,L 21-24,,0,0,,0,0,0,0,,0,0.0%,,3,55,18.33,0,1,3,3.00,0,0,0,0.0,,,0,0,0
5,1998,1998-10-04,5,22.347,PHI,@,DEN,L 16-41,,0,0,,0,0,0,0,,0,0.0%,,2,29,14.50,0,0,0,,0,0,0,0.0,,,0,0,0
6,1998,1998-10-18,7,22.361,PHI,@,SDG,L 10-13,,0,0,,0,0,0,0,,0,0.0%,,3,81,27.00,0,2,24,12.00,0,0,0,0.0,,,0,0,0
7,1998,1998-11-02,8,23.011,PHI,,DAL,L 0-34,,0,0,,0,0,0,0,,0,0.0%,,5,104,20.80,0,3,17,5.67,0,0,0,0.0,,,0,0,0
8,1998,1998-11-08,9,23.017,PHI,,DET,W 10-9,,0,0,,0,0,0,0,,0,0.0%,,3,74,24.67,0,4,28,7.00,0,0,0,0.0,,,0,0,0
9,1998,1998-11-15,10,23.024,PHI,@,WAS,L 3-28,,0,0,,0,0,0,0,,0,0.0%,,4,124,31.00,0,2,27,13.50,0,0,0,0.0,,,0,0,0
10,1998,1998-11-22,11,23.031,PHI,@,NYG,L 0-20,,0,0,,0,0,0,0,,0,0.0%,,2,43,21.50,0,3,18,6.00,0,0,0,0.0,,,0,0,0
11,1998,1998-11-29,12,23.038,PHI,@,GNB,L 16-24,,0,0,,0,0,0,0,,0,0.0%,,5,120,24.00,0,0,0,,0,0,0,0.0,,,0,0,0
12,1998,1998-12-03,13,23.042,PHI,,STL,W 17-14,,0,0,,0,0,0,0,,0,0.0%,,2,50,25.00,0,1,3,3.00,0,0,0,0.0,,,0,0,0
13,1998,1998-12-13,14,23.052,PHI,,ARI,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,3,75,25.00,0,0,0,,0,0,0,0.0,,,0,0,0
14,1998,1998-12-20,15,23.059,PHI,@,DAL,L 9-13,,0,0,,0,0,0,0,,0,0.0%,,2,45,22.50,0,0,0,,0,0,0,1.0,,,0,0,0
15,1998,1998-12-27,16,23.066,PHI,,NYG,L 10-20,,0,0,,0,0,0,0,,0,0.0%,,3,112,37.33,0,4,44,11.00,0,0,0,0.0,,,0,0,0
16,1999,1999-09-12,1,23.325,PHI,,ARI,L 24-25,,0,0,,0,0,0,0,,0,0.0%,,4,95,23.75,0,1,2,2.00,0,0,0,0.0,,,0,0,0
17,1999,1999-09-19,2,23.332,PHI,,TAM,L 5-19,,0,0,,0,0,0,0,,0,0.0%,,3,48,16.00,0,2,9,4.50,0,0,0,0.0,,,0,0,0
18,1999,1999-09-26,3,23.339,PHI,@,BUF,L 0-26,,0,0,,0,0,0,0,,0,0.0%,,3,56,18.67,0,0,0,,0,0,0,0.0,,,0,0,0
19,1999,1999-10-03,4,23.346,PHI,@,NYG,L 15-16,,0,0,,0,0,0,0,,0,0.0%,,3,71,23.67,0,1,8,8.00,0,0,0,0.0,,,0,0,0
20,1999,1999-10-10,5,23.353,PHI,,DAL,W 13-10,,0,0,,0,0,0,0,,0,0.0%,,2,41,20.50,0,1,13,13.00,0,0,0,0.0,,,0,0,0
21,1999,1999-10-17,6,23.360,PHI,@,CHI,W 20-16,,0,0,,0,0,0,0,,0,0.0%,,3,122,40.67,0,2,17,8.50,0,0,0,0.0,,,0,0,0
22,1999,1999-10-24,7,24.002,PHI,@,MIA,L 13-16,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,2,54,27.00,0,0,0,0.0,,,0,0,0
23,1999,1999-10-31,8,24.009,PHI,,NYG,L 17-23,,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,4,38,9.50,0,0,0,0.0,,,0,0,0
24,1999,1999-11-07,9,24.016,PHI,@,CAR,L 7-33,,0,0,,0,0,0,0,,0,0.0%,,5,88,17.60,0,2,1,0.50,0,0,0,0.0,,,0,0,0
25,1999,1999-11-14,10,24.023,PHI,,WAS,W 35-28,,0,0,,0,0,0,0,,0,0.0%,,5,222,44.40,1,0,0,,0,1,6,0.0,,,0,0,0
26,1999,1999-11-21,11,24.030,PHI,,IND,L 17-44,,0,0,,0,0,0,0,,0,0.0%,,8,192,24.00,0,1,8,8.00,0,0,0,0.0,,,0,0,0
27,1999,1999-11-28,12,24.037,PHI,@,WAS,L 17-20,,0,0,,0,0,0,0,,0,0.0%,,3,68,22.67,0,1,3,3.00,0,0,0,0.0,,,0,0,0
28,1999,1999-12-05,13,24.044,PHI,@,ARI,L 17-21,,0,0,,0,0,0,0,,0,0.0%,,3,61,20.33,0,2,18,9.00,0,0,0,0.0,,,0,0,0
29,1999,1999-12-12,14,24.051,PHI,@,DAL,L 10-20,,0,0,,0,0,0,0,,0,0.0%,,3,48,16.00,0,2,10,5.00,0,0,0,0.0,,,0,0,0
30,1999,1999-12-19,15,24.058,PHI,,NWE,W 24-9,,0,0,,0,0,0,0,,0,0.0%,,3,61,20.33,0,4,44,11.00,0,0,0,0.0,,,0,0,0
31,1999,2000-01-02,16,24.072,PHI,,STL,W 38-31,,0,0,,0,0,0,0,,0,0.0%,,5,153,30.60,0,3,25,8.33,0,0,0,0.0,,,0,0,0
32,2000,2000-09-03,1,24.317,GNB,,NYJ,L 16-20,,0,0,,0,0,0,0,,0,0.0%,,3,77,25.67,0,1,43,43.00,0,0,0,0.0,,,0,0,0
33,2000,2000-09-10,2,24.324,GNB,@,BUF,L 18-27,,0,0,,0,0,0,0,,0,0.0%,,4,94,23.50,0,1,5,5.00,0,0,0,0.0,,,0,0,0
34,2000,2000-09-17,3,24.331,GNB,,PHI,W 6-3,,0,0,,0,0,0,0,,0,0.0%,,1,24,24.00,0,5,45,9.00,0,0,0,0.0,,,0,0,0
35,2000,2000-09-24,4,24.338,GNB,@,ARI,W 29-3,,0,0,,0,0,0,0,,0,0.0%,,2,39,19.50,0,3,19,6.33,0,0,0,0.0,,,0,0,0
36,2000,2000-10-01,5,24.345,GNB,,CHI,L 24-27,,0,0,,0,0,0,0,,0,0.0%,,5,136,27.20,0,2,10,5.00,0,0,0,0.0,,,0,0,0
37,2000,2000-10-08,6,24.352,GNB,@,DET,L 24-31,,0,0,,0,0,0,0,,0,0.0%,,1,19,19.00,0,1,-9,-9.00,0,0,0,0.0,,,0,0,0
38,2000,2000-10-15,7,24.359,GNB,,SFO,W 31-28,,0,0,,0,0,0,0,,0,0.0%,,5,129,25.80,0,0,0,,0,0,0,0.0,,,0,0,0
