ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1972,1972-11-05,8,22.153,NYJ,,WAS,L 17-35,,,,,,,,,,,,
2,1972,1972-11-12,9,22.160,NYJ,,BUF,W 41-3,6,14,2.33,0,1,35,35.00,0,0,0,,0
3,1972,1972-11-19,10,22.167,NYJ,@,MIA,L 24-28,1,-2,-2.00,0,0,0,,0,1,26,26.00,0
4,1972,1972-11-23,11,22.171,NYJ,@,DET,L 20-37,1,2,2.00,0,0,0,,0,3,55,18.33,0
5,1972,1972-12-03,12,22.181,NYJ,,NOR,W 18-17,0,0,,0,0,0,,0,1,21,21.00,0
6,1972,1972-12-11,13,22.189,NYJ,@,OAK,L 16-24,0,0,,0,0,0,,0,2,48,24.00,0
7,1972,1972-12-17,14,22.195,NYJ,,CLE,L 10-26,7,28,4.00,0,3,19,6.33,0,0,0,,0
8,1973,1973-09-30,3,23.117,NYJ,@,BUF,L 7-9,,,,,,,,,,,,
9,1973,1973-10-07,4,23.124,NYJ,@,MIA,L 3-31,5,24,4.80,0,0,0,,0,2,41,20.50,0
10,1973,1973-10-14,5,23.131,NYJ,@,NWE,W 9-7,1,1,1.00,0,0,0,,0,1,14,14.00,0
11,1973,1973-10-21,6,23.138,NYJ,@,PIT,L 14-26,13,32,2.46,0,2,15,7.50,0,2,45,22.50,0
12,1973,1973-11-11,9,23.159,NYJ,,NWE,W 33-13,,,,,,,,,,,,
13,1973,1973-11-18,10,23.166,NYJ,@,CIN,L 14-20,0,0,,0,0,0,,0,3,56,18.67,0
14,1973,1973-11-25,11,23.173,NYJ,,ATL,L 20-28,,,,,,,,,,,,
15,1973,1973-12-02,12,23.180,NYJ,,BAL,W 20-17,0,0,,0,0,0,,0,1,19,19.00,0
16,1973,1973-12-09,13,23.187,NYJ,@,PHI,L 23-24,2,14,7.00,0,0,0,,0,0,0,,0
17,1973,1973-12-16,14,23.194,NYJ,,BUF,L 14-34,1,1,1.00,0,0,0,,0,0,0,,0
18,1974,1974-09-15,1,24.102,NYJ,@,KAN,L 16-24,,,,,,,,,,,,
19,1974,1974-09-22,2,24.109,NYJ,@,CHI,W 23-21,0,0,,0,0,0,,0,1,28,28.00,0
20,1974,1974-09-29,3,24.116,NYJ,@,BUF,L 12-16,,,,,,,,,,,,
21,1974,1974-10-07,4,24.124,NYJ,@,MIA,L 17-21,,,,,,,,,,,,
22,1974,1974-10-13,5,24.130,NYJ,,NWE,L 0-24,,,,,,,,,,,,
23,1974,1974-10-20,6,24.137,NYJ,,BAL,L 20-35,,,,,,,,,,,,
24,1974,1974-10-27,7,24.144,NYJ,,RAM,L 13-20,,,,,,,,,,,,
25,1974,1974-11-03,8,24.151,NYJ,,HOU,L 22-27,0,0,,0,0,0,,0,1,17,17.00,0
26,1974,1974-11-10,9,24.158,NYJ,@,NYG,W 26-20,7,22,3.14,0,1,7,7.00,0,0,0,,0
27,1974,1974-11-17,10,24.165,NYJ,@,NWE,W 21-16,,,,,,,,,,,,
28,1974,1974-11-24,11,24.172,NYJ,,MIA,W 17-14,1,0,0.00,0,0,0,,0,0,0,,0
29,1974,1974-12-01,12,24.179,NYJ,,SDG,W 27-14,1,-6,-6.00,0,0,0,,0,2,28,14.00,0
30,1974,1974-12-08,13,24.186,NYJ,,BUF,W 20-10,14,41,2.93,0,1,8,8.00,0,0,0,,0
