ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1982,1982-09-12,1,25.119,NOR,,STL,L 7-21,0,0,,0,,,,,,,,,
2,1982,1982-09-19,2,25.126,NOR,@,CHI,W 10-0,0,0,,0,,,,,,,,,
3,1982,1982-11-21,3,25.189,NOR,,KAN,W 27-17,0,0,,0,0,0,,0,0,0,1,26,0
4,1982,1982-11-28,4,25.196,NOR,@,SFO,W 23-20,0,0,,0,,,,,,,,,
5,1982,1982-12-05,5,25.203,NOR,,TAM,L 10-13,0,0,,0,,,,,,,,,
6,1982,1982-12-12,6,25.210,NOR,@,ATL,L 0-35,0,0,,0,,,,,,,,,
7,1982,1982-12-19,7,25.217,NOR,@,DAL,L 7-21,0,0,,0,,,,,,,,,
8,1982,1982-12-26,8,25.224,NOR,,WAS,L 10-27,0,0,,0,,,,,,,,,
9,1982,1983-01-02,9,25.231,NOR,,ATL,W 35-6,1,39,39.00,1,0,0,,0,1,6,0,0,0
10,1983,1983-09-04,1,26.111,NOR,,STL,W 28-17,,,,,,,,,,,,,
11,1983,1983-09-11,2,26.118,NOR,@,RAM,L 27-30,,,,,,,,,,,,,
12,1983,1983-09-18,3,26.125,NOR,,CHI,W 34-31,,,,,,,,,,,,,
13,1983,1983-09-25,4,26.132,NOR,@,DAL,L 20-21,,,,,,,,,,,,,
14,1983,1983-10-16,7,26.153,BUF,@,BAL,W 30-7,,,,,0,0,,0,,,,,
15,1983,1983-10-23,8,26.160,BUF,,NWE,L 0-31,,,,,0,0,,0,,,,,
16,1983,1983-10-30,9,26.167,BUF,,NOR,W 27-21,,,,,0,0,,0,,,,,
17,1983,1983-11-06,10,26.174,BUF,@,NWE,L 7-21,,,,,0,0,,0,,,,,
18,1983,1983-11-13,11,26.181,BUF,@,NYJ,W 24-17,,,,,0,0,,0,,,,,
19,1983,1983-11-20,12,26.188,BUF,,RAI,L 24-27,,,,,0,0,,0,,,,,
20,1983,1983-11-27,13,26.195,BUF,@,RAM,L 17-41,,,,,0,0,,0,,,,,
21,1983,1983-12-04,14,26.202,BUF,@,KAN,W 14-9,0,0,,0,1,0,0.00,0,0,0,0,0,0
22,1983,1983-12-11,15,26.209,BUF,,SFO,L 10-23,,,,,0,0,,0,,,,,
23,1983,1983-12-18,16,26.216,BUF,@,ATL,L 14-31,,,,,0,0,,0,,,,,
