ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs
1,2013,2013-09-22,3,21.362,SEA,,JAX,W 45-17,
2,2013,2013-09-29,4,22.004,SEA,@,HOU,W 23-20,*
3,2013,2013-10-06,5,22.011,SEA,@,IND,L 28-34,*
4,2013,2013-10-13,6,22.018,SEA,,TEN,W 20-13,*
5,2013,2013-10-17,7,22.022,SEA,@,ARI,W 34-22,*
6,2013,2013-10-28,8,22.033,SEA,@,STL,W 14-9,*
7,2013,2013-11-03,9,22.039,SEA,,TAM,W 27-24,*
8,2013,2013-11-10,10,22.046,SEA,@,ATL,W 33-10,*
9,2013,2013-12-22,15,22.088,SEA,,ARI,L 10-17,*
