ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2000,2000-09-17,3,23.245,ATL,@,CAR,W 15-10,,,,,,,,,,,,,,,
2,2000,2000-09-24,4,23.252,ATL,,STL,L 20-41,,,,,,,,,,,,,,,
3,2000,2000-10-01,5,23.259,ATL,@,PHI,L 10-38,,,,,,,,,,,,,,,
4,2000,2000-10-08,6,23.266,ATL,,NYG,L 6-13,,,,,,,,,,,,,,,
5,2000,2000-10-15,7,23.273,ATL,@,STL,L 29-45,*,,,,,,,0,0,0.5,,,0,0,0
6,2000,2000-10-22,8,23.280,ATL,,NOR,L 19-21,*,,,,,,,,,,,,,,
7,2000,2000-10-29,9,23.287,ATL,,CAR,W 13-12,,,,,,,,,,,,,,,
8,2000,2000-11-05,10,23.294,ATL,,TAM,L 14-27,,,,,,,,,,,,,,,
9,2000,2000-11-12,11,23.301,ATL,@,DET,L 10-13,,,,,,,,,,,,,,,
10,2000,2000-11-19,12,23.308,ATL,@,SFO,L 6-16,,,,,,,,,,,,,,,
11,2000,2000-11-26,13,23.315,ATL,@,OAK,L 14-41,,,,,,,,,,,,,,,
12,2000,2000-12-03,14,23.322,ATL,,SEA,L 10-30,,,,,,,,,,,,,,,
13,2000,2000-12-17,15,23.336,ATL,@,NOR,L 7-23,*,,,,,,,,,,,,,,
14,2000,2000-12-24,16,23.343,ATL,,KAN,W 29-13,,,,,,,,,,,,,,,
15,2001,2001-09-09,1,24.236,ATL,@,SFO,L 13-16,,,,,,,,,,,,,,,
16,2001,2001-09-23,2,24.250,ATL,,CAR,W 24-16,,,,,,,,,,,,,,,
17,2001,2001-09-30,3,24.257,ATL,@,ARI,W 34-14,,,,,,,,,,,,,,,
18,2001,2001-10-07,4,24.264,ATL,,CHI,L 3-31,*,,,,,,,,,,,,,,
19,2001,2001-10-14,5,24.271,ATL,,SFO,L 31-37,*,,,,,,,,,,,,,,
20,2001,2001-10-21,6,24.278,ATL,@,NOR,W 20-13,*,,,,,,,,,,,,,,
21,2001,2001-11-04,7,24.292,ATL,,NWE,L 10-24,,,,,,,,,,,,,,,
22,2001,2001-11-11,8,24.299,ATL,,DAL,W 20-13,,,,,,,,,,,,,,,
23,2001,2001-11-18,9,24.306,ATL,@,GNB,W 23-20,,,,,,,,,,,,,,,
24,2001,2001-11-25,10,24.313,ATL,@,CAR,W 10-7,,,,,,,,,,,,,,,
25,2001,2001-12-02,11,24.320,ATL,,STL,L 6-35,*,,,,,,,,,,,,,,
26,2001,2001-12-09,12,24.327,ATL,,NOR,L 10-28,*,,,,,,,,,,,,,,
27,2001,2001-12-16,13,24.334,ATL,@,IND,L 27-41,,,,,,,,,,,,,,,
28,2001,2001-12-23,14,24.341,ATL,,BUF,W 33-30,,,,,,,,,,,,,,,
29,2001,2001-12-30,15,24.348,ATL,@,MIA,L 14-21,,,,,,,,,,,,,,,
30,2001,2002-01-06,16,24.355,ATL,@,STL,L 13-31,,,,,,,,,,,,,,,
31,2002,2002-09-15,2,25.242,ATL,,CHI,L 13-14,,,,,,,,,,,,,,,
32,2002,2002-09-22,3,25.249,ATL,,CIN,W 30-3,,,,,,,,,,,,,,,
33,2002,2002-10-06,4,25.263,ATL,,TAM,L 6-20,,,,,,,,,,,,,,,
34,2002,2002-10-13,5,25.270,ATL,@,NYG,W 17-10,,,,,,,,,,,,,,,
35,2002,2002-10-20,6,25.277,ATL,,CAR,W 30-0,,,,,,,,,,,,,,,
