ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1962,1962-09-16,1,23.323,MIN,@,GNB,L 7-34,1,10,10.00,0,0,0,,0,0,0,0,0,0
2,1962,1962-09-23,2,23.330,MIN,,BAL,L 7-34,3,52,17.33,0,0,0,,0,0,0,0,0,0
3,1962,1962-10-07,4,23.344,MIN,,CHI,L 0-13,3,74,24.67,0,0,0,,0,0,0,0,0,0
4,1962,1962-10-14,5,23.351,MIN,,GNB,L 21-48,1,19,19.00,1,0,0,,0,1,6,0,0,0
5,1962,1962-10-21,6,23.358,MIN,@,RAM,W 38-14,1,8,8.00,0,0,0,,0,0,0,0,0,0
6,1962,1962-10-28,7,24.000,MIN,,PHI,W 31-21,0,0,,0,1,12,12.00,0,0,0,0,0,0
7,1962,1962-11-04,8,24.007,MIN,@,PIT,L 31-39,2,46,23.00,0,0,0,,0,0,0,0,0,0
8,1962,1962-11-18,10,24.021,MIN,,DET,L 6-17,1,18,18.00,0,0,0,,0,0,0,0,0,0
9,1965,1965-10-31,7,27.003,BAL,@,SFO,W 34-28,0,0,,0,0,0,,0,0,0,1,0,0
10,1966,1966-09-10,1,27.317,BAL,@,GNB,L 3-24,0,0,,0,0,0,,0,0,0,1,8,0
11,1968,1968-11-10,9,30.013,NOR,@,CLE,L 17-35,0,0,,0,1,22,22.00,0,0,0,0,0,0
