ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1992,1992-10-18,6,23.352,NYG,@,RAM,L 17-38,,2,4,50.00,39,0,1,44.8,0,0,9.75,-1.50,0,0,,0,,0,0,,0,0.0%,,0,0
2,1992,1992-11-15,10,24.014,NYG,@,DEN,L 13-27,,2,2,100.00,12,0,0,91.7,0,0,6.00,6.00,0,0,,0,,0,0,,0,0.0%,,0,0
3,1992,1992-11-22,11,24.021,NYG,,PHI,L 34-47,,11,26,42.31,141,1,1,56.7,3,17,5.42,4.46,1,15,15.00,0,,0,0,,0,0.0%,,0,0
4,1992,1992-11-26,12,24.025,NYG,@,DAL,L 3-30,*,12,28,42.86,151,0,0,60.3,1,14,5.39,5.39,2,4,2.00,0,,0,0,,0,0.0%,,0,0
5,1992,1992-12-06,13,24.035,NYG,,WAS,L 10-28,*,8,16,50.00,73,0,0,62.8,2,13,4.56,4.56,3,17,5.67,0,,0,0,,0,0.0%,,0,0
6,1992,1992-12-12,14,24.041,NYG,@,PHO,L 0-19,*,7,21,33.33,54,0,2,2.8,1,5,2.57,-1.71,0,0,,0,,0,0,,0,0.0%,,0,0
7,1993,1993-09-05,1,24.308,NYG,@,CHI,W 26-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
8,1993,1993-09-12,2,24.315,NYG,,TAM,W 23-7,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
9,1993,1993-09-19,3,24.322,NYG,,RAM,W 20-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
10,1993,1993-10-03,4,24.336,NYG,@,BUF,L 14-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
11,1993,1993-10-10,5,24.343,NYG,@,WAS,W 41-7,,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,2,-3,-1.50,0,,0,0,,0,0.0%,,0,0
12,1993,1993-10-17,6,24.350,NYG,,PHI,W 21-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
13,1993,1993-10-31,7,24.364,NYG,,NYJ,L 6-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
14,1993,1993-11-07,8,25.006,NYG,@,DAL,L 9-31,,6,15,40.00,59,0,0,51.8,2,19,3.93,3.93,0,0,,0,,0,0,,0,0.0%,,0,0
15,1993,1993-12-26,15,25.055,NYG,@,PHO,L 6-17,,2,6,33.33,20,0,0,43.7,1,9,3.33,3.33,0,0,,0,,0,0,,0,0.0%,,0,0
16,1994,1994-10-02,4,25.335,NYG,@,NOR,L 22-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
17,1994,1994-10-10,5,25.343,NYG,,MIN,L 10-27,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
18,1994,1994-10-16,6,25.349,NYG,@,RAM,L 10-17,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
19,1994,1994-10-23,7,25.356,NYG,,PIT,L 6-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
20,1994,1994-10-30,8,25.363,NYG,,DET,L 25-28,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
21,1994,1994-11-07,9,26.006,NYG,@,DAL,L 10-38,,9,14,64.29,98,1,1,78.9,1,11,7.00,5.21,0,0,,0,0,0,0,,0,0.0%,,0,0
22,1994,1994-11-13,10,26.012,NYG,,ARI,L 9-10,*,9,26,34.62,92,1,1,42.5,1,11,3.54,2.58,1,2,2.00,0,1,0,0,,0,0.0%,0.00,0,0
23,1994,1994-11-21,11,26.020,NYG,@,HOU,W 13-10,,6,13,46.15,105,1,0,99.8,0,0,8.08,9.62,1,9,9.00,0,0,0,0,,0,0.0%,,0,0
24,1994,1994-11-27,12,26.026,NYG,@,WAS,W 21-19,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
25,1994,1994-12-04,13,26.033,NYG,@,CLE,W 16-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
26,1994,1994-12-11,14,26.040,NYG,,CIN,W 27-20,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
27,1994,1994-12-18,15,26.047,NYG,@,PHI,W 16-13,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
28,1994,1994-12-24,16,26.053,NYG,,DAL,W 15-10,,0,0,,0,0,0,,0,,,,0,0,,0,,,,,,0.0%,,,
29,1996,1996-09-08,2,27.312,ARI,,MIA,L 10-38,,13,19,68.42,133,1,2,66.2,2,0,7.00,3.32,0,0,,0,0,0,0,,0,0.0%,,0,0
30,1996,1996-09-15,3,27.319,ARI,@,NWE,L 0-31,,9,19,47.37,111,0,1,44.0,1,0,5.84,3.47,1,2,2.00,0,0,0,0,,0,0.0%,,0,0
31,1996,1996-09-22,4,27.326,ARI,@,NOR,W 28-14,*,11,25,44.00,165,1,0,79.6,1,0,6.60,7.40,6,2,0.33,0,0,0,0,,0,0.0%,,0,0
32,1996,1996-09-29,5,27.333,ARI,,STL,W 31-28,*,37,58,63.79,366,4,0,104.5,4,0,6.31,7.69,2,20,10.00,0,0,0,0,,0,0.0%,,0,0
33,1996,1996-10-13,6,27.347,ARI,@,DAL,L 3-17,*,16,31,51.61,141,0,1,50.6,3,0,4.55,3.10,3,13,4.33,0,0,0,0,,0,0.0%,,0,0
34,1996,1996-10-20,7,27.354,ARI,,TAM,W 13-9,*,17,26,65.38,146,1,0,92.8,3,0,5.62,6.38,5,40,8.00,0,0,0,0,,0,0.0%,,0,0
35,1996,1996-10-27,8,27.361,ARI,,NYJ,L 21-31,*,17,32,53.13,255,3,1,97.8,1,0,7.97,8.44,1,8,8.00,0,0,0,0,,0,0.0%,,0,0
36,1996,1996-11-03,9,28.002,ARI,@,NYG,L 8-16,*,2,3,66.67,29,0,0,97.9,0,0,9.67,9.67,0,0,,0,0,0,0,,0,0.0%,,0,0
37,1996,1996-12-15,15,28.044,ARI,,WAS,W 27-26,*,20,46,43.48,232,2,1,64.8,1,0,5.04,4.93,3,2,0.67,0,0,0,0,,0,0.0%,,0,0
38,1996,1996-12-22,16,28.051,ARI,@,PHI,L 19-29,*,4,15,26.67,46,0,1,12.1,3,0,3.07,0.07,0,0,,0,0,0,0,,0,0.0%,,0,0
39,1997,1997-08-31,1,28.303,ARI,@,CIN,L 21-24,*,20,36,55.56,248,0,1,65.5,0,0,6.89,5.64,1,2,2.00,0,0,0,0,,0,0.0%,,0,0
40,1997,1997-09-07,2,28.310,ARI,,DAL,W 25-22,*,26,47,55.32,249,2,0,84.4,3,0,5.30,6.15,3,7,2.33,0,0,0,0,,0,0.0%,,0,0
41,1997,1997-09-14,3,28.317,ARI,@,WAS,L 13-19,*,17,40,42.50,132,0,0,51.2,2,0,3.30,3.30,2,9,4.50,0,0,0,0,,0,0.0%,,0,0
42,1997,1997-09-28,4,28.331,ARI,@,TAM,L 18-19,*,31,52,59.62,339,1,2,69.3,6,0,6.52,5.17,1,2,2.00,0,0,0,0,,0,0.0%,,0,0
43,1997,1997-10-05,5,28.338,ARI,,MIN,L 19-20,*,22,38,57.89,293,1,0,91.2,3,0,7.71,8.24,0,0,,0,0,0,0,,0,0.0%,,0,0
44,1997,1997-10-12,6,28.345,ARI,,NYG,L 13-27,*,4,14,28.57,40,0,2,0.0,0,0,2.86,-3.57,0,0,,0,0,0,0,,0,0.0%,,0,0
45,1997,1997-11-02,9,29.001,ARI,,PHI,W 31-21,,5,9,55.56,33,0,0,63.7,1,0,3.67,3.67,6,3,0.50,2,0,0,0,,0,0.0%,,2,12
46,1997,1997-11-09,10,29.008,ARI,@,DAL,L 6-24,,5,14,35.71,74,0,0,53.9,1,0,5.29,5.29,0,0,,0,0,0,0,,0,0.0%,,0,0
47,1998,1998-09-21,3,29.324,NYG,,DAL,L 7-31,,1,7,14.29,3,0,1,0.0,0,0,0.43,-6.00,0,0,,0,0,0,0,,0,0.0%,,0,0
48,1998,1998-09-27,4,29.330,NYG,@,SDG,W 34-16,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0
49,1998,1998-10-11,6,29.344,NYG,,ATL,L 20-34,,11,16,68.75,105,0,0,86.7,1,8,6.56,6.56,3,36,12.00,1,0,0,0,,0,0.0%,,1,6
50,1998,1998-10-18,7,29.351,NYG,,ARI,W 34-7,,0,0,,0,0,0,,0,0,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,0,0
51,1998,1998-11-15,10,30.014,NYG,,GNB,L 3-37,,2,5,40.00,12,0,0,47.9,2,16,2.40,2.40,1,7,7.00,0,0,0,0,,0,0.0%,,0,0
52,1998,1998-11-22,11,30.021,NYG,,PHI,W 20-0,*,10,21,47.62,153,1,1,68.2,3,15,7.29,6.10,5,6,1.20,0,0,0,0,,0,0.0%,,0,0
53,1998,1998-11-30,12,30.029,NYG,@,SFO,L 7-31,*,21,41,51.22,237,0,1,58.7,2,13,5.78,4.68,2,2,1.00,0,0,0,0,,0,0.0%,,0,0
54,1998,1998-12-06,13,30.035,NYG,@,ARI,W 23-19,*,8,23,34.78,144,1,2,35.4,0,0,6.26,3.22,2,19,9.50,0,0,0,0,,0,0.0%,,0,0
