ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2010,2010-09-12,1,21.312,DAL,@,WAS,L 7-13,,13,8,56,7.00,0,61.5%,4.31,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,11,11.00,0,,0,0,0.0,0,0
2,2010,2010-09-19,2,21.319,DAL,,CHI,L 20-27,,2,2,52,26.00,0,100.0%,26.00,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,66,22.00,1,,1,6,0.0,0,0
3,2010,2010-09-26,3,21.326,DAL,@,HOU,W 27-13,,6,4,50,12.50,0,66.7%,8.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
4,2010,2010-10-10,4,21.340,DAL,,TEN,L 27-34,*,6,3,22,7.33,0,50.0%,3.67,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,3,1,0.33,0,,0,0,0.0,0,0
5,2010,2010-10-17,5,21.347,DAL,@,MIN,L 21-24,,2,1,31,31.00,1,50.0%,15.50,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,3,1.50,0,,1,6,0.0,0,0
6,2010,2010-10-25,6,21.355,DAL,,NYG,L 35-41,,7,4,54,13.50,2,57.1%,7.71,0,0,,0,0,0,,0,0,0,,,,,,2,25,12.50,0,1,93,93.00,1,,3,18,0.0,0,0
7,2010,2010-10-31,7,21.361,DAL,,JAX,L 17-35,*,9,7,84,12.00,0,77.8%,9.33,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,1,12,12.00,0,,0,0,0.0,0,0
8,2010,2010-11-07,8,22.003,DAL,@,GNB,L 7-45,,10,9,86,9.56,1,90.0%,8.60,0,0,,0,0,0,,0,0,0,,,,,,0,0,,0,2,4,2.00,0,,1,6,0.0,0,0
9,2010,2010-11-14,9,22.010,DAL,@,NYG,W 33-20,,5,3,104,34.67,1,60.0%,20.80,0,0,,0,0,0,,0,0,0,,,,,,4,86,21.50,0,0,0,,0,,1,6,0.0,0,0
10,2010,2010-11-21,10,22.017,DAL,,DET,W 35-19,,4,3,8,2.67,1,75.0%,2.00,0,0,,0,0,0,,0,0,0,,,,,,1,15,15.00,0,0,0,,0,,1,6,0.0,0,0
11,2010,2010-11-25,11,22.021,DAL,,NOR,L 27-30,,6,0,0,,0,0.0%,0.00,1,0,0.00,0,0,0,,0,0,0,,,,,,2,60,30.00,0,1,13,13.00,0,,0,0,0.0,1,0
12,2010,2010-12-05,12,22.031,DAL,@,IND,W 38-35,,3,1,14,14.00,0,33.3%,4.67,0,0,,0,0,0,,0,0,0,,,,,,3,107,35.67,0,0,0,,0,,0,0,0.0,0,0
13,2011,2011-09-11,1,22.311,DAL,@,NYJ,L 24-27,*,8,3,71,23.67,1,37.5%,8.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,12,12.00,0,,1,6,0.0,1,0
14,2011,2011-09-26,3,22.326,DAL,,WAS,W 18-16,*,4,4,63,15.75,0,100.0%,15.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
15,2011,2011-10-02,4,22.332,DAL,,DET,L 30-34,*,5,3,37,12.33,2,60.0%,7.40,1,5,5.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
16,2011,2011-10-16,5,22.346,DAL,@,NWE,L 16-20,*,8,4,78,19.50,0,50.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,1,0
17,2011,2011-10-23,6,22.353,DAL,,STL,W 34-7,,8,5,90,18.00,1,62.5%,11.25,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,7,7.00,0,,1,6,0.0,0,0
18,2011,2011-10-30,7,22.360,DAL,@,PHI,L 7-34,*,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
19,2011,2011-11-06,8,23.002,DAL,,SEA,W 23-13,*,9,4,76,19.00,0,44.4%,8.44,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,8,4.00,0,,0,0,0.0,0,0
20,2011,2011-11-13,9,23.009,DAL,,BUF,W 44-7,*,6,6,74,12.33,1,100.0%,12.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
21,2011,2011-11-20,10,23.016,DAL,@,WAS,W 27-24,*,8,3,68,22.67,1,37.5%,8.50,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
22,2011,2011-11-24,11,23.020,DAL,,MIA,W 20-19,*,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,20,20.00,0,,0,0,0.0,0,0
23,2011,2011-12-04,12,23.030,DAL,@,ARI,L 13-19,*,14,8,86,10.75,1,57.1%,6.14,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,18,6.00,0,,1,6,0.0,0,0
24,2011,2011-12-11,13,23.037,DAL,,NYG,L 34-37,*,2,1,50,50.00,1,50.0%,25.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,1,6,0.0,0,0
25,2011,2011-12-17,14,23.043,DAL,@,TAM,W 31-15,*,4,4,40,10.00,1,100.0%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,15,3.75,0,,1,6,0.0,0,0
26,2011,2011-12-24,15,23.050,DAL,,PHI,L 7-20,,8,6,62,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
27,2011,2012-01-01,16,23.058,DAL,@,NYG,L 14-31,*,8,6,70,11.67,0,75.0%,8.75,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,2,13,6.50,0,,0,0,0.0,0,0
28,2012,2012-09-05,1,23.306,DAL,@,NYG,W 24-17,*,5,4,85,21.25,0,80.0%,17.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,0,0.00,0,,0,0,0.0,0,0
29,2012,2012-09-16,2,23.317,DAL,@,SEA,L 7-27,*,7,3,17,5.67,0,42.9%,2.43,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,2,1.00,0,,0,0,0.0,0,0
30,2012,2012-09-23,3,23.324,DAL,,TAM,W 16-10,*,8,6,62,10.33,0,75.0%,7.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,43,14.33,0,,0,0,0.0,0,0
31,2012,2012-10-01,4,23.332,DAL,,CHI,L 18-34,*,13,8,105,13.13,0,61.5%,8.08,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,0,2,0.0,0,0
32,2012,2012-10-14,5,23.345,DAL,@,BAL,L 29-31,*,15,13,95,7.31,2,86.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,10,10.00,0,,2,12,0.0,0,0
33,2012,2012-10-21,6,23.352,DAL,@,CAR,W 19-14,,3,2,14,7.00,0,66.7%,4.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,17,5.67,0,,0,0,0.0,0,0
34,2012,2012-10-28,7,23.359,DAL,,NYG,L 24-29,*,11,5,110,22.00,0,45.5%,10.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,-6,-6.00,0,,0,0,0.0,0,0
35,2012,2012-11-04,8,24.000,DAL,@,ATL,L 13-19,*,4,1,15,15.00,0,25.0%,3.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
36,2012,2012-11-11,9,24.007,DAL,@,PHI,W 38-23,*,5,3,87,29.00,1,60.0%,17.40,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
37,2012,2012-11-18,10,24.014,DAL,,CLE,W 23-20,*,15,12,145,12.08,1,80.0%,9.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
38,2012,2012-11-22,11,24.018,DAL,,WAS,L 31-38,*,11,8,145,18.13,2,72.7%,13.18,1,6,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
39,2012,2012-12-02,12,24.028,DAL,,PHI,W 38-33,*,6,6,98,16.33,2,100.0%,16.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
40,2012,2012-12-09,13,24.035,DAL,@,CIN,W 20-19,*,6,4,50,12.50,1,66.7%,8.33,1,-11,-11.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
41,2012,2012-12-16,14,24.042,DAL,,PIT,W 27-24,*,9,4,59,14.75,1,44.4%,6.56,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
42,2012,2012-12-23,15,24.049,DAL,,NOR,L 31-34,*,12,9,224,24.89,2,75.0%,18.67,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
43,2012,2012-12-30,16,24.056,DAL,@,WAS,L 18-28,,8,4,71,17.75,0,50.0%,8.88,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
44,2013,2013-09-08,1,24.308,DAL,,NYG,W 36-31,*,8,4,22,5.50,0,50.0%,2.75,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,0,0,0.0,0,0
45,2013,2013-09-15,2,24.315,DAL,@,KAN,L 16-17,*,13,9,141,15.67,1,69.2%,10.85,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
46,2013,2013-09-22,3,24.322,DAL,,STL,W 31-7,*,6,4,38,9.50,1,66.7%,6.33,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,1,6,0.0,0,0
47,2013,2013-09-29,4,24.329,DAL,@,SDG,L 21-30,*,9,6,81,13.50,2,66.7%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
48,2013,2013-10-06,5,24.336,DAL,,DEN,L 48-51,*,10,6,141,23.50,2,60.0%,14.10,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,,2,12,0.0,0,0
