ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1977,1977-10-02,3,22.337,PHI,@,DET,L 13-17,,,,,,,,,,,,,,,,,,
2,1977,1977-10-16,5,22.351,PHI,,STL,L 17-21,0,0,,0,1,-2,-2.00,0,0,0,,0,0,0,,0,0,0
3,1977,1977-10-23,6,22.358,PHI,,DAL,L 10-16,,,,,,,,,,,,,,,,,,
4,1977,1977-11-06,8,23.007,PHI,,NOR,W 28-7,0,0,,0,0,0,,0,0,0,,0,1,3,3.00,0,0,0
5,1977,1977-11-13,9,23.014,PHI,,WAS,L 14-17,1,14,14.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
6,1977,1977-11-20,10,23.021,PHI,@,STL,L 16-21,1,2,2.00,0,0,0,,0,0,0,,0,0,0,,0,0,0
7,1977,1977-11-27,11,23.028,PHI,@,NWE,L 6-14,0,0,,0,0,0,,0,0,0,,0,1,22,22.00,0,0,0
8,1977,1977-12-04,12,23.035,PHI,@,DAL,L 14-24,,,,,,,,,,,,,,,,,,
9,1977,1977-12-11,13,23.042,PHI,,NYG,W 17-14,,,,,,,,,,,,,,,,,,
10,1977,1977-12-18,14,23.049,PHI,,NYJ,W 27-0,,,,,,,,,,,,,,,,,,
11,1978,1978-09-03,1,23.308,PHI,,RAM,L 14-16,0,0,,0,0,0,,0,0,0,,0,4,67,16.75,1,1,6
12,1978,1978-09-10,2,23.315,PHI,@,WAS,L 30-35,0,0,,0,0,0,,0,3,54,18.00,0,3,8,2.67,0,0,0
13,1978,1978-09-17,3,23.322,PHI,@,NOR,W 24-17,0,0,,0,0,0,,0,0,0,,0,4,90,22.50,0,0,0
14,1979,1979-09-02,1,24.307,PHI,,NYG,W 23-17,0,0,,0,0,0,,0,2,51,25.50,0,5,63,12.60,0,0,0
15,1979,1979-09-10,2,24.315,PHI,,ATL,L 10-14,0,0,,0,0,0,,0,2,47,23.50,0,3,18,6.00,0,0,0
16,1979,1979-09-16,3,24.321,PHI,@,NOR,W 26-14,0,0,,0,0,0,,0,1,53,53.00,0,5,37,7.40,0,0,0
17,1979,1979-09-23,4,24.328,PHI,@,NYG,W 17-13,0,0,,0,0,0,,0,3,64,21.33,0,5,48,9.60,0,0,0
18,1979,1979-09-30,5,24.335,PHI,,PIT,W 17-14,0,0,,0,0,0,,0,1,29,29.00,0,2,9,4.50,0,0,0
19,1979,1979-10-07,6,24.342,PHI,,WAS,W 28-17,0,0,,0,0,0,,0,3,64,21.33,0,1,-3,-3.00,0,0,0
20,1979,1979-10-14,7,24.349,PHI,@,STL,W 24-20,0,0,,0,0,0,,0,5,142,28.40,0,3,60,20.00,0,0,0
21,1979,1979-10-21,8,24.356,PHI,@,WAS,L 7-17,0,0,,0,0,0,,0,2,45,22.50,0,3,22,7.33,0,0,0
22,1979,1979-10-28,9,24.363,PHI,@,CIN,L 13-37,0,0,,0,0,0,,0,3,62,20.67,0,2,8,4.00,0,0,0
23,1979,1979-12-02,14,25.033,PHI,,DET,W 44-7,0,0,,0,0,0,,0,0,0,,0,1,4,4.00,0,0,0
24,1979,1979-12-08,15,25.039,PHI,,DAL,L 17-24,0,0,,0,0,0,,0,3,59,19.67,0,2,10,5.00,0,0,0
25,1979,1979-12-16,16,25.047,PHI,@,HOU,W 26-20,0,0,,0,0,0,,0,3,52,17.33,0,3,44,14.67,0,0,0
26,1980,1980-09-07,1,25.313,PHI,,DEN,W 27-6,0,0,,0,0,0,,0,1,20,20.00,0,5,27,5.40,0,0,0
27,1980,1980-09-22,3,25.328,PHI,,NYG,W 35-3,0,0,,0,0,0,,0,0,0,,0,4,44,11.00,0,0,0
28,1980,1980-09-28,4,25.334,PHI,@,STL,L 14-24,0,0,,0,0,0,,0,3,62,20.67,0,3,49,16.33,0,0,0
29,1980,1980-10-05,5,25.341,PHI,,WAS,W 24-14,0,0,,0,0,0,,0,2,33,16.50,0,3,8,2.67,0,0,0
30,1980,1980-10-12,6,25.348,PHI,@,NYG,W 31-16,2,37,18.50,0,0,0,,0,0,0,,0,5,45,9.00,0,0,0
31,1980,1980-10-19,7,25.355,PHI,,DAL,W 17-10,0,0,,0,0,0,,0,0,0,,0,4,37,9.25,0,0,0
32,1980,1980-10-26,8,25.362,PHI,,CHI,W 17-14,2,31,15.50,0,0,0,,0,1,39,39.00,0,2,12,6.00,0,0,0
33,1981,1981-09-06,1,26.311,PHI,@,NYG,W 24-10,0,0,,0,0,0,,0,1,7,7.00,0,6,41,6.83,0,0,0
34,1981,1981-09-13,2,26.318,PHI,,NWE,W 13-3,0,0,,0,0,0,,0,0,0,,0,4,27,6.75,0,0,0
35,1981,1981-09-17,3,26.322,PHI,@,BUF,W 20-14,0,0,,0,0,0,,0,3,70,23.33,0,3,3,1.00,0,0,0
36,1981,1981-09-27,4,26.332,PHI,,WAS,W 36-13,0,0,,0,0,0,,0,4,115,28.75,0,2,22,11.00,0,0,0
37,1981,1981-10-05,5,26.340,PHI,,ATL,W 16-13,0,0,,0,0,0,,0,2,27,13.50,0,2,17,8.50,0,0,0
38,1981,1981-10-11,6,26.346,PHI,@,NOR,W 31-14,0,0,,0,0,0,,0,2,43,21.50,0,4,88,22.00,0,0,0
39,1981,1981-10-18,7,26.353,PHI,@,MIN,L 23-35,0,0,,0,0,0,,0,4,88,22.00,0,5,30,6.00,0,0,0
