ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1988,1988-09-04,1,23.260,MIN,@,BUF,L 10-13,,,,,,,,,,,,,,
2,1988,1988-09-11,2,23.267,MIN,,NWE,W 36-6,,,,,,,,,,,,,,
3,1988,1988-09-18,3,23.274,MIN,@,CHI,W 31-7,,,,,,,,,,,,,,
4,1988,1988-09-25,4,23.281,MIN,,PHI,W 23-21,,,,,,,,,,,,,,
5,1988,1988-10-02,5,23.288,MIN,@,MIA,L 7-24,,,,,,,,,,,,,,
6,1988,1988-10-09,6,23.295,MIN,,TAM,W 14-13,,,,,,,,,,,,,,
7,1988,1988-10-16,7,23.302,MIN,,GNB,L 14-34,,,,,,,,,,,,,,
8,1988,1988-10-23,8,23.309,MIN,@,TAM,W 49-20,,,,,,,,,,,,,,
9,1988,1988-10-30,9,23.316,MIN,@,SFO,L 21-24,,,,,,,,,,,,,,
10,1988,1988-11-06,10,23.323,MIN,,DET,W 44-17,,,,,,,,,,,,,,
11,1988,1988-11-13,11,23.330,MIN,@,DAL,W 43-3,,,,,,,,,,,,,,
12,1988,1988-11-20,12,23.337,MIN,,IND,W 12-3,,,,,,,,,,,,,,
13,1988,1988-11-24,13,23.341,MIN,@,DET,W 23-0,,,,,,,,,,,,,,
14,1988,1988-12-04,14,23.351,MIN,,NOR,W 45-3,,,,,,,,,,,,,,
15,1988,1988-12-11,15,23.358,MIN,@,GNB,L 6-18,,,,,,,,,,,,,,
16,1988,1988-12-19,16,24.000,MIN,,CHI,W 28-27,,,,,,,,,,,,,,
17,1989,1989-09-10,1,24.265,MIN,,HOU,W 38-7,,,,,,,,,,,,,,
18,1989,1989-09-17,2,24.272,MIN,@,CHI,L 7-38,,,,,,,,,,,,,,
19,1989,1989-09-24,3,24.279,MIN,@,PIT,L 14-27,,,,,,,,,,,,,,
20,1989,1989-10-15,6,24.300,MIN,,GNB,W 26-14,,,,,,,,,,,,,,
21,1989,1989-10-22,7,24.307,MIN,@,DET,W 20-7,,,,,,,,,,,,,,
22,1989,1989-10-30,8,24.315,MIN,@,NYG,L 14-24,,,,,,,,,,,,,,
23,1989,1989-11-05,9,24.321,MIN,,RAM,W 23-21,,,,,,,,,,,,,,
24,1989,1989-11-12,10,24.328,MIN,@,TAM,W 24-10,,,,,,,,,,,,,,
25,1989,1989-11-19,11,24.335,MIN,@,PHI,L 9-10,,,,,,,,,,,,,,
26,1989,1989-11-26,12,24.342,MIN,@,GNB,L 19-20,,,,,,,,,,,,,,
