ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,2005,2005-12-04,12,24.273,JAX,@,CLE,W 20-14,,,,,,,,,
2,2005,2005-12-11,13,24.280,JAX,,IND,L 18-26,,0,0,,0,1,31,31.00,0
3,2006,2006-11-05,8,25.244,JAX,,TEN,W 37-7,,3,5,1.67,0,0,0,,0
4,2007,2007-12-30,16,26.299,STL,@,ARI,L 19-48,,,,,,,,,
