ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2005,2005-10-16,6,22.275,SDG,@,OAK,W 27-14,,,,,,,0.0%,,,,,,,,,,,,,,,
2,2005,2005-10-30,8,22.289,SDG,,KAN,W 28-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
3,2005,2005-11-06,9,22.296,SDG,@,NYJ,W 31-26,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,,0,0,0.0,,
4,2005,2005-11-27,11,22.317,SDG,@,WAS,W 23-17,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
5,2005,2005-12-11,13,22.331,SDG,,MIA,L 21-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
6,2005,2005-12-18,14,22.338,SDG,@,IND,W 26-17,,4,2,41,20.50,0,50.0%,10.25,0,0,,0,0,0,,0,,0,0,0.0,,
7,2005,2005-12-24,15,22.344,SDG,@,KAN,L 7-20,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
8,2005,2005-12-31,16,22.351,SDG,,DEN,L 7-23,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
9,2006,2006-09-11,1,23.240,SDG,@,OAK,W 27-0,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
10,2006,2006-09-17,2,23.246,SDG,,TEN,W 40-7,,3,2,15,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,,1,6,0.0,,
11,2006,2006-10-01,3,23.260,SDG,@,BAL,L 13-16,,3,1,6,6.00,0,33.3%,2.00,0,0,,0,0,0,,0,,0,0,0.0,,
12,2006,2006-10-08,4,23.267,SDG,,PIT,W 23-13,,2,1,13,13.00,0,50.0%,6.50,0,0,,0,0,0,,0,,0,0,0.0,,
13,2006,2006-10-15,5,23.274,SDG,@,SFO,W 48-19,*,2,1,33,33.00,1,50.0%,16.50,0,0,,0,0,0,,0,,1,6,0.0,,
14,2006,2006-10-22,6,23.281,SDG,@,KAN,L 27-30,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
15,2006,2006-10-29,7,23.288,SDG,,STL,W 38-24,*,,0,0,,0,0.0%,,0,0,,0,0,0,,0,,0,0,0.0,,
16,2006,2006-11-05,8,23.295,SDG,,CLE,W 32-25,,2,1,11,11.00,0,50.0%,5.50,0,0,,0,0,0,,0,,0,0,0.0,,
17,2006,2006-11-12,9,23.302,SDG,@,CIN,W 49-41,,2,1,18,18.00,0,50.0%,9.00,0,0,,0,0,0,,0,,0,0,0.0,,
18,2006,2006-11-19,10,23.309,SDG,@,DEN,W 35-27,,5,3,39,13.00,1,60.0%,7.80,0,0,,0,0,0,,0,,1,6,0.0,,
19,2006,2006-11-26,11,23.316,SDG,,OAK,W 21-14,*,6,3,32,10.67,0,50.0%,5.33,0,0,,0,0,0,,0,,0,0,0.0,,
20,2006,2006-12-03,12,23.323,SDG,@,BUF,W 24-21,,2,0,0,,0,0.0%,0.00,1,8,8.00,0,0,0,,0,,0,0,0.0,,
21,2006,2006-12-10,13,23.330,SDG,,DEN,W 48-20,*,4,3,95,31.67,0,75.0%,23.75,0,0,,0,0,0,,0,,0,0,0.0,,
22,2006,2006-12-17,14,23.337,SDG,,KAN,W 20-9,*,5,3,66,22.00,0,60.0%,13.20,0,0,,0,0,0,,0,,0,0,0.0,,
23,2006,2006-12-24,15,23.344,SDG,@,SEA,W 20-17,*,14,5,97,19.40,2,35.7%,6.93,2,8,4.00,0,0,0,,0,,2,12,0.0,,
24,2006,2006-12-31,16,23.351,SDG,,ARI,W 27-20,*,6,3,28,9.33,1,50.0%,4.67,0,0,,0,0,0,,0,,1,6,0.0,,
25,2007,2007-09-09,1,24.238,SDG,,CHI,W 14-3,*,5,3,28,9.33,0,60.0%,5.60,0,0,,0,0,0,,0,,0,0,0.0,,
26,2007,2007-09-16,2,24.245,SDG,@,NWE,L 14-38,*,6,4,53,13.25,0,66.7%,8.83,0,0,,0,0,0,,0,,0,0,0.0,,
27,2007,2007-09-23,3,24.252,SDG,@,GNB,L 24-31,*,7,6,98,16.33,1,85.7%,14.00,0,0,,0,0,0,,0,,1,6,0.0,,
28,2007,2007-09-30,4,24.259,SDG,,KAN,L 16-30,*,9,3,52,17.33,0,33.3%,5.78,0,0,,0,0,0,,0,,0,0,0.0,,
29,2007,2007-10-07,5,24.266,SDG,@,DEN,W 41-3,*,4,3,84,28.00,1,75.0%,21.00,0,0,,0,0,0,,0,,1,6,0.0,,
30,2007,2007-10-14,6,24.273,SDG,,OAK,W 28-14,*,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,,0,,0,0,0.0,,
31,2007,2007-10-28,7,24.287,SDG,,HOU,W 35-10,*,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,,0,0,0.0,,
32,2007,2007-11-04,8,24.294,SDG,@,MIN,L 17-35,*,7,1,16,16.00,0,14.3%,2.29,0,0,,0,0,0,,0,,0,0,0.0,,
33,2007,2007-11-11,9,24.301,SDG,,IND,W 23-21,*,3,2,28,14.00,0,66.7%,9.33,0,0,,0,0,0,,0,,0,0,0.0,,
34,2007,2007-11-18,10,24.308,SDG,@,JAX,L 17-24,*,4,1,20,20.00,0,25.0%,5.00,0,0,,0,0,0,,0,,0,0,0.0,,
35,2007,2007-11-25,11,24.315,SDG,,BAL,W 32-14,*,6,5,65,13.00,0,83.3%,10.83,0,0,,0,0,0,,0,,0,0,0.0,,
36,2007,2007-12-02,12,24.322,SDG,@,KAN,W 24-10,*,4,1,38,38.00,1,25.0%,9.50,0,0,,0,0,0,,0,,1,6,0.0,,
37,2007,2007-12-09,13,24.329,SDG,@,TEN,W 23-17,*,7,3,47,15.67,0,42.9%,6.71,0,0,,0,0,0,,0,,0,0,0.0,,
38,2007,2007-12-16,14,24.336,SDG,,DET,W 51-14,*,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,,0,0,0.0,,
39,2007,2007-12-24,15,24.344,SDG,,DEN,W 23-3,*,6,4,46,11.50,0,66.7%,7.67,0,0,,0,0,0,,0,,0,0,0.0,,
40,2007,2007-12-30,16,24.350,SDG,@,OAK,W 30-17,*,4,2,13,6.50,0,50.0%,3.25,0,0,,0,0,0,,0,,0,0,0.0,,
