ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1985,1985-09-09,1,21.353,DAL,,WAS,W 44-14,0,0,,0,3,3,1.00,0
2,1985,1985-09-15,2,21.359,DAL,@,DET,L 21-26,1,13,13.00,0,4,17,4.25,0
3,1985,1985-09-22,3,22.001,DAL,,CLE,W 20-7,0,0,,0,0,0,,0
4,1985,1985-09-29,4,22.008,DAL,@,HOU,W 17-10,0,0,,0,3,12,4.00,0
5,1985,1985-10-06,5,22.015,DAL,@,NYG,W 30-29,0,0,,0,1,2,2.00,0
6,1985,1985-10-13,6,22.022,DAL,,PIT,W 27-13,0,0,,0,4,24,6.00,0
7,1985,1985-10-20,7,22.029,DAL,@,PHI,L 14-16,0,0,,0,0,0,,0
8,1985,1985-10-27,8,22.036,DAL,,ATL,W 24-10,0,0,,0,0,0,,0
9,1985,1985-11-04,9,22.044,DAL,@,STL,L 10-21,1,11,11.00,0,0,0,,0
10,1985,1985-11-10,10,22.050,DAL,@,WAS,W 13-7,0,0,,0,0,0,,0
11,1985,1985-11-17,11,22.057,DAL,,CHI,L 0-44,1,4,4.00,0,0,0,,0
12,1987,1987-10-11,4,24.020,ATL,,SFO,L 17-25,2,28,14.00,0,0,0,,0
13,1987,1987-10-18,5,24.027,ATL,,RAM,W 24-20,1,12,12.00,0,0,0,,0
